study_id,bib_key,bibtype,title,author,date,journaltitle,shortjournal,volume,number,pages,issn,doi,url,langid,keywords,publisher,shorttitle,series,issue,given,given-i
Adame_et_al_2020,adameCarbonNitrogenSequestration2020a,Article,Carbon and {{Nitrogen Sequestration}} of {{Melaleuca Floodplain Wetlands}} in {{Tropical Australia}},M. F. Adame and R. Reef and V. N. L. Wong and S. R. Balcombe and M. P. Turschwell and E. Kavehei and D. C. Rodríguez and J. J. Kelleway and P. Masque and M. Ronan,3/1/20,Ecosystems,Ecosystems,23,2,454--466,1435-0629,10.1007/s10021-019-00414-5,https://doi.org/10.1007/s10021-019-00414-5,english,"Aboveground biomass,Decomposition,Queensland,Sedimentation,Soil,Stable isotopes",NA,NA,NA,NA,NA,NA
Adame_et_al_2015,adameCarbonStocksSoil2015,Article,Carbon Stocks and Soil Sequestration Rates of Tropical Riverine Wetlands,M. F. Adame and N. S. Santini and C. Tovilla and A. Vázquez-Lule and L. Castro and M. Guevara,6/23/15,Biogeosciences,NA,12,12,3805--3818,1726-4170,10.5194/bg-12-3805-2015,https://bg.copernicus.org/articles/12/3805/2015/,english,NA,{Copernicus GmbH},NA,NA,NA,NA,NA
Adame_et_al_2013,adameCarbonStocksTropical2013,Article,Carbon {{Stocks}} of {{Tropical Coastal Wetlands}} within the {{Karstic Landscape}} of the {{Mexican Caribbean}},Maria Fernanda Adame and J. Boone Kauffman and Israel Medina and Julieta N. Gamboa and Olmo Torres and Juan P. Caamal and Miriam Reza and Jorge A. Herrera-Silveira,2/14/13,PLOS ONE,PLOS ONE,8,2,e56569,1932-6203,10.1371/journal.pone.0056569,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0056569,english,"Forests,Fresh water,Mangrove swamps,Marshes,Salinity,Trees,Wetlands,Wood",{Public Library of Science},NA,NA,NA,NA,NA
Adame_et_al_2021,adameMangrovesAridRegions2021a,Article,"Mangroves in Arid Regions: {{Ecology}}, Threats, and Opportunities",M. F. Adame and R. Reef and N. S. Santini and E. Najera and M. P. Turschwell and M. A. Hayes and P. Masque and C. E. Lovelock,1/5/21,"Estuarine, Coastal and Shelf Science","Estuarine, Coastal and Shelf Science",248,NA,106796,0272-7714,10.1016/j.ecss.2020.106796,https://www.sciencedirect.com/science/article/pii/S0272771419312089,english,"Deserts,Groundwater,Intertidal environment,Restoration,Salinity,Wetlands",NA,Mangroves in Arid Regions,Mangroves and {{People}}: {{Impacts}} and {{Interactions}},NA,NA,NA
Anisfeld_et_al_1999,anisfeldSedimentationRatesFlowRestricted1999,Article,Sedimentation {{Rates}} in {{Flow-Restricted}} and {{Restored Salt Marshes}} in {{Long Island Sound}},Shimon C. Anisfeld and Marcia J. Tobin and Gaboury Benoit,1999-06,Estuaries,Estuaries,22,2,231,1608347,10.2307/1352980,http://link.springer.com/10.2307/1352980,NA,NA,NA,NA,NA,NA,NA,NA
Beasy_and_Ellison_2013,beasyComparisonThreeMethods2013,Article,"Comparison of {{Three Methods}} for the {{Quantification}} of {{Sediment Organic Carbon}} in {{Salt Marshes}} of the {{Rubicon Estuary}}, {{Tasmania}}, {{Australia}}",Kim Beasy and Joanna Ellison,7/22/13,International Journal of Biology,NA,5,4,p1,1916-9671,10.5539/ijb.v5n4p1,https://ccsenet.org/journal/index.php/ijb/article/view/28253,english,NA,NA,NA,NA,4,NA,NA
Bryant_and_Chabreck_1998,bryantEffectsImpoundmentVertical1998b,Article,Effects of {{Impoundment}} on {{Vertical Accretion}} of {{Coastal Marsh}},John C. Bryant and Robert H. Chabreck,1998-09,Estuaries,Estuaries,21,3,416,1608347,10.2307/1352840,http://link.springer.com/10.2307/1352840,NA,NA,NA,NA,NA,NA,NA,NA
Bulmer_et_al_2020,bulmerBlueCarbonStocks2020,Article,Blue {{Carbon Stocks}} and {{Cross-Habitat Subsidies}},Richard Hugh Bulmer and Fabrice Stephenson and Hannah F. E. Jones and Michael Townsend and Jenny R. Hillman and Luitgard Schwendenmann and Carolyn J. Lundquist,2020,Frontiers in Marine Science,NA,7,NA,380,2296-7745,10.3389/fmars.2020.00380,https://www.frontiersin.org/articles/10.3389/fmars.2020.00380,NA,NA,NA,NA,NA,NA,NA,NA
Burke_et_al_2022,burkeDublinSaltmarshesContain2022,Article,Dublin’s Saltmarshes Contain Climate-Relevant Carbon Pools,Shannon A. Burke and Jane Manahan and Elke Eichelmann and Grace M. Cott,2022,Frontiers in Marine Science,NA,9,NA,976457,2296-7745,10.3389/fmars.2022.976457,https://www.frontiersin.org/articles/10.3389/fmars.2022.976457,NA,NA,NA,NA,NA,NA,NA,NA
Cahoon_et_al_1996,cahoonMarshVerticalAccretion1996,Article,"Marsh {{Vertical Accretion}} in a {{Southern California Estuary}}, {{U}}.{{S}}.{{A}}.",Donald R. Cahoon and James C. Lynch and Abby N. Powell,1996-07,"Estuarine, Coastal and Shelf Science","Estuarine, Coastal and Shelf Science",43,1,19--32,2727714,10.1006/ecss.1996.0055,https://linkinghub.elsevier.com/retrieve/pii/S0272771496900554,english,NA,NA,NA,NA,NA,NA,NA
