study_id,Source,doi
Adaime_1978,Copertino et al under review,
Adame_et_al_2013,Adame et al 2013,10.1371/journal.pone.0056569
Adame_et_al_2015,Adame et al 2015,10.5194/bg-12-3805-2015
Adame_et_al_2020,Adame et al 2020,10.1007/s10021-019-00414-5
Adame_et_al_2021,Adame et al 2021,
Anisfeld_et_al_1999,Anisfeld et al 1999,10.2307/1352980
Azevedo_2015-UNPUBLISHED,Copertino et al under review,
Beasy_and_Ellison_2013,Beasy and Ellison 2013,10.5539/ijb.v5n4p1
Bryant_and_Chabreck_1998,Bryant and Chabreck 1998,10.2307/1352840
Bulmer_et_al_2020,Bulmer et al 2020,
Bunzel_et_al_2019,Bunzel et al 2019,
Burke_et_al_2022,Burke et al 2022,
Cahoon_et_al_1996,Cahoon et al 1996,10.1006/ecss.1996.0055
Camacho_et_al_2014,Camacho et al 2014,
Chmura_and_Hung_2004,Chmura and Hung 2004,
Connor_et_al_2001,Connor et al 2001,
Conrad_et_al_2019,Conrad et al 2019,
Copertino_unpublished,Copertino et al under review,
Cott_et_al_2013,Cott et al 2013,
Craft_et_al_1993,Craft et al 1993,
Cuellar-Martinez_et_al_2019,Cuellar-Martinez et al 2019,
Cuellar-Martinez_et_al_2020,Cuellar-Martinez et al 2020,
Ewers_Lewis_et_al_2020,Ewers Lewis et al 2020,
Ford_et_al_2016,Ford et al 2016,
Gallagher_et_al_2021,Gallagher et al 2021,
Gao_et_al_2016,Xia et al 2022,
Gonzalez-Alcaraz_et_al_2015,Gonzalez-Alcaraz et al 2015,
Gorham_et_al_2021,Gorham et al 2021,
Graversen_et_al_2022,Graversen et al 2022,
Grey_et_al_2021,Grey et al 2021,
Gu_et_al_2020,Gu et al 2020,
Guerra_et_al_2022,Guerra et al 2022,
Hansen_et_al_2016,Hansen et al 2016,
Human_et_al_2022,Human et al 2022,
Kauffman_et_al_2020_Brazil,Kauffman et al 2020,
Kohfeld_et_al_2022,Kohfeld et al 2022,
Kumar_et_al_2020,Kumar et al 2020,
Lacerda_et_al_1997,Copertino et al under review,
Li_et_al_2019,Li et al 2019,
Liu_et_al_2017,Xia et al 2022,
Loh_et_al_2018,Fu et al 2021,
Lu_et_al_2019,Fu et al 2021,
Markewich_et_al_1998,Markewich et al 1998,10.1016/S1040-6182(97)00041-4
Martins_et_al_2022,Martins et al 2022,
Mazarrasa_et_al_in_prep,Mazarrasa et al in prep,
Miller_et_al_2022,Miller et al 2022,
Neto_&_Lana_1997,Copertino et al under review,
Newton_2017,Copertino et al under review,
Noguiera_et_al_2022,Noguiera et al 2022,
Orson_et_al_1998,Orson et al 1998,
Pagès_et_al_(in_preparation),Pagès et al (in preparation),
Patrick_and_DeLaune_1990,Patrick and DeLaune 1990,10.4319/lo.1990.35.6.1389
Payne_et_al_2019,Copertino et al under review,
Pollman_et_al_2021,Pollman et al 2021,
Raw_et_al_2020,Raw et al 2020,
Rios_et_al_2018,Copertino et al under review,
Roman_et_al_1997,Roman et al 1997,10.1006/ecss.1997.0236
Ruranska_et_al_2020,Ruranska et al 2020,
Ruranska_et_al_2022,Ruranska et al 2022,
Russell_et_al_submitted,Russell et al submitted,
Rybczyk_and_Cahoon_2002,Rybczyk and Cahoon 2002,
Sammul_et_al_2012,Sammul et al 2012,
Santos_et_al_2019,Santos et al 2019,
Schile_et_al_2016,Schile et al 2016,
Serrano_et_al_2019,Serrano et al 2019,
Serrano_unpublished_Australia,Serrano unpublished,
Shamrikova_et_al_2019,Shamrikova et al 2019,
Siewert_et_al_2016,Siewert et al 2016,
Smeaton_et_al_2021,Smeaton et al 2021,
Smeaton_et_al_2022a,Smeaton et al 2022a,
Smeaton_et_al_2022b,Smeaton et al 2022b,
Smeaton_unpublished_Essex,Smeaton unpublished Essex,
Van_de_Broek_et_al_2018,Van de Broek et al 2018,
Vitti_et_al_2020,Vitti et al 2020,
Wan_et_al_2017,Fu et al 2021,
Wang_et_al_2017,Fu et al 2021,
Ward_2020,Ward 2020,
Wollenberg_et_al_2018,Wollenberg et al 2018,
Xia_et_al_2022,Xia et al 2022,
Yando_et_al_2016,Yando et al 2016,
Yang_et_al_2016,Xia et al 2022,
Yuan_et_al_2017,Yuan et al 2017,
Zanin_2003,Copertino et al under review,
de_los_Santos_et_al_2022_(a),de los Santos et al 2022 (a),
de_los_Santos_et_al_2022_(b),de los Santos et al 2022 (b),
