Site,Latitude,Longitude,Habitat Type,Top Interval (cm),Bulk Density (g/cm3),Mud (%),TOM (%),OC (%),OC (kg/m3),Core_ID,
Tomales Bay,38.11,-122.86,Seagrass,0,0.97,97.8,6.61,1.711,16.602,,
Tomales Bay,38.11,-122.86,Seagrass,2,1.13,98.5,7.09,1.847,20.906,,
Tomales Bay,38.11,-122.86,Seagrass,4,1.07,99.03,7.79,2.047,21.858,,
Tomales Bay,38.11,-122.86,Seagrass,6,0.87,99.44,8.01,2.109,18.45,,
Tomales Bay,38.11,-122.86,Seagrass,8,0.81,98.82,7.71,2.022,16.344,,
Tomales Bay,38.11,-122.86,Seagrass,10,1.21,98.97,7.33,1.913,23.149,,
Tomales Bay,38.11,-122.86,Seagrass,12,0.89,98.87,6.62,1.712,15.196,,
Tomales Bay,38.11,-122.86,Seagrass,14,0.84,98.38,6.24,1.604,13.448,,
Tomales Bay,38.11,-122.86,Seagrass,0,0.92,96.58,7.39,1.931,17.787,,
Tomales Bay,38.11,-122.86,Seagrass,2,1.22,98.92,7.5,1.962,23.933,,
Tomales Bay,38.11,-122.86,Seagrass,4,1.22,98.8,6.85,1.777,21.725,,
Tomales Bay,38.11,-122.86,Seagrass,6,1.45,99.01,6.55,1.694,24.509,,
Tomales Bay,38.11,-122.86,Seagrass,8,1.46,98.74,8.04,2.119,31.005,,
Tomales Bay,38.11,-122.86,Seagrass,10,1.31,98.84,7.39,1.933,25.281,,
Tomales Bay,38.11,-122.86,Seagrass,12,1.11,98.86,7.65,2.006,22.167,,
Tomales Bay,38.11,-122.86,Seagrass,14,1.09,97.9,7.77,2.04,22.28,,
Tomales Bay,38.11,-122.86,Seagrass,0,1.23,96.23,7.28,1.9,23.397,,
Tomales Bay,38.11,-122.86,Seagrass,2,1.16,99,8.17,2.156,25.038,,
Tomales Bay,38.11,-122.86,Seagrass,4,1.08,98.6,7.81,2.052,22.066,,
Tomales Bay,38.11,-122.86,Seagrass,6,1.41,98.48,7.68,2.015,28.418,,
Tomales Bay,38.11,-122.86,Seagrass,8,1.09,98.65,7.83,2.058,22.423,,
Tomales Bay,38.11,-122.86,Seagrass,10,1.02,98.62,7.81,2.052,20.879,,
Tomales Bay,38.11,-122.86,Seagrass,14,1.15,96.37,10.12,2.725,31.413,,
Tomales Bay,38.11,-122.86,Seagrass,18,1.09,97.55,7.44,1.946,21.299,,
Tomales Bay,38.11,-122.86,Bare sed,0,0.65,98.01,7.21,1.879,12.213,,
Tomales Bay,38.11,-122.86,Bare sed,2,1.11,99.27,7.5,1.964,21.833,,
Tomales Bay,38.11,-122.86,Bare sed,4,1.22,98.35,6.95,1.805,21.985,,
Tomales Bay,38.11,-122.86,Bare sed,6,1.31,97.75,7.23,1.885,24.716,,
Tomales Bay,38.11,-122.86,Bare sed,8,1.3,98.46,7.96,2.095,27.15,,
Tomales Bay,38.11,-122.86,Bare sed,10,1.22,98.91,8.22,2.17,26.423,,
Tomales Bay,38.11,-122.86,Bare sed,12,1.37,99.42,7.79,2.046,28.101,,
Tomales Bay,38.11,-122.86,Bare sed,14,1.12,99.08,7.55,1.976,22.06,,
Tomales Bay,38.11,-122.86,Bare sed,0,0.94,98.19,7.12,1.855,17.502,,
Tomales Bay,38.11,-122.86,Bare sed,2,1.15,98.74,7.57,1.984,22.854,,
Tomales Bay,38.11,-122.86,Bare sed,4,1.2,97.63,7.66,2.009,24.118,,
Tomales Bay,38.11,-122.86,Bare sed,6,1.36,98.66,7.93,2.088,28.401,,
Tomales Bay,38.11,-122.86,Bare sed,8,1.41,98.25,8.51,2.256,31.754,,
Tomales Bay,38.11,-122.86,Bare sed,10,1.26,98.94,8.1,2.134,26.809,,
Tomales Bay,38.11,-122.86,Bare sed,12,1.6,98.93,7.97,2.099,33.628,,
Tomales Bay,38.11,-122.86,Bare sed,14,0.46,97.48,8.19,2.162,10,,
Tomales Bay,38.11,-122.86,Bare sed,0,0.81,96.94,7.07,1.841,15.001,,
Tomales Bay,38.11,-122.86,Bare sed,2,1.18,98.7,7.69,2.017,23.784,,
Tomales Bay,38.11,-122.86,Bare sed,4,1.09,98.64,8.13,2.144,23.368,,
Tomales Bay,38.11,-122.86,Bare sed,6,1.01,97.95,9.65,2.588,26.145,,
Tomales Bay,38.11,-122.86,Bare sed,8,0.92,98.05,8,2.106,19.429,,
Tomales Bay,38.11,-122.86,Bare sed,10,0.95,98.53,7.61,1.995,18.89,,
Tomales Bay,38.11,-122.86,Bare sed,14,1.12,98.5,8.12,2.141,23.954,,
Tomales Bay,38.11,-122.86,Bare sed,18,1.1,98.81,8.67,2.301,25.42,,
Tomales Bay,38.16,-122.9,Seagrass,0,1.17,36.18,4.83,1.213,14.218,,
Tomales Bay,38.16,-122.9,Seagrass,2,0.94,32.55,6.34,1.632,15.297,,
Tomales Bay,38.16,-122.9,Seagrass,4,1.21,29.8,4.65,1.163,14.056,,
Tomales Bay,38.16,-122.9,Seagrass,6,1.13,25.09,3.28,0.794,8.975,,
Tomales Bay,38.16,-122.9,Seagrass,10,1.18,8.35,1.64,0.371,4.363,,
Tomales Bay,38.16,-122.9,Seagrass,14,1.35,4.67,2.26,0.528,7.147,,
Tomales Bay,38.16,-122.9,Seagrass,18,1.42,7.96,1.61,0.363,5.165,,
Tomales Bay,38.16,-122.9,Seagrass,0,1.44,4.44,1.11,0.243,3.494,,
Tomales Bay,38.16,-122.9,Seagrass,2,1.34,4.68,1.23,0.272,3.662,,
Tomales Bay,38.16,-122.9,Seagrass,4,1.34,2.4,0.9,0.193,2.574,,
