"[Abbreviations: ID, identification; cm, centimeter; dpm/g, disintegrations per minute per gram; ND, not detected; --, no reported value; Lc, critical level]",,,,,,,,,,,
Core ID,"Depth
 (cm)","Cs-137 
(dpm/g)","Cs-137 Error 
(+/- dpm/g)","Pb-210 
(dpm/g)","Pb-210 Error 
(+/- dpm/g)","Ra-226 
(dpm/g)","Ra-226 Error 
(+/- dpm/g)","Th-234 
(dpm/g)","Th-234 Error 
(+/- dpm/g)","K-40 
(dpm/g)","K-40 Error 
(+/- dpm/g)"
16CCT07-GB301M,0-1,ND,--,1.90,0.17,1.01,0.07,1.18,0.19,2.64,0.62
16CCT07-GB301M,1-2,ND,--,1.90,0.16,0.98,0.06,1.50,0.17,3.46,0.60
16CCT07-GB301M,2-3,ND,--,1.99,0.21,0.91,0.06,1.51,0.20,3.54,0.71
16CCT07-GB301M,3-4,ND,--,2.13,0.16,0.95,0.06,1.65,0.18,3.64,0.57
16CCT07-GB301M,4-5,ND,--,2.09,0.20,0.95,0.08,1.59,0.25,3.37,0.81
16CCT07-GB301M,5-6,ND,--,2.25,0.19,0.98,0.07,1.88,0.21,3.85,0.74
16CCT07-GB301M,6-7,ND,--,2.27,0.20,1.01,0.07,1.71,0.21,4.45,0.77
16CCT07-GB301M,7-8,ND,--,1.91,0.19,0.91,0.07,1.39,0.24,4.76,0.79
16CCT07-GB301M,8-9,ND,--,1.92,0.18,0.88,0.06,1.72,0.21,4.64,0.73
16CCT07-GB301M,9-10,ND,--,1.93,0.19,0.99,0.07,1.72,0.22,4.09,0.80
16CCT07-GB301M,10-11,ND,--,2.19,0.18,1.08,0.07,1.90,0.20,4.78,0.75
16CCT07-GB301M,11-12,ND,--,2.26,0.21,1.21,0.07,1.99,0.24,4.10,0.81
16CCT07-GB301M,12-13,ND,--,2.35,0.20,1.05,0.07,2.21,0.22,5.13,0.77
16CCT07-GB301M,13-14,ND,--,2.22,0.20,1.06,0.07,2.37,0.23,5.40,0.78
16CCT07-GB301M,14-15,ND,--,2.35,0.22,1.20,0.08,2.21,0.25,6.97,0.96
16CCT07-GB301M,15-16,ND,--,2.22,0.18,1.11,0.07,2.18,0.22,6.31,0.80
16CCT07-GB301M,16-17,ND,--,1.66,0.18,0.98,0.07,1.63,0.21,4.54,0.77
16CCT07-GB301M,17-18,ND,--,1.86,0.19,1.12,0.08,2.03,0.23,5.99,0.88
16CCT07-GB301M,18-19,0.12,0.04,2.16,0.18,1.24,0.08,2.65,0.25,6.74,0.91
16CCT07-GB301M,19-20,0.22,0.07,2.71,0.28,1.37,0.11,3.04,0.36,10.84,1.44
16CCT07-GB301M,20-21,0.35,0.07,2.87,0.25,1.29,0.09,3.27,0.31,12.71,1.36
16CCT07-GB301M,21-22,0.36,0.07,3.21,0.26,1.32,0.10,3.93,0.33,12.72,1.33
16CCT07-GB301M,22-23,0.52,0.07,3.21,0.25,1.51,0.09,3.52,0.28,11.37,1.21
16CCT07-GB301M,23-24,0.53,0.07,3.07,0.24,1.60,0.09,3.60,0.29,10.74,1.12
16CCT07-GB301M,24-25,0.78,0.07,2.73,0.22,1.46,0.08,3.40,0.26,10.21,1.00
16CCT07-GB301M,25-26,0.25,0.05,1.94,0.18,0.93,0.07,2.34,0.22,7.16,0.91
16CCT07-GB301M,26-27,0.29,0.07,3.05,0.29,1.76,0.12,4.34,0.40,11.40,1.47
16CCT07-GB301M,27-28,0.15,0.06,2.50,0.25,1.49,0.10,4.58,0.35,9.44,1.25
16CCT07-GB301M,28-29,0.13,0.06,2.78,0.28,1.47,0.11,4.13,0.34,10.41,1.44
16CCT07-GB301M,29-30,ND,--,1.93,0.19,1.30,0.08,3.76,0.26,7.73,0.94
16CCT07-GB301M,31-32,ND,--,1.59,0.18,1.36,0.07,2.96,0.26,5.10,0.74
16CCT07-GB301M,33-34,ND,--,1.49,0.19,1.45,0.08,3.63,0.27,6.24,0.87
16CCT07-GB301M,35-36,ND,--,1.72,0.17,1.63,0.08,2.83,0.26,6.34,0.80
16CCT07-GB301M,37-38,ND,--,1.48,0.19,1.39,0.08,2.56,0.25,6.40,0.84
16CCT07-GB301M,38-39,ND,--,1.82,0.18,1.45,0.07,2.60,0.23,5.40,0.77
Lc:Cs-137 = 0.05 dpm/g; Lc:Pb-210 = 0.16 dpm/g; Lc:Ra-226 = 0.11 dpm/g; Lc:Th-234 = 0.23 dpm/g; Lc:K-40 = 0.76 dpm/g,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
16CCT07-GB302M,0-1,0.09,0.05,4.07,0.32,1.63,0.07,2.21,0.33,14.19,0.96
16CCT07-GB302M,1-2,0.14,0.06,4.07,0.36,1.70,0.09,2.48,0.38,13.49,1.07
16CCT07-GB302M,2-3,0.19,0.05,5.61,0.36,1.64,0.08,3.01,0.35,16.04,1.01
16CCT07-GB302M,3-4,0.15,0.05,4.50,0.32,1.58,0.07,3.03,0.35,16.82,1.01
16CCT07-GB302M,4-5,0.18,0.05,4.01,0.33,1.66,0.07,2.78,0.34,15.21,0.99
