Site,Depth ,Bulk Density ,LOI,TOC,N
Little Egg,2,1.05,1.87,0.32,0.26
Little Egg,4,1.51,1.62,0.35,0.28
Little Egg,6,1.13,1.63,0.31,0.29
Little Egg,8,0.94,1.87,0.51,0.27
Little Egg,10,1.37,1.78,0.71,0.28
Little Egg,12,0.80,2.14,0.78,0.31
Little Egg,14,1.09,1.70,0.33,0.24
Little Egg,16,1.02,1.48,0.42,0.22
Little Egg,18,1.22,1.51,0.29,0.18
Little Egg,20,1.13,1.46,0.33,0.19
Little Egg,22,1.22,1.46,0.35,0.18
Little Egg,24,1.24,1.23,0.21,0.18
Little Egg,26,1.38,0.94,0.23,0.14
Little Egg,28,0.85,1.06,0.16,0.12
Yellow Bar,2,0.04,35.36,11.37,1.29
Yellow Bar,4,0.43,14.01,3.91,0.31
Yellow Bar,6,0.13,45.20,13.97,1.07
Yellow Bar,8,0.19,44.01,15.86,1.12
Yellow Bar,10,0.26,20.12,8.94,0.67
Yellow Bar,12,0.59,14.34,4.69,0.49
Yellow Bar,14,0.18,41.86,15.01,1.14
Yellow Bar,16,0.21,48.18,19.20,1.39
Yellow Bar,18,0.19,45.23,18.95,1.26
Yellow Bar,20,0.25,43.41,18.72,1.25
Yellow Bar,22,0.19,38.44,13.87,0.89
Yellow Bar,24,0.25,42.10,17.80,1.15
Yellow Bar,26,0.21,43.64,18.86,1.48
Yellow Bar,28,0.22,46.73,20.12,1.19
Yellow Bar,30,0.13,43.53,18.21,1.03
Yellow Bar,32,0.31,42.24,20.06,1.08
Yellow Bar,34,0.25,45.78,16.00,0.99
Yellow Bar,36,0.28,48.14,20.72,1.12
Yellow Bar,38,0.20,36.15,13.45,0.83
Yellow Bar,40,0.29,37.13,13.15,0.81
Yellow Bar,42,0.43,27.65,10.59,0.82
Yellow Bar,44,0.29,28.09,13.34,0.81
Yellow Bar,46,0.32,28.21,10.39,0.73
Yellow Bar,48,0.45,29.28,10.61,0.75
Yellow Bar,50,0.12,38.20,14.58,0.87
Black Bank,6,0.26,20.93,7.19,0.94
Black Bank,8,0.54,24.66,10.18,1.07
Black Bank,10,0.23,26.29,9.70,0.95
Black Bank,12,0.18,25.42,8.40,0.86
Black Bank,14,0.20,26.12,10.46,1.03
Black Bank,16,0.16,26.88,8.93,0.80
Black Bank,18,0.23,30.38,12.10,0.98
Black Bank,20,0.28,30.34,12.82,1.03
Black Bank,22,0.25,29.40,11.50,0.95
Black Bank,24,0.14,28.18,10.69,0.96
Black Bank,26,0.17,31.02,12.39,1.01
Black Bank,28,0.20,31.08,11.50,0.94
Black Bank,30,0.22,31.22,11.66,0.90
Black Bank,32,0.22,33.14,13.28,1.04
Black Bank,34,0.13,32.67,11.70,0.98
