Site,Depth,Cs-137 Activity ,Cs Error ,Pbxs-210 Activity ,Pbxs Error 
Big Egg,4,0.21,0.06,3.20,0.23
Big Egg,10,0.00,0.00,2.63,0.26
Big Egg,12,0.15,0.08,2.53,0.22
Big Egg,18,0.20,0.08,0.42,0.11
Big Egg,20,0.19,0.08,0.56,0.11
Big Egg,22,0.39,0.09,0.45,0.14
Big Egg,24,0.52,0.09,0.69,0.15
Big Egg,28,0.32,0.09,0.00,0.00
Big Egg,34,0.00,0.00,0.00,0.00
Big Egg,36,0.00,0.00,0.00,0.00
Big Egg,38,0.00,0.00,0.00,0.00
Big Egg,40,0.00,0.00,0.00,0.00
Big Egg,42,0.00,0.00,0.00,0.00
Big Egg,44,0.00,0.00,0.00,0.00
Big Egg,46,0.00,0.00,0.00,0.00
Big Egg,48,0.00,0.00,0.00,0.00
Black Bank,6,0.00,0.00,7.88,0.41
Black Bank,8,0.00,0.00,6.59,0.39
Black Bank,10,0.00,0.00,5.58,0.36
Black Bank,12,0.00,0.00,7.34,0.45
Black Bank,14,0.00,0.00,5.36,0.39
Black Bank,16,0.00,0.00,6.15,0.37
Black Bank,18,0.00,0.00,5.63,0.37
Black Bank,20,0.00,0.00,4.97,0.37
Black Bank,22,0.00,0.00,5.20,0.39
Black Bank,24,0.00,0.00,5.05,0.50
Black Bank,26,0.08,0.36,4.55,0.33
Black Bank,30,0.00,0.00,3.58,0.37
Black Bank,32,0.00,0.00,3.26,0.47
Black Bank,34,0.00,0.00,4.79,0.37
Black Bank,36,0.00,0.00,3.94,0.38
Black Bank,38,0.00,0.00,3.90,0.47
Black Bank,40,0.00,0.00,3.07,0.37
Black Bank,42,0.00,0.00,4.42,0.39
Black Bank,44,0.00,0.00,3.51,0.34
Black Bank,46,0.00,0.00,3.79,0.36
Black Bank,48,0.00,0.00,3.30,0.36
Black Bank,50,0.00,0.00,4.04,0.43
Duck Point,2,0.00,0.00,2.73,0.28
Duck Point,4,0.00,0.00,3.96,0.33
Duck Point,6,0.00,0.00,3.42,0.29
