"[Abbreviations: ID, identification; cm, centimeter; µm, micron; Φ, phi particle size scale; %, percent; Dx, x% of particles are finer than reported value]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core ID,"Depth
 (cm)","Sediment Texture 
(Folk, 1954)",Averaged Sample Runs,"Mean Grain Size 
(µm)","Mean Grain Size 
Standard Deviation
(µm)","Sorting 
(µm)","Sorting
Standard Deviation 
(µm)","Skewness
(µm)","Skewness 
Standard Deviation
(µm)","Kurtosis
(µm)","Kurtosis
Standard Deviation 
(µm)","Mean Grain Size 
(Φ)","Mean Grain Size
Standard Deviation 
(Φ)","Sorting 
(Φ)","Sorting
Standard Deviation 
(Φ)","Skewness 
(Φ)","Skewness
Standard Deviation 
(Φ)","Kurtosis
(Φ)","Kurtosis 
Standard Deviation 
(Φ)","Mean Grain Size 
(Descriptive)","Sorting
(Descriptive)","Skewness 
(Descriptive)","Kurtosis 
(Descriptive)","D10 
(µm)","D10 
Standard Deviation
 (µm)","D50 
(µm)","D50 
Standard Deviation 
(µm)","D90 
(µm)","D90 
Standard Deviation 
(µm)","Sand 
(%)","Sand 
Standard Deviation 
(%)","Mud 
(%)","Mud 
Standard Deviation 
(%)","Very Coarse Sand 
(%)","Coarse Sand
(%)","Medium Sand 
(%)","Fine Sand 
(%)","Very Fine Sand 
(%)","Very Coarse Silt 
(%)","Coarse Silt 
(%)","Medium Silt 
(%)","Fine Silt 
(%)","Very Fine Silt 
(%)","Clay 
(%)"
16CCT07-GB301M,0-1,Muddy Sand,N=8,97.13,2.61,1.836,0.042,-0.265,0.031,1.566,0.062,3.364,0.039,0.876,0.033,0.265,0.031,1.566,0.062,Very Fine Sand,Moderately Sorted,Fine Skewed,Very Leptokurtic,43.46,2.64,100.87,1.92,175.69,4.84,81.7,1.2,18.3,1.2,0.0,0.1,1.0,30.1,50.5,11.4,2.3,1.0,0.7,0.8,2.1
16CCT07-GB301M,4-5,Muddy Sand,N=8,79.47,0.96,2.434,0.021,-0.443,0.011,2.061,0.020,3.653,0.017,1.283,0.013,0.443,0.011,2.061,0.020,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,19.95,0.57,89.54,0.74,161.41,2.65,72.3,0.4,27.7,0.4,0.0,0.2,0.5,23.3,48.4,14.6,4.4,2.3,1.7,1.5,3.3
16CCT07-GB301M,7-8,Muddy Sand,N=8,74.64,1.44,2.717,0.035,-0.519,0.011,2.141,0.180,3.744,0.028,1.442,0.019,0.519,0.011,2.141,0.180,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,11.49,1.04,91.35,1.03,163.11,6.39,72.0,0.4,28.0,0.4,0.0,0.3,0.8,23.8,47.0,12.1,4.2,3.4,2.7,1.9,3.6
16CCT07-GB301M,10-11,Muddy Sand,N=8,82.12,3.04,2.894,0.085,-0.412,0.015,2.090,0.039,3.607,0.053,1.532,0.043,0.412,0.015,2.090,0.039,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,14.49,1.75,94.79,1.58,198.61,1.91,72.6,1.2,27.4,1.2,0.1,1.2,4.0,25.9,41.4,12.5,4.5,2.8,2.0,1.9,3.7
16CCT07-GB301M,13-14,Muddy Sand,N=8,73.01,0.98,3.665,0.199,-0.328,0.013,2.008,0.034,3.776,0.019,1.872,0.078,0.328,0.013,2.008,0.034,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,9.41,0.77,86.55,0.83,232.99,13.34,66.3,0.3,33.7,0.3,1.2,3.1,4.6,21.0,36.4,15.5,5.6,3.3,2.3,2.3,4.7
16CCT07-GB301M,16-17,Muddy Sand,N=8,112.48,0.55,2.734,0.050,-0.388,0.013,1.901,0.043,3.152,0.007,1.451,0.026,0.388,0.013,1.901,0.043,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,26.85,1.17,126.58,0.48,262.16,0.89,80.0,0.2,20.0,0.2,0.0,1.6,9.9,39.3,29.2,9.1,3.3,1.8,1.3,1.4,3.2
16CCT07-GB301M,21-22,Sandy Mud,N=8,14.90,0.29,5.180,0.033,-0.275,0.004,0.876,0.005,6.069,0.028,2.373,0.009,0.275,0.004,0.876,0.005,Medium Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,1.26,0.01,20.53,0.49,94.74,1.91,20.6,0.8,79.4,0.8,0.0,0.0,0.1,4.9,15.6,18.8,16.8,12.6,9.2,7.0,15.0
16CCT07-GB301M,24-25,Sandy Mud,N=8,28.72,1.21,4.422,0.105,-0.517,0.015,1.066,0.005,5.123,0.061,2.144,0.034,0.517,0.015,1.066,0.005,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,2.05,0.06,46.78,3.04,117.60,6.03,38.6,2.9,61.4,2.9,0.0,0.0,0.0,8.2,30.5,22.2,11.5,8.0,5.5,4.6,9.7
16CCT07-GB301M,27-28,Sandy Mud,N=7,39.87,2.03,4.201,0.276,-0.490,0.022,1.282,0.034,4.651,0.074,2.068,0.094,0.490,0.022,1.282,0.034,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,3.16,0.51,59.58,1.87,151.46,6.46,48.0,1.2,52.0,1.2,0.4,0.7,0.9,13.9,32.1,20.1,9.9,6.5,4.2,3.5,7.6
16CCT07-GB301M,31-32,Muddy Sand,N=8,57.78,1.71,3.319,0.054,-0.572,0.003,1.561,0.028,4.114,0.043,1.730,0.023,0.572,0.003,1.561,0.028,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,7.45,0.51,80.75,1.48,153.63,2.06,61.6,1.0,38.4,1.0,0.0,0.0,0.1,21.7,39.8,15.8,7.5,4.8,2.9,2.3,5.1
