study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,age,age_se,c14_age,c14_age_se,c14_material
Belshe_et_al_2019,EP,EP05,single set of methods,0,1,0.184,0.10371,-65,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,1,2,0.314,0.07301,-64,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,2,3,0.252,0.06458,-61,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,3,4,0.4,0.0558,-59,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,4,5,0.469,0.05749,-56,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,5,6,0.44,0.05854,-53,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,6,7,0.368,0.0588,-50,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,7,8,0.336,0.065309999999999993,-47,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,8,9,0.321,0.07533000000000001,-44,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,9,10,0.427,0.05527,-41,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,10,11,0.514,0.06103,-37,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,11,12,0.543,0.061950000000000005,-33,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,12,13,0.66,0.05623,-29,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,13,14,0.465,0.06672,-22,0.211999576001272,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,14,15,0.493,0.06839,-16,0.211999576001272,NA,NA,NA
