study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon
Ward_et_al_2021,Tomales Bay,Tomales Bay 1,single set of methods,0,2,0.97,0.0661,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 1,single set of methods,2,4,1.13,0.0709,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 1,single set of methods,4,6,1.07,0.0779,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 1,single set of methods,6,8,0.87,0.0801,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 1,single set of methods,8,10,0.81,0.0771,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 1,single set of methods,10,12,1.21,0.0733,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 1,single set of methods,12,14,0.89,0.0662,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 1,single set of methods,14,16,0.84,0.062400000000000004,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 2,single set of methods,0,2,0.92,0.0739,0.02519
Ward_et_al_2021,Tomales Bay,Tomales Bay 2,single set of methods,2,4,1.22,0.075,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 2,single set of methods,4,6,1.22,0.06849999999999999,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 2,single set of methods,6,8,1.45,0.0655,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 2,single set of methods,8,10,1.46,0.08039999999999999,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 2,single set of methods,10,12,1.31,0.0739,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 2,single set of methods,12,14,1.11,0.0765,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 2,single set of methods,14,16,1.09,0.07769999999999999,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 3,single set of methods,0,2,1.23,0.0728,0.02236
Ward_et_al_2021,Tomales Bay,Tomales Bay 3,single set of methods,2,4,1.16,0.0817,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 3,single set of methods,4,6,1.08,0.0781,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 3,single set of methods,6,8,1.41,0.0768,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 3,single set of methods,8,10,1.09,0.0783,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 3,single set of methods,10,12,1.02,0.0781,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 3,single set of methods,14,16,1.15,0.1012,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 3,single set of methods,18,20,1.09,0.07440000000000001,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 4,single set of methods,0,2,0.65,0.0721,0.02284
Ward_et_al_2021,Tomales Bay,Tomales Bay 4,single set of methods,2,4,1.11,0.075,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 4,single set of methods,4,6,1.22,0.0695,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 4,single set of methods,6,8,1.31,0.0723,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 4,single set of methods,8,10,1.3,0.0796,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 4,single set of methods,10,12,1.22,0.08220000000000001,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 4,single set of methods,12,14,1.37,0.0779,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 4,single set of methods,14,16,1.12,0.0755,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 5,single set of methods,0,2,0.94,0.0712,0.02253
Ward_et_al_2021,Tomales Bay,Tomales Bay 5,single set of methods,2,4,1.15,0.0757,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 5,single set of methods,4,6,1.2,0.0766,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 5,single set of methods,6,8,1.36,0.0793,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 5,single set of methods,8,10,1.41,0.0851,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 5,single set of methods,10,12,1.26,0.081,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 5,single set of methods,12,14,1.6,0.0797,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 5,single set of methods,14,16,0.46,0.0819,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 6,single set of methods,0,2,0.81,0.0707,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 6,single set of methods,2,4,1.18,0.07690000000000001,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 6,single set of methods,4,6,1.09,0.08130000000000001,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 6,single set of methods,6,8,1.01,0.0965,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 6,single set of methods,8,10,0.92,0.08,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 6,single set of methods,10,12,0.95,0.0761,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 6,single set of methods,14,16,1.12,0.0812,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 6,single set of methods,18,20,1.1,0.0867,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 7,single set of methods,0,2,1.17,0.0483,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 7,single set of methods,2,4,0.94,0.0634,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 7,single set of methods,4,6,1.21,0.04650000000000001,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 7,single set of methods,6,8,1.13,0.032799999999999996,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 7,single set of methods,10,12,1.18,0.016399999999999998,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 7,single set of methods,14,16,1.35,0.0226,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 7,single set of methods,18,20,1.42,0.0161,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 9,single set of methods,0,2,1.44,0.0111,0.00101
Ward_et_al_2021,Tomales Bay,Tomales Bay 9,single set of methods,2,4,1.34,0.0123,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 9,single set of methods,4,6,1.34,0.009000000000000001,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 9,single set of methods,6,8,1.35,0.0091,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 9,single set of methods,10,12,1.34,0.0108,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 9,single set of methods,14,16,1.31,0.0176,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 9,single set of methods,18,20,1.12,0.0183,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 11,single set of methods,0,2,0.26,0.10769999999999999,0.02086
Ward_et_al_2021,Tomales Bay,Tomales Bay 11,single set of methods,2,4,0.44,0.1291,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 11,single set of methods,4,6,0.73,0.13269999999999998,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 11,single set of methods,6,8,0.67,0.131,0.01954
Ward_et_al_2021,Tomales Bay,Tomales Bay 11,single set of methods,10,12,0.51,0.0973,0.020630000000000003
Ward_et_al_2021,Tomales Bay,Tomales Bay 11,single set of methods,14,16,0.59,0.1325,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 11,single set of methods,18,20,0.6,0.1069,0.022010000000000002
Ward_et_al_2021,Tomales Bay,Tomales Bay 13,single set of methods,0,2,0.78,0.0052,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 13,single set of methods,2,4,1.56,0.0073,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 13,single set of methods,4,6,1.32,0.004,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 13,single set of methods,6,8,1.2,0.0054,NA
