"","X","study_id","site_id","core_id","method_id","depth_min","depth_max","dry_bulk_density","fraction_organic_matter","cs137_activity","cs137_activity_se","cs137_unit","excess_pb210_activity","excess_pb210_activity_se","total_pb210_activity","total_pb210_activity_se","pb210_unit","pb214_activity","pb214_activity_se","pb214_unit","bi214_activity","bi214_activity_se","bi214_unit","age","age_min","age_max","depth_interval_notes"
"1",1,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",1,2,NA,NA,0.05,0,"dpm/g",1.63,0.18,2.35,0.17,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"2",2,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",2,3,NA,NA,0.05,0,"dpm/g",0.3,0.08,1,0.07,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"3",3,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",3,4,NA,NA,0.06,0,"dpm/g",0.3,0.1,1.14,0.08,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"4",4,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",4,5,NA,NA,0.07,0,"dpm/g",0.27,0.11,1.09,0.08,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"5",5,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",5,6,NA,NA,0.06,0,"dpm/g",0.13,0.1,0.92,0.07,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"6",6,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",6,7,NA,NA,0.05,0,"dpm/g",0.13,0.08,0.92,0.07,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"7",7,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",7,8,NA,NA,0.09,0,"dpm/g",0.11,0.08,0.93,0.07,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"8",8,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",8,9,NA,NA,0.06,0,"dpm/g",0.14,0.09,0.95,0.07,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"9",9,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",9,10,NA,NA,0.06,0,"dpm/g",0.29,0.15,1.12,0.08,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"10",10,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",10,11,NA,NA,0.08,0,"dpm/g",0.19,0.1,1.1,0.08,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"11",11,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",11,12,NA,NA,0.08,0,"dpm/g",0.17,0.14,1.04,0.08,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"12",12,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",12,13,NA,NA,0.05,0,"dpm/g",0.09,0.09,0.95,0.07,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"13",13,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",13,14,NA,NA,0.07,0,"dpm/g",0.29,0.09,1.11,0.08,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"14",14,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",14,15,NA,NA,0.07,0,"dpm/g",0.24,0.1,1.14,0.08,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"15",15,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",15,16,NA,NA,0.08,0,"dpm/g",0.08,0.08,0.94,0.07,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"16",16,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",16,17,NA,NA,0.05,0,"dpm/g",0.13,0.07,0.97,0.07,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"17",17,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",17,18,NA,NA,0.07,0,"dpm/g",-0.09,0.09,0.85,0.06,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"18",18,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",18,19,NA,NA,0.07,0,"dpm/g",0.11,0.14,1.08,0.08,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"19",19,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",19,20,NA,NA,0.07,0,"dpm/g",0.01,0.12,0.98,0.07,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"20",20,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",20,21,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"21",21,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",21,22,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"22",22,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",22,23,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"23",23,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",23,24,NA,NA,0.07,0,"dpm/g",0.25,0.1,1.22,0.09,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"24",24,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",24,25,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"25",25,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",25,26,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"26",26,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",26,27,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"27",27,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",27,28,NA,NA,0.05,0,"dpm/g",-0.09,0.08,0.85,0.06,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"28",28,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",28,29,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"29",29,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",29,30,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"30",30,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",30,31,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
