SiteName,SiteCode,BulkDensity,MoistureContent,pH,Conductivity,NO3-N,NH4-N,OrganicMatter,BelowGround,Carbon,Nitrogen
Tollesbury,1.1,1.063666983,23.82521581,6.34,7.75,0.001732538,0.012203092,3.854101982,0.415394401,1.7511,0.27482
Tollesbury,1.2,1.035277253,23.21387916,6.42,8.68,0,0.009698874,4.036161081,0.25146481,1.7837,0.24537
Tollesbury,1.3,1.081597570,24.73931373,6.49,8.34,0.0004198,0.004046595,3.833551111,0.389133836,1.5813,0.25999
Tollesbury,1.4,1.064899550,26.03695359,6.71,9.83,0.003433254,0.007267976,4.815344442,0.75598598,2.0818,0.31435
Orplands,2.1,0.931640772,29.68389693,6.85,12.83,0.000356356,0.009621616,5.909924173,0.044563384,2.7074,0.34679
Orplands,2.2,0.890627393,33.52728037,6.96,13.78,0.00092632,0.008901027,5.901314417,0.450408489,2.7247,0.40005
Orplands,2.3,0.934215548,31.75441002,6.88,11.89,0.003324933,0.008751278,5.095280097,0.183028185,2.2737,0.30515
Orplands,2.4,0.846384050,34.26179036,6.88,11.96,0.003479907,0.017302488,6.480662703,0.185415509,3.1199,0.359
Northey MR,3.1,0.796839958,33.83040488,6.5,15.6,0.000775274,0.015014008,8.449813937,1.5390283,4.648,0.46115
Northey MR,3.2,0.689033614,39.05180991,6.5,14.5,0.000586169,0.009433878,7.070356377,1.130795871,3.5109,0.37323
Northey MR,3.3,0.715402073,40.04083537,6.62,14.61,0.000403147,0.011093495,7.905236136,1.139549393,4.4779,0.43287
Northey MR,3.4,0.751433899,36.88563172,6.67,15.5,0.001548628,0.01212513,8.393088287,0.791000067,4.2827,0.46661
Barrow Hill,4.1,0.423071332,55.7186372,7.1,30.8,0.003335143,0.01560242,7.803217553,1.907471993,4.0779,0.44435
Barrow Hill,4.2,0.536374716,46.27788192,7.45,28.2,0.00487005,0.011248335,6.980746026,1.260507149,3.4621,0.40844
Barrow Hill,4.3,0.595578637,46.11182526,7.47,26.2,0.007469602,0.013149318,7.110182768,1.805612829,3.4808,0.41109
Barrow Hill,4.4,0.455443475,53.30425006,7.45,29.6,0.004225747,0.011121883,7.590350156,3.099542517,3.9297,0.43343
Ferry Lane (B),5.1,0.538230641,45.9548954,7.61,23,0.008162042,0.005282966,5.91762969,0.345366227,3.4929,0.38559
Ferry Lane (B),5.2,0.479725235,52.35143904,7.55,26.1,0.010214416,0.008999241,6.863933041,0.262605656,4.0063,0.40183
Ferry Lane (B),5.3,0.501746108,49.19329888,7.61,24.7,0.011003087,0.005828811,6.808307617,1.141936717,4.0188,0.39782
Ferry Lane (B),5.4,0.474819722,51.17092026,7.68,23.6,0.006806489,0.008646269,6.466985039,0.722563442,3.683,0.35836
Wallasea Island,6.1,0.475168978,53.54670725,7.7,29.6,0.023319787,0.01257534,5.319313597,1.952831152,3.9534,0.354
Wallasea Island,6.2,0.469208621,50.51772221,7.83,23.4,0.016191439,0.01255338,4.495139975,1.376690258,3.3861,0.33323
Wallasea Island,6.3,0.619582759,48.10155026,7.85,25.1,0.007535153,0.007361372,4.51819517,1.414091669,3.346,0.31085
Wallasea Island,6.4,0.579976134,46.66727398,7.99,18.99,0.000830735,0.005190375,3.821931787,0.48940145,2.9283,0.26325
Northey Island,7.1,0.557765159,46.73709677,6.3,23.1,0,0.011135502,9.209589366,5.688197666,4.9792,0.48746
Northey Island,7.2,0.386862668,57.40136061,5.4,42.5,0.002328242,0.023573451,14.76569316,4.481803197,8.2238,0.67766
Northey Island,7.3,0.329469579,64.57665095,6.26,40.4,0.001997438,0.012482186,12.71557104,2.998479128,7.1068,0.65004
Northey Island,7.4,0.344377104,57.81417506,5.03,49.2,0.000569866,0.012075394,16.0862567,5.260070869,8.8929,0.74514
North Fambridge,8.1,0.737752752,36.83098242,7.31,23,0.002485625,0.008696127,5.577402088,0.328654957,2.7773,0.3154
North Fambridge,8.2,0.539838992,52.7146274,7.4,24.3,0.005322544,0.010630565,6.17826486,2.637197407,3.0664,0.36589
North Fambridge,8.3,0.662753574,44.16236273,7.24,21.8,0.005719787,0.010512232,5.715713007,0.187802833,2.9281,0.35769
North Fambridge,8.4,0.707217966,39.11377492,7.38,23.4,0.003917434,0.006341171,5.636099101,0.32069721,2.8679,0.34782
Brandy Hole,9.1,0.552990506,49.21002706,7.45,23.3,0.00487878,0.006131723,6.387138159,0.273746502,3.2997,0.36073
Brandy Hole,9.2,0.511699490,51.89943849,7.05,30.1,0,0.009742391,8.169578256,3.251535487,4.4048,0.444
Brandy Hole,9.3,0.565832553,50.43734863,7.27,23.4,0.004469957,0.010275366,6.593723302,1.152281788,3.3527,0.43086
Brandy Hole,9.4,0.516957797,51.8969975,7.07,26.7,0.002851217,0.010428711,7.804465005,1.955218476,4.0692,0.40533
Tollesbury Natural,10.1,0.289320058,62.18195793,5.9,66.4,0.000295011,0.014713683,18.55690542,8.64052186,10.026,0.75072
Tollesbury Natural,10.2,0.312451480,64.84417561,5.78,59,0.000948635,0.017644613,17.5091779,8.067564065,10.51,0.7764
Tollesbury Natural,10.3,0.280551497,67.71831474,5.7,68.9,0.000157423,0.011184184,19.52183957,8.745564123,11.371,0.80769
Tollesbury Natural,10.4,0.248971593,69.86034415,4.72,83.4,0.000396552,0.013064583,23.85558928,7.235979488,13.379,0.96242
Orplands Natural,11.1,0.362812567,63.37637951,6.53,39,0.001883007,0.014143634,12.3196877,8.215578162,6.6781,0.59711
Orplands Natural,11.2,0.478448457,53.36483161,6.54,30.1,0.004382146,0.010194769,10.25841896,2.622873462,5.4692,0.53628
Orplands Natural,11.3,0.633927937,46.35481188,6.57,21.5,0.004156883,0.00755294,7.260627629,0.981985999,4.0771,0.38512
Orplands Natural,11.4,0.660311428,43.4506103,6.86,19.98,0.00562359,0.007825344,6.78644987,0.238732415,3.2699,0.37301
Northey Natural,12.1,0.396175008,60.97926123,6.53,31,0.00937039,0.016755285,11.16756699,3.016781946,6.1241,0.5741
Northey Natural,12.2,0.378984492,58.35116715,6.9,33.5,0.002906554,0.017841443,10.38735379,2.200317088,5.2312,0.53528
Northey Natural,12.3,0.309731696,66.28595403,5.41,45.6,0.005078871,0.017218438,17.0013557,5.44071173,9.516,0.80246
Northey Natural,12.4,0.262761496,67.70039826,5.64,41.6,0.00697023,0.012919207,15.88443018,8.48693734,8.9677,0.74788
