Core ID,Depth range     (cm),Bulk density (g/cm3),%OC (Craft et al. 1991),C density (g/cm3),gC/sqm over depth range,Phragmites rhizome weight (g),Phragmites rhizome volume (cm3),Phragmites root weight (g),Phragmites root volume (cm3),Cyperus esculentus weight (g),Cyperus esculentusvolume (cm3),S.patens weight (g),S.patens volume (cm3),Unidentified material weight (g),Unidentified material volume (cm3),%Phragmites volume,%Cyperus volume,%S.patens volume,%Unidentified material volume,
LP1-1,0-2,0.305,5.13,0.016,312.9,,,,,,,,,,,,,,,
LP1-1,2-4,0.441,5.13,0.023,452.2,,,,,,,,,,,,,,,
LP1-1,4-6,0.468,6.04,0.028,565.5,0.372,1.4,0.119,1.4,0.45,6.2,2.551,16.6,0.703,6.7,1.58,3.51,9.39,3.79,
LP1-1,6-8,0.486,4.48,0.022,435.3,0.756,5,0.278,3,0.368,5,1.88,14.3,1.774,16.3,4.53,2.83,8.09,9.25,
LP1-1,8-10,0.473,4.15,0.020,392.6,0.327,2,0.265,3.6,0.819,7,0.722,6.5,2.67,24.3,3.17,3.96,3.68,13.74,
LP1-1,10-12,0.517,4.94,0.026,511.6,1.578,9,0.524,8,1.561,12.2,0.517,7.2,1.886,17.9,9.62,6.90,4.07,10.14,
LP1-1,12-14,0.700,4.57,0.032,640.0,0.768,4,0.336,5.4,4.796,25,0.205,3,1.812,18.1,5.32,14.15,1.70,10.22,
LP1-1,14-16,0.632,4.41,0.028,557.1,1.284,14,0.404,6.8,1.373,9,0.481,8.2,2.325,20.2,11.77,5.09,4.64,11.45,
LP1-1,16-18,0.799,4.14,0.033,660.7,0.535,5,0.457,8.4,0.525,4,0.88,10.6,0.949,7.9,7.58,2.26,6.00,4.47,
LP1-1,18-20,0.777,4.06,0.031,629.8,1.009,9,0.374,5.8,0.062,1,0.923,12,0.981,8.5,8.38,0.57,6.79,4.79,
LP1-1,20-22,0.716,3.26,0.023,466.6,0.32,2.2,0.631,8.6,0.095,1.2,1.447,16,1.5,15.3,6.11,0.68,9.05,8.67,
LP1-1,22-24,0.647,3.71,0.024,479.9,0,0,0.316,5,0.108,1,0.763,9.8,0.852,8.9,2.83,0.57,5.55,5.02,
LP1-1,24-26,0.782,3.53,0.028,551.8,0.308,3.2,0.519,6.6,0.064,1,1.284,13.6,1.703,16.1,5.55,0.57,7.70,9.11,
LP1-1,26-28,0.759,3.40,0.026,516.2,0,0,0.255,4,0.034,0.6,1.021,10,0.817,7.6,2.26,0.34,5.66,4.28,
LP1-1,28-30,0.806,3.30,0.027,531.4,0.917,9,0.262,3.2,0.02,0.4,1.504,14.2,0.88,8.2,6.90,0.23,8.04,4.62,
LP1-1,30-32,0.745,3.56,0.026,529.7,0,0,0.184,2.6,0.013,0.2,1.254,11.4,0.743,2.2,1.47,0.11,6.45,1.24,
LP1-1,32-34,0.902,3.04,0.027,548.4,0.543,5.4,0.19,2.8,0,0,1.229,12,0.735,2.8,4.64,0.00,6.79,1.58,
LP1-1,34-36,0.818,3.14,0.026,513.0,0,0,0.096,1.6,0,0,0.683,6.7,0.917,5.4,0.91,0.00,3.79,3.06,
LP1-1,36-38,0.966,3.06,0.030,591.2,0.397,3,0.153,2,0,0,0.563,5.6,0.839,4.8,2.83,0.00,3.17,2.72,
LP2-1,0-2,0.302,9.18,0.028,554.9,3.434,22,0.635,8,0,0,,,0.942,5.9,16.98,0.00,,3.32,
