Code,Taxon,Authority,Reference,Total_Surf,Total_Core
Ach_brev,Achnanthes brevipes var. brevipes,Agardh 1824 ,Witkowski and others (2000),19,25
Ach_curv,Achnanthes curvirostrum,Brun 1895,Patrick and Reimer (1966),2,3
Act_curv,Actinocyclus curvatulus,Janisch in Schmidt 1878 ,Witkowski and others (2000),5,7
Act_ocho,Actinocyclus ochotensis,Jousé 1968 ,Witkowski and others (2000),28,18
Act_octo,Actinocyclus octonarius,(Ehrenberg 1837) Kützing 1844 ,Witkowski and others (2000),24,25
Act_sena,Actinoptychus senarius,(Ehrenberg) Ehrenberg 1843,Witkowski and others (2000),33,45
Amp_oval,Amphora ovalis var. libyca,(Ehrenberg) Cleve 1895,Patrick and Reimer (1975),28,9
Amp_prot,Amphora proteus,Gregory 1857,Foged (1984),15,12
Amp_sabi,Halamphora sabiniana,(Reimer) Z. Levkov 2009,Patrick and Reimer (1975) as Amphora sabiniana,5,2
Amp_stri,Amphora strigosa,Hustedt 1949,Witkowski and others (2000),9,0
Amp_sulc,Amphora sulcata,Schmidt 1875,Peragallo and Peragallo (1897-1908),2,0
Amp_coff,Halamphora coffeaeformis,(Agardh) Z. Levkov 2009,Patrick and Reimer (1975) as Amphora coffeaeformis,31,13
Ano_spha,Anomoeoneis sphaerophora,Pfitzer 1871,Patrick and Reimer (1966),15,6
Aul_gran,Aulacoseira granulata,(Ehrenberg) Simonsen 1979,Krammer and Lange-Bertalot (1991),4,2
Bac_para,Bacillaria paradoxa,Gmelin in Linneaeus 1788,Krammer and Lange-Bertalot (1988),35,5
Bid_pulc,Biddulphia pulchella,S.F. Gray 1821,Witkowski and others (2000),4,0
Bid_rhom,Biddulphia rhombus,(Ehrenberg) W. Smith in Roper 1854,Peragallo and Peragallo (1897-1908),12,24
Bir_circ,Biremis circumtexta,"(Meister ex Hustedt) H. Lange-Bertalot and A. Witkowski in A. Witkowski, H. Lange-Bertalot and D. Metzeltin 2000",Witkowski and others (2000),2,0
Bra_vitr,Brachysira vitrea,(Grunow) R. Ross in Hartley 1986,Patrick and Reimer (1966),3,1
Cal_baci,Caloneis bacillum,(Grunow) Cleve 1894,Patrick and Reimer (1966),18,4
Cal_bude,Caloneis budensis,(Grunow) Krammer in Krammer and Lange-Bertalot 1985,Krammer and Lange-Bertalot (1999),8,0
Cal_form,Caloneis formosa,(Gregory) Cleve 1894,Foged (1984),31,34
Cal_mace,Caloneis macedonica,Hustedt 1945,Krammer and Lange-Bertalot (1999),3,4
Cal_spp1,Caloneis spp1,,,8,0
Cam_limb,Campylodiscus limbatus,Brébisson 1854,Navarro (1983),3,0
Coc_plac,Cocconeis placentula var. lineata,(Ehrenberg) Cleve 1895,Hustedt (1931-1959),21,3
Cos_spp,Coscinodiscus spp. complex,,,23,30
Cra_cusp,Craticula cuspidata,"(Kützing) Mann in Round, Crawford and Mann 1990",Patrick and Reimer (1966) as Navicula cuspidata,7,3
Cyc_lito,Cyclotella litoralis,Lange and Syvertsen 1989,Tanaka (2007),6,2
Cyc_mene,Cyclotella meneghiniana (species complex),Kützing 1844,Krammer and Lange-Bertalot (1986),45,47
Cyc_spp1,Cyclotella sp1,,,2,3
Dip_bomb,Diploneis bombus,"(Ehrenberg) Cleve, 1894",Patrick and Reimer (1966),13,29
Dip_crab,Diploneis crabro,(Ehrenberg) Ehrenberg 1854,Witkowski and others (2000),20,44
Dip_grue,Diploneis gruendleri,"(A Schmidt) Cleve, 1894",Navarro (1982),5,29
Dip_smdi,Diploneis smithii var. dilatata,(Peragallo) Terry 1894,Witkowski and others (2000),23,25
Dip_smit,Diploneis smithii var. smithii,(Brébisson) Cleve 1894,Witkowski and others (2000),30,36
Dip_smpu,Diploneis smithii var. pumila,(Grunow) Hustedt 1937,Patrick and Reimer (1966),17,2
Enc_min,Encyonema minutum var. pseudogracilis,(Cholnoky) Czarnecki 1994,Patrick and Reimer (1975),6,3
