study_id,site_id,core_id,sample_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,c14_age,c14_age_se,c14_material,age,age_se,method_id
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,0,4,0.265486726,0.44,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,4,8,0.62878435,0.11,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,8,12,0.642757336,0.12,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,12,16,0.62878435,0.11,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,16,20,1.020027946,0.06,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,20,24,0.926874709,0.06,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,24,28,0.824406148,0.05,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,28,32,0.926874709,0.05,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,32,36,0.791802515,0.06,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,36,40,0.661387983,0.11,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,40,44,0.437820214,0.16,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,44,50,0.605496041,0.12,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,50,52,0.544946437,0.15,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,52,56,0.596180717,0.11,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,56,60,0.50302748,0.14,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,60,64,0.363297625,0.21,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,64,68,0.349324639,0.33,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,68,72,0.372612948,0.4,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,72,76,0.321378668,0.3,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,76,80,0.284117373,0.25,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,80,84,0.367955286,0.23,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,84,88,0.386585934,0.19,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,88,92,0.596180717,0.13,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,92,96,0.740568235,0.08,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,96,100,0.75454122,0.07,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,100,104,0.791802515,0.06,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,104,108,0.70330694,0.07,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,108,112,0.670703307,0.08,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,112,116,0.656730321,0.08,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,116,120,0.838379134,0.07,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,120,124,0.77782953,0.07,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,124,128,0.9035864,0.06,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,128,132,0.824406148,0.07,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,132,136,0.843036796,0.07,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,136,140,0.787144853,0.07,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,140,144,0.796460177,0.07,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,144,150,0.693991616,0.08,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,150,152,0.805775501,0.1,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,152,156,0.675360969,0.08,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,156,160,0.572892408,0.11,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,160,164,0.414531905,0.16,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,164,168,0.582207732,0.11,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,168,172,0.498369818,0.11,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,172,176,0.554261761,0.15,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,176,180,0.540288775,0.15,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,180,184,0.405216581,0.22,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,184,188,0.484396833,0.16,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,188,192,0.414531905,0.22,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,192,196,0.461108524,0.18,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,196,200,0.428504891,0.17,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,200,204,0.391243596,0.18,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,204,208,0.456450862,0.15,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,208,212,0.4517932,0.15,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,212,216,0.447135538,0.16,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,216,220,0.666045645,0.1,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,220,224,0.540288775,0.13,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,224,228,0.563577084,0.13,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,228,232,0.619469027,0.14,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,232,236,0.349324639,0.27,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,236,240,0.680018631,0.11,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,240,244,0.670703307,0.1,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,244,248,0.731252911,0.08,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,248,252,0.693991616,0.1,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,252,256,0.759198882,0.09,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,CAMS-125882,254,254,NA,NA,1710,35,Sarcocornia rhizome,323,64,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,256,260,0.787144853,0.09,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,260,264,0.731252911,0.08,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,264,268,0.712622264,0.09,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,268,272,0.936190033,0.07,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,272,276,0.838379134,0.06,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,276,280,0.926874709,0.06,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,280,284,0.940847694,0.06,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,284,288,1.113181183,0.07,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,288,292,0.884955752,0.07,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,292,296,0.940847694,0.06,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,296,300,1.052631579,0.07,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_2,NA,0,4,0.5915,0.28,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_2,NA,4,8,1.1178,0.08,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_2,NA,8,12,1.02,0.07,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_2,NA,12,16,1.0387,0.07,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_2,NA,16,20,0.9967,0.07,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_2,NA,20,24,1.1132,0.07,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_2,NA,24,28,0.9315,0.08,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_2,NA,28,32,0.8104,0.13,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_2,NA,32,36,0.6847,0.16,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_2,NA,36,40,0.8384,0.13,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_2,NA,40,44,0.7965,0.13,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_2,NA,44,50,1.0293,0.11,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_2,NA,50,52,1.0293,0.09,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_2,NA,52,56,0.7639,0.1,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_2,NA,56,60,0.8151,0.08,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_2,NA,60,64,0.6195,0.14,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_2,NA,64,68,0.6241,0.15,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_2,NA,68,72,0.5543,0.16,NA,NA,NA,NA,NA,single set of methods
Watson_and_Byrne_2013,Bair_Island,Bair_Island_2,NA,72,76,0.517,0.16,NA,NA,NA,NA,NA,single set of methods
