study_id,site_id,core_id,impact_class
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_1,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_2,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_3,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_4,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_5,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_6,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_7,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_8,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_9,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_10,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_11,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_12,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_13,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_14,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_15,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_16,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_17,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_18,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_19,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_20,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_21,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_22,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_23,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_24,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_25,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_26,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_27,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_28,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_29,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_30,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_31,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_32,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_33,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_34,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_35,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_36,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_37,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_38,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_39,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_40,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_41,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_42,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_43,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_44,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_45,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_46,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_47,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_48,natural
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_49,natural
