study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_carbon
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_1,single set of methods,0,15,1,1.07,0.0096
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_1,single set of methods,15,30,2,1.16,0.005
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_1,single set of methods,30,45,3,1,0.006
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_1,single set of methods,45,110,4,0.85,0.0137
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_1,single set of methods,110,185,5,0.99,0.0087
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_1,single set of methods,185,200,6,1.02,0.008199999999999999
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_2,single set of methods,0,15,1,0.64,0.015700000000000002
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_2,single set of methods,15,30,2,0.56,0.0176
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_2,single set of methods,30,45,3,0.68,0.0159
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_2,single set of methods,45,110,4,0.73,0.0143
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_2,single set of methods,110,185,5,0.91,0.011699999999999999
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_2,single set of methods,185,200,6,0.84,0.0102
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_3,single set of methods,0,15,1,0.67,0.021
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_3,single set of methods,15,30,2,0.85,0.0191
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_3,single set of methods,30,45,3,0.95,0.0183
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_3,single set of methods,45,110,4,1.24,0.0128
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_3,single set of methods,110,185,5,0.99,0.0104
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_3,single set of methods,185,200,6,1.33,0.0074
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_4,single set of methods,0,15,1,0.66,0.0183
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_4,single set of methods,15,30,2,0.71,0.0161
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_4,single set of methods,30,45,3,0.76,0.0148
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_4,single set of methods,45,110,4,0.79,0.0124
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_4,single set of methods,110,185,5,0.88,0.0177
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_4,single set of methods,185,200,6,0.82,0.0132
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_5,single set of methods,0,15,1,0.45,0.0159
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_5,single set of methods,15,30,2,0.46,0.016
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_5,single set of methods,30,45,3,0.58,0.0167
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_5,single set of methods,45,110,4,0.5,0.0152
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_5,single set of methods,110,185,5,0.58,0.0149
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_5,single set of methods,185,200,6,0.43,0.0161
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_6,single set of methods,0,15,1,0.76,0.0127
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_6,single set of methods,15,30,2,0.87,0.0167
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_6,single set of methods,30,45,3,0.76,0.0202
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_6,single set of methods,45,110,4,0.91,0.0167
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_6,single set of methods,110,185,5,1.08,0.0109
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_6,single set of methods,185,200,6,1.02,0.0088
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_7,single set of methods,0,15,1,0.64,0.0161
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_7,single set of methods,15,30,2,0.65,0.0227
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_7,single set of methods,30,45,3,0.62,0.022000000000000002
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_7,single set of methods,45,110,4,0.72,0.016
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_7,single set of methods,110,185,5,1.2,0.011399999999999999
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_7,single set of methods,185,200,6,1.27,0.0074
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_8,single set of methods,0,15,1,0.26,0.022099999999999998
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_8,single set of methods,15,30,2,0.29,0.02
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_8,single set of methods,30,45,3,0.28,0.027200000000000002
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_8,single set of methods,45,110,4,0.47,0.0158
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_8,single set of methods,110,185,5,0.6,0.006
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_8,single set of methods,185,200,6,0.6,0.0031
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_9,single set of methods,0,15,1,0.41,0.021
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_9,single set of methods,15,30,2,0.4,0.0278
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_9,single set of methods,30,45,3,0.44,0.0304
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_9,single set of methods,45,110,4,0.6,0.0248
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_9,single set of methods,110,185,5,1.27,0.0126
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_9,single set of methods,185,200,6,2.21,0.0072
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_10,single set of methods,0,15,1,0.79,0.0131
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_10,single set of methods,15,30,2,0.72,0.015
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_10,single set of methods,30,45,3,0.74,0.011899999999999999
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_10,single set of methods,45,110,4,0.77,0.0127
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_10,single set of methods,110,185,5,0.85,0.011000000000000001
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_10,single set of methods,185,200,6,0.89,0.0073
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_11,single set of methods,0,15,1,0.74,0.015700000000000002
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_11,single set of methods,15,30,2,0.79,0.013999999999999999
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_11,single set of methods,30,45,3,0.77,0.011399999999999999
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_11,single set of methods,45,110,4,0.64,0.025699999999999997
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_11,single set of methods,110,185,5,0.8,0.0178
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_11,single set of methods,185,200,6,0.93,0.0104
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_12,single set of methods,0,15,1,0.8,0.0218
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_12,single set of methods,15,30,2,0.81,0.0213
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_12,single set of methods,30,45,3,0.88,0.026000000000000002
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_12,single set of methods,45,110,4,0.88,0.0254
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_12,single set of methods,110,185,5,0.77,0.0179
