study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_unit,pb210_unit,ra226_activity,ra226_unit,excess_pb210_activity,excess_pb210_activity_se,delta_c13
Arriola_and_Cable_2017,snipe_creek_low_marsh,snipe_creek_M,0,2,0.36,0.5926,0.1318,11.07,becquerelsPerKilogram,becquerelsPerKilogram,40.71,becquerelsPerKilogram,271.97,41.22,-25.15
Arriola_and_Cable_2017,snipe_creek_low_marsh,snipe_creek_M,2,3,0.45,0.5134000000000001,0.1462,13.76,becquerelsPerKilogram,becquerelsPerKilogram,50.65,becquerelsPerKilogram,253.28,40.32,-24.87
Arriola_and_Cable_2017,snipe_creek_low_marsh,snipe_creek_M,3,4,0.47,0.4824,0.141,12.56,becquerelsPerKilogram,becquerelsPerKilogram,46.64,becquerelsPerKilogram,243.84,39.64,-24.81
Arriola_and_Cable_2017,snipe_creek_low_marsh,snipe_creek_M,4,5,0.47,0.5861,0.1391,13.57,becquerelsPerKilogram,becquerelsPerKilogram,51.23,becquerelsPerKilogram,189.44,35.76,-25.07
Arriola_and_Cable_2017,snipe_creek_low_marsh,snipe_creek_M,5,6,0.46,0.4334,0.09179999999999999,14.54,becquerelsPerKilogram,becquerelsPerKilogram,46.49,becquerelsPerKilogram,215.45,35.1,-25.01
Arriola_and_Cable_2017,snipe_creek_low_marsh,snipe_creek_M,6,7,0.45,0.5527000000000001,0.1412,13.55,becquerelsPerKilogram,becquerelsPerKilogram,37.95,becquerelsPerKilogram,164.46,35.06,-25.9
Arriola_and_Cable_2017,snipe_creek_low_marsh,snipe_creek_M,7,8,0.47,0.46950000000000003,0.1501,8.19,becquerelsPerKilogram,becquerelsPerKilogram,36.38,becquerelsPerKilogram,128.83,31.33,-26.23
Arriola_and_Cable_2017,snipe_creek_low_marsh,snipe_creek_M,8,9,0.46,0.3909,0.1444,9.22,becquerelsPerKilogram,becquerelsPerKilogram,24.96,becquerelsPerKilogram,102.14,24.71,-26.17
Arriola_and_Cable_2017,snipe_creek_low_marsh,snipe_creek_M,9,10,0.47,0.3295,0.12029999999999999,5.54,becquerelsPerKilogram,becquerelsPerKilogram,28.29,becquerelsPerKilogram,72.42,26.86,-26.2
Arriola_and_Cable_2017,snipe_creek_low_marsh,snipe_creek_M,10,11,0.5,0.4415,0.1373,5.07,becquerelsPerKilogram,becquerelsPerKilogram,28.43,becquerelsPerKilogram,19.63,26.49,-26.7
