 Sampling ID,Latitude,Longitude,Habitat,layer_cm,SOM_perc,OC_perc,d13C_permille,TN_perc,C/N,FM
1,44.5136,12.26054,Saltmarsh,0_1,10.03,1.38,-19.19,0.22,7.33,0.23
1,44.5136,12.26054,Saltmarsh,1_2,9.79,1.23,-19.3,0.22,6.62,0.16
1,44.5136,12.26054,Saltmarsh,2_3,7.39,1,-19.48,0.13,8.84,0.37
1,44.5136,12.26054,Saltmarsh,3_4,6.77,0.82,-19.67,0.1,9.14,0.4
1,44.5136,12.26054,Saltmarsh,4_5,6.25,0.76,-19.78,0.11,8.12,0.3
1,44.5136,12.26054,Saltmarsh,5_6,5.88,0.7,-19.89,0.09,8.63,0.35
1,44.5136,12.26054,Saltmarsh,6_7,5.03,0.6,-19.91,0.07,9.47,0.43
1,44.5136,12.26054,Saltmarsh,7_8,4.77,0.52,-21.69,0.06,10.99,0.55
1,44.5136,12.26054,Saltmarsh,8_9,4.66,0.49,-20.56,0.06,9.15,0.39
1,44.5136,12.26054,Saltmarsh,9_10,4.57,0.48,-21.15,0.06,9.26,0.39
1,44.5136,12.26054,Saltmarsh,10_11,4.93,0.62,-22.19,0.06,12.73,0.72
1,44.5136,12.26054,Saltmarsh,11_12,4.77,0.46,-21.57,0.08,7.02,0.17
1,44.5136,12.26054,Saltmarsh,12_14,5.1,0.42,-20.37,0.06,8.51,0.33
1,44.5136,12.26054,Saltmarsh,14_16,4.62,0.4,-20.95,0.06,7.41,0.21
1,44.5136,12.26054,Saltmarsh,16_18,4.91,0.44,-21.95,0.06,9.1,0.36
1,44.5136,12.26054,Saltmarsh,18_20,6.51,0.49,-21.09,0.06,9.8,0.44
1,44.5136,12.26054,Saltmarsh,20_22,5.96,0.44,-20.58,0.06,8.33,0.31
1,44.5136,12.26054,Saltmarsh,22_24,5.5,0.38,-21.07,0.05,9.14,0.38
2,44.51195,12.26281,Saltmarsh,0_1,9.7,1.17,-17.74,0.18,7.63,0.28
2,44.51195,12.26281,Saltmarsh,1_2,10.43,1.16,-19.23,0.18,7.72,0.27
2,44.51195,12.26281,Saltmarsh,2_3,10.31,1.15,-20.14,0.16,8.29,0.31
2,44.51195,12.26281,Saltmarsh,3_4,10.28,1.05,-19.62,0.12,9.9,0.47
2,44.51195,12.26281,Saltmarsh,4_5,10.28,1.13,-19.89,0.16,8.14,0.3
2,44.51195,12.26281,Saltmarsh,5_6,10.41,1.31,-19.54,0.16,9.35,0.42
2,44.51195,12.26281,Saltmarsh,6_7,10.32,1.21,-20.25,0.15,9.19,0.4
2,44.51195,12.26281,Saltmarsh,7_8,0.89,1.11,-19.37,0.13,10.34,0.52
2,44.51195,12.26281,Saltmarsh,8_9,9.72,1.12,-19.58,0.13,10.14,0.5
2,44.51195,12.26281,Saltmarsh,9_10,9.52,0.84,-19.71,0.09,10.72,0.55
2,44.51195,12.26281,Saltmarsh,10_11,8.46,0.56,-18.41,0.08,7.88,0.29
