"study_id","bibliography_id","publication_type","bibtype","doi","title","author","publisher","year","url","month","volume","number","pages","journal","editor","booktitle","issn"
"AU_NatSoil","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Abino_et_al_2014","Abino_et_al_2014_article","synthesis source","Article",NA,"Species diversity, biomass, and carbon stock assessments of a natural mangrove forest in Palawan, Philippines","Abino, Azyleah C and CaPak. J. Botstillo, Jose Alan A and Lee, Young Jin",NA,"2014",NA,NA,"46","6",NA,"Pak. J. Bot",NA,NA,NA
"Abino_et_al_2014","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Adame_et_al_2013","Adame_et_al_2013_article","synthesis source","Article","10.1371/journal.pone.0056569","Carbon Stocks of Tropical Coastal Wetlands within the Karstic Landscape of the Mexican Caribbean","Maria Fernanda Adame and J. Boone Kauffman and Israel Medina and Julieta N. Gamboa and Olmo Torres and Juan P. Caamal and Miriam Reza and Jorge A. Herrera-Silveira","Public Library of Science ({PLoS})","2013","https://doi.org/10.1371/journal.pone.0056569","feb","8","2","e56569","{PLoS} {ONE}","Han Y. H. Chen",NA,NA
"Adame_et_al_2013","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Adame_et_al_2015","Adame_et_al_2015_article","synthesis source","Article","10.5194/bg-12-3805-2015","Carbon stocks and soil sequestration rates of tropical riverine wetlands","M. F. Adame and N. S. Santini and C. Tovilla and A. VÃ¡zquez-Lule and L. Castro and M. Guevara","Copernicus {GmbH}","2015","https://doi.org/10.5194/bg-12-3805-2015","jun","12","12","3805--3818","Biogeosciences",NA,NA,NA
"Adame_et_al_2015","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"AfSIS_Sentinel_Sites","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"AfSPDB","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Ajonina_et_al_2014","Ajonina_et_al_2014_article","synthesis source","InCollection","10.1007/978-3-319-06388-1_12","Carbon Budget as a Tool for Assessing Mangrove Forests Degradation in the Western, Coastal Wetlands Complex (Ramsar Site 1017) of Southern Benin, West Africa","Gordon N. Ajonina and Expedit Evariste Ago and Gautier Amoussou and Eugene Diyouke Mibog and Is Deen Akambi and Eunice Dossa","Springer International Publishing","2014","https://doi.org/10.1007/978-3-319-06388-1_12",NA,NA,NA,"139--149",NA,NA,"Estuaries of the World",NA
