study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,fraction_organic_matter,fraction_carbon,compaction_fraction,compaction_notes
Turck_2014,MT01,MT01,single set of methods,35.0,45,MT01,0.0124,0.0054,0.013383297644539613,Compaction measured at the entire-core level
Turck_2014,MT01,MT01,single set of methods,45.0,55,MT01,0.0064,0.003,0.013383297644539613,Compaction measured at the entire-core level
Turck_2014,MT01,MT01,single set of methods,56.0,66,MT01,0.008,0.0038,0.013383297644539613,Compaction measured at the entire-core level
Turck_2014,MT01,MT01,single set of methods,65.0,75,MT01,0.0054,0.0026,0.013383297644539613,Compaction measured at the entire-core level
Turck_2014,MT01,MT01,single set of methods,76.0,86,MT01,0.0068000000000000005,0.0023,0.013383297644539613,Compaction measured at the entire-core level
Turck_2014,MT01,MT01,single set of methods,87.0,97,MT01,0.006999999999999999,0.0032,0.013383297644539613,Compaction measured at the entire-core level
Turck_2014,MT01,MT01,single set of methods,95.0,105,MT01,0.0148,0.0066,0.013383297644539613,Compaction measured at the entire-core level
Turck_2014,MT01,MT01,single set of methods,105.0,115,MT01,0.011399999999999999,0.0044,0.013383297644539613,Compaction measured at the entire-core level
Turck_2014,MT01,MT01,single set of methods,115.0,125,MT01,0.0104,0.0043,0.013383297644539613,Compaction measured at the entire-core level
Turck_2014,MT01,MT01,single set of methods,125.0,135,MT01,0.0104,0.0039000000000000003,0.013383297644539613,Compaction measured at the entire-core level
Turck_2014,MT01,MT01,single set of methods,134.0,144,MT01,0.0084,0.0037,0.013383297644539613,Compaction measured at the entire-core level
Turck_2014,MT01,MT01,single set of methods,145.0,155,MT01,0.005600000000000001,0.0019,0.013383297644539613,Compaction measured at the entire-core level
Turck_2014,MT01,MT01,single set of methods,148.0,158,MT01_2,0.0038,0.0011,0.013383297644539613,Compaction measured at the entire-core level
Turck_2014,MT01,MT01,single set of methods,161.0,171,MT01,0.0044,0.0013,0.013383297644539613,Compaction measured at the entire-core level
Turck_2014,MT01,MT01,single set of methods,163.0,173,MT01,0.0104,0.0032,0.013383297644539613,Compaction measured at the entire-core level
Turck_2014,MT01,MT01,single set of methods,165.0,175,MT01_2,0.009000000000000001,0.0036,0.013383297644539613,Compaction measured at the entire-core level
Turck_2014,MT01,MT01,single set of methods,177.0,187,MT01,0.0184,0.0034000000000000002,0.013383297644539613,Compaction measured at the entire-core level
Turck_2014,MT01,MT01,single set of methods,187.0,197,MT01,0.009399999999999999,0.0034999999999999996,0.013383297644539613,Compaction measured at the entire-core level
Turck_2014,MT01,MT01,single set of methods,197.0,207,MT01,0.0096,0.0034999999999999996,0.013383297644539613,Compaction measured at the entire-core level
Turck_2014,MT03,MT03,single set of methods,11.0,21,MT03,NA,NA,0.050335570469798654,Compaction measured at the entire-core level
Turck_2014,MT03,MT03,single set of methods,42.0,52,MT03,0.032799999999999996,0.0362,0.050335570469798654,Compaction measured at the entire-core level
Turck_2014,MT03,MT03,single set of methods,54.0,64,MT03,0.0288,0.040999999999999995,0.050335570469798654,Compaction measured at the entire-core level
Turck_2014,MT03,MT03,single set of methods,62.0,72,MT03,0.039599999999999996,0.0322,0.050335570469798654,Compaction measured at the entire-core level
Turck_2014,MT03,MT03,single set of methods,74.0,84,MT03,0.0182,0.011000000000000001,0.050335570469798654,Compaction measured at the entire-core level
Turck_2014,MT03,MT03,single set of methods,83.0,93,MT03,0.0166,0.0101,0.050335570469798654,Compaction measured at the entire-core level
Turck_2014,MT03,MT03,single set of methods,92.0,102,MT03,0.016399999999999998,0.0074,0.050335570469798654,Compaction measured at the entire-core level
Turck_2014,MT03,MT03,single set of methods,102.0,112,MT03,0.015,0.0058,0.050335570469798654,Compaction measured at the entire-core level
Turck_2014,MT03,MT03,single set of methods,113.0,123,MT03,0.0176,0.0088,0.050335570469798654,Compaction measured at the entire-core level
Turck_2014,MT03,MT03,single set of methods,122.0,132,MT03,0.013999999999999999,0.0054,0.050335570469798654,Compaction measured at the entire-core level
Turck_2014,MT03,MT03,single set of methods,132.0,142,MT03,0.0088,0.0029,0.050335570469798654,Compaction measured at the entire-core level
Turck_2014,MT03,MT03,single set of methods,142.0,152,MT03,0.006999999999999999,0.0015,0.050335570469798654,Compaction measured at the entire-core level
Turck_2014,MT03,MT03,single set of methods,152.0,162,MT03,0.0068000000000000005,0.0014000000000000002,0.050335570469798654,Compaction measured at the entire-core level
Turck_2014,MT03,MT03,single set of methods,162.0,172,MT03,0.0042,0.0016,0.050335570469798654,Compaction measured at the entire-core level
Turck_2014,MT03,MT03,single set of methods,172.0,182,MT03,0.003,0.0021,0.050335570469798654,Compaction measured at the entire-core level
Turck_2014,MT03,MT03,single set of methods,187.0,197,MT03,0.0068000000000000005,0.0016,0.050335570469798654,Compaction measured at the entire-core level
Turck_2014,MT03,MT03,single set of methods,197.0,207,MT03,0.009000000000000001,0.0017000000000000001,0.050335570469798654,Compaction measured at the entire-core level
Turck_2014,MT03,MT03,single set of methods,207.0,217,MT03,0.0454,0.0021,0.050335570469798654,Compaction measured at the entire-core level
Turck_2014,MT06,MT06,single set of methods,66.5,76.5,MT06,0.0986,0.07429999999999999,0.1024697845507094,Compaction measured at the entire-core level
Turck_2014,MT06,MT06,single set of methods,75.5,85.5,MT06,0.0956,0.0819,0.1024697845507094,Compaction measured at the entire-core level
Turck_2014,MT06,MT06,single set of methods,85.5,95.5,MT06,0.032799999999999996,0.0109,0.1024697845507094,Compaction measured at the entire-core level
Turck_2014,MT06,MT06,single set of methods,95.5,105.5,MT06,0.0158,0.0062,0.1024697845507094,Compaction measured at the entire-core level
Turck_2014,MT06,MT06,single set of methods,105.5,115.5,MT06,0.012199999999999999,0.0044,0.1024697845507094,Compaction measured at the entire-core level
Turck_2014,MT06,MT06,single set of methods,115.5,125.5,MT06,0.0118,0.0027,0.1024697845507094,Compaction measured at the entire-core level
Turck_2014,MT06,MT06,single set of methods,125.5,135.5,MT06,0.0118,0.0042,0.1024697845507094,Compaction measured at the entire-core level
Turck_2014,MT06,MT06,single set of methods,135.5,145.5,MT06,0.0072,0.0025,0.1024697845507094,Compaction measured at the entire-core level
Turck_2014,MT06,MT06,single set of methods,145.5,155.5,MT06,0.0108,0.0021,0.1024697845507094,Compaction measured at the entire-core level
Turck_2014,MT06,MT06,single set of methods,157.5,167.5,MT06,0.0126,0.0038,0.1024697845507094,Compaction measured at the entire-core level
Turck_2014,MT06,MT06,single set of methods,165.5,175.5,MT06,0.012,0.0019,0.1024697845507094,Compaction measured at the entire-core level
Turck_2014,MT06,MT06,single set of methods,175.5,185.5,MT06,0.0104,0.0016,0.1024697845507094,Compaction measured at the entire-core level
Turck_2014,MT06,MT06,single set of methods,185.5,195.5,MT06,0.0072,0.0015,0.1024697845507094,Compaction measured at the entire-core level
Turck_2014,MT06,MT06,single set of methods,200.5,210.5,MT06,0.0054,0.0025,0.1024697845507094,Compaction measured at the entire-core level
Turck_2014,MT06,MT06,single set of methods,210.5,220.5,MT06,0.006,0.003,0.1024697845507094,Compaction measured at the entire-core level
Turck_2014,MT06,MT06,single set of methods,220.5,230.5,MT06,0.0036,0.003,0.1024697845507094,Compaction measured at the entire-core level
Turck_2014,MT06,MT06,single set of methods,231.5,241.5,MT06,0.0032,0.0024,0.1024697845507094,Compaction measured at the entire-core level
