study_id,bibliography_id,publication_type,bibtype,title,author,doi,url,year,type,institution
Quafisi_et_al_2024,Quafisi_et_al_2024,primary dataset,Misc,"Dataset: Assessment of Modern Sediment Storage in the Floodplain of the Lower Tar River, North Carolina","Dimitri Quafisi, D. Reide Corbett",10.25573/serc.25075568,https://doi.org/10.25573/serc.25075568,2024,NA,NA
Quafisi_et_al_2024,Quafisi_2010,associated source,Thesis,"Assessment of Modern Sediment Storage in the Floodplain of the Lower Tar River, North Carolina",Dimitri Quafisi,NA,NA,2010,Master's Thesis,East Carolina University
