"Site","Habitat_type","Top_interval_cm","Surface_Deep_10cm","Under_wrack_YN","dC13","CNratio"
"Walker Salt Marsh","Salt Marsh",14,"Deep","No",-23.97,9.403
"Walker Salt Marsh","Salt Marsh",10,"Deep","No",-25.912,10.871
"Walker Salt Marsh","Salt Marsh",12,"Deep","No",-25.645,13.341
"Walker Salt Marsh","Salt Marsh",14,"Deep","No",-24.389,9.175
"Elkhorn Slough","Salt Marsh",0,"Surface","No",-23.669,8.788
"Elkhorn Slough","Salt Marsh",10,"Deep","No",-24.507,13.955
"Elkhorn Slough","Salt Marsh",14,"Deep","No",-25.388,10.252
"Elkhorn Slough","Salt Marsh",18,"Deep","No",-25.155,13.212
"Elkhorn Slough","Salt Marsh",6,"Surface","No",-24.907,16.258
"Elkhorn Slough","Salt Marsh",12,"Deep","No",-24.944,10.072
"Elkhorn Slough","Salt Marsh",18,"Deep","No",-25.89,9.545
"Elkhorn Slough","Salt Marsh",18,"Deep","No",-26.034,14.012
"Elkhorn Slough","Salt Marsh",2,"Surface","No",-24.798,9.837
"Elkhorn Slough","Salt Marsh",8,"Surface","No",-26.065,11.77
"Elkhorn Slough","Salt Marsh",14,"Deep","No",-26.681,11.277
"Elkhorn Slough","Salt Marsh",20,"Deep","No",-26.902,15.61
"Walker Salt Marsh","Salt Marsh",4,"Surface","No",-23.998,12.457
"Walker Salt Marsh","Salt Marsh",6,"Surface","No",-25.475,14.491
"Walker Salt Marsh","Salt Marsh",10,"Deep","No",-24.918,11.471
"Walker Salt Marsh","Salt Marsh",16,"Deep","No",-24.407,11.917
"Walker Salt Marsh","Salt Marsh",0,"Surface","Yes",-20.429,11.683
"Walker Salt Marsh","Salt Marsh",2,"Surface","Yes",-21.831,11.812
"Walker Salt Marsh","Salt Marsh",4,"Surface","Yes",-23.216,12.585
"Walker Salt Marsh","Salt Marsh",6,"Surface","Yes",-24.09,11.395
"Walker Salt Marsh","Salt Marsh",8,"Surface","Yes",-23.978,11.607
"Walker Salt Marsh","Salt Marsh",10,"Deep","Yes",-22.966,12.553
"Walker Salt Marsh","Salt Marsh",12,"Deep","Yes",-24.213,12.928
"Walker Salt Marsh","Salt Marsh",14,"Deep","Yes",-23.241,11.145
"Walker Salt Marsh","Salt Marsh",16,"Deep","Yes",-23.97,12.314
"Walker Salt Marsh","Salt Marsh",18,"Deep","Yes",-25.794,10.521
"Walker Salt Marsh","Salt Marsh",20,"Deep","Yes",-25.607,11.362
"Walker Salt Marsh","Salt Marsh",22,"Deep","Yes",-25.3,10.962
"Walker Salt Marsh","Salt Marsh",0,"Surface","Yes",-21.737,12.106
"Walker Salt Marsh","Salt Marsh",2,"Surface","Yes",-21.25,16.228
"Walker Salt Marsh","Salt Marsh",4,"Surface","Yes",-22.458,10.64
"Walker Salt Marsh","Salt Marsh",6,"Surface","Yes",-22.641,10.083
"Walker Salt Marsh","Salt Marsh",8,"Surface","Yes",-23.436,13.756
"Walker Salt Marsh","Salt Marsh",10,"Deep","Yes",-24.073,13.546
"Walker Salt Marsh","Salt Marsh",12,"Deep","Yes",-24.934,11.654
"Walker Salt Marsh","Salt Marsh",14,"Deep","Yes",-24.292,11.298
"Walker Salt Marsh","Salt Marsh",16,"Deep","Yes",-24.76,11.961
"Walker Salt Marsh","Salt Marsh",18,"Deep","Yes",-25.827,12.113
"Walker Salt Marsh","Salt Marsh",20,"Deep","Yes",-25.081,12.662
