"study_id","site_id","impact_class"
"Nahlik_and_Fennessy_2016","NWCA11-1266","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-2407","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-2634","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-1210","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-R127","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-2355","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-2538","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-1200","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-1233","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-1705","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-4499","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-2566","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-6301","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-4503","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-1188","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-1187","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-1184","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-R012","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-1291","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-2444","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-2199","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-1118","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-1123","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-1140","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-1384","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-1675","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-2667","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-2908","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-2910","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-2922","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-2947","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-3093","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-4713","impounded"
"Nahlik_and_Fennessy_2016","NWCA11-2434","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2420","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2666","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2634","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1203","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2582","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1222","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1210","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1226","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2677","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1218","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2355","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2664","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2538","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1643","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1673","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2603","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1200","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1364","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-4499","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2721","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-4522","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2710","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2598","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2566","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2537","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-6301","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-4503","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1180","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1753","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2265","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2269","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2390","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2382","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2281","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2279","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2179","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1187","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1184","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1278","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1292","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1348","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1377","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1023","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2444","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2068","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-3989","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2220","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2207","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2204","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2198","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2196","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2195","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2447","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1965","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1109","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1123","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1127","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1133","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1140","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1207","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1223","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1256","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1263","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1777","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1384","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1385","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1396","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1670","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1675","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1798","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1816","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1819","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1978","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2033","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2048","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2530","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2541","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2551","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2591","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2593","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2660","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2910","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2918","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2940","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-2949","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-3051","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-3568","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-4706","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-4713","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-4716","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-4721","ditched"
"Nahlik_and_Fennessy_2016","NWCA11-1266","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-1105","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-2066","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-2666","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-1203","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-2582","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-1210","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-1335","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-1326","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-2355","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-2538","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-1673","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-1200","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-4499","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-2721","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-4522","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-2710","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-6301","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-4503","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-1180","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-1750","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-1753","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-R089","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-2382","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-2279","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-1188","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-1184","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-1359","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-2222","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-1127","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-1133","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-1207","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-1256","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-1966","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-2038","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-2070","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-2540","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-2562","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-2580","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-2918","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-2922","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-2940","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-2949","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-4706","sediment added"
"Nahlik_and_Fennessy_2016","NWCA11-2407","invasive plants removed"
"Nahlik_and_Fennessy_2016","NWCA11-2410","invasive plants removed"
"Nahlik_and_Fennessy_2016","NWCA11-1222","invasive plants removed"
"Nahlik_and_Fennessy_2016","NWCA11-1197","invasive plants removed"
"Nahlik_and_Fennessy_2016","NWCA11-1226","invasive plants removed"
"Nahlik_and_Fennessy_2016","NWCA11-1202","invasive plants removed"
"Nahlik_and_Fennessy_2016","NWCA11-2355","invasive plants removed"
"Nahlik_and_Fennessy_2016","NWCA11-1198","invasive plants removed"
"Nahlik_and_Fennessy_2016","NWCA11-1188","invasive plants removed"
"Nahlik_and_Fennessy_2016","NWCA11-2447","invasive plants removed"
"Nahlik_and_Fennessy_2016","NWCA11-2423","invasive plants removed"
"Nahlik_and_Fennessy_2016","NWCA11-1670","invasive plants removed"
"Nahlik_and_Fennessy_2016","NWCA11-1973","invasive plants removed"
"Nahlik_and_Fennessy_2016","NWCA11-1978","invasive plants removed"
"Nahlik_and_Fennessy_2016","NWCA11-2551","invasive plants removed"
"Nahlik_and_Fennessy_2016","NWCA11-2562","invasive plants removed"
"Nahlik_and_Fennessy_2016","NWCA11-2447","revegetated"
"Nahlik_and_Fennessy_2016","NWCA11-1978","revegetated"
"Nahlik_and_Fennessy_2016","NWCA11-2562","revegetated"
