"study_id","site_id","core_id","core_year","core_month","core_day","core_latitude","core_longitude","salinity_class","salinity_method","vegetation_class","vegetation_method"
"Nahlik_and_Fennessy_2016","NWCA11-2426","NWCA11-2426-2611",2011,4,18,32.5344469,-80.45276742,"estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-1266","NWCA11-1266-2668",2011,5,12,28.6982345,-80.741909,"estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2418","NWCA11-2418-2750",2011,4,13,32.39959155,-80.65901056,"estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2407","NWCA11-2407-2769",2011,5,16,32.6200848,-80.22069279,"estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2434","NWCA11-2434-2791",2011,5,9,32.39303529,-80.6638329,"estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2435","NWCA11-2435-2792",2011,5,18,32.66363368,-80.28484663,"estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-R067","NWCA11-R067-2811",2011,6,8,30.54231,-86.99638,"estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-1002","NWCA11-1002-2812",2011,5,26,30.26178475,-87.7289122,"estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2410","NWCA11-2410-3275",2011,4,11,32.52797655,-80.59788235,"estuarine","field observation","forested to shrub","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-1105","NWCA11-1105-3314",2011,5,12,37.5193534,-122.2169791,"estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2639","NWCA11-2639-3317",2011,6,13,36.72174545,-75.94713541,"estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2637","NWCA11-2637-3339",2011,6,9,37.38481586,-76.25894979,"estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2536","NWCA11-2536-3340",2011,6,8,29.23680204,-94.89075584,"estuarine","field observation","forested to shrub","field observation"
