study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,total_pb210_activity,total_pb210_activity_se,pb210_unit
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,0,1,8.0100000000000005E-2,0.29820000000000002,11.04,0.55000000000000004,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,2,3,5.4899999999999997E-2,0.24,16.260000000000002,0.81,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,4,5,9.0300000000000005E-2,0.26840000000000003,13.86,0.69,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,6,7,3.9199999999999999E-2,0.24529999999999999,9.85,0.49,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,8,9,2.92E-2,0.23960000000000001,7.81,0.39,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,10,11,5.0799999999999998E-2,0.32850000000000001,8.32,0.42,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,12,13,5.7799999999999997E-2,0.34520000000000001,11.04,0.55000000000000004,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,14,15,4.2200000000000001E-2,0.27329999999999999,11.43,0.56999999999999995,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,16,17,3.2500000000000001E-2,0.26200000000000001,12,0.6,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,18,19,7.0000000000000007E-2,0.30370000000000003,8.15,0.41,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,20,22,8.8999999999999996E-2,0.32150000000000001,8.27,0.41,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,24,26,0.127,0.3044,6.6,0.33,disintegrationsPerMinutePerGram
