,,,,,,,,,,,,QMD for each class (cm),,,Specific Gravities (kg m-3),,,,
,,,,,,,,,,,,5.25,1.55,0.30,0.69,0.29,0.71,0.64,0.48
,,,Measurements & Tallies,,,,,,,Volume (m3 ha-1),,,,,Mass (kg ha-1),,,,
Plot,Subplot,Transect,Large Solid,Large Solid Squared,Large Rotten,Large Rotten Squared,Medium,Small,Fine,Large Solid2,Large Rotten3,Medium4,Small5,Fine6,Large Solid7,Large Rotten8,Medium9,Small10,Fine11
806,1,E,0,0,0,0,0,2,0,,,0.00,1.98,0.00,0.00,0.00,0.00,1.26,0.00
806,1,N,0,0,0,0,0,0,1,,,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.03
806,1,S,0,0,0,0,1,5,13,,,6.80,4.94,0.72,0.00,0.00,4.83,3.16,0.35
806,1,W,0,0,0,0,0,0,2,,,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.05
806,2,NE,0,0,0,0,0,1,5,,,0.00,0.99,0.28,0.00,0.00,0.00,0.63,0.13
806,2,NW,0,0,0,0,0,0,0,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
806,2,SE,9.5,90.25,0,0,0,2,0,0.98,0.00,0.00,1.98,0.00,0.67,0.00,0.00,1.26,0.00
806,2,SW,0,0,0,0,0,0,5,,,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.13
806,3,E,0,0,0,0,3,0,3,,,20.40,0.00,0.17,0.00,0.00,14.49,0.00,0.08
806,3,N,12.6,158.76,0,0,0,0,2,1.30,,0.00,0.00,0.11,0.89,0.00,0.00,0.00,0.05
806,3,S,0,0,0,0,0,0,1,,,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.03
806,3,W,0,0,0,0,0,1,3,,,0.00,0.99,0.17,0.00,0.00,0.00,0.63,0.08
806,4,NE,0,0,0,0,0,1,1,,,0.00,0.99,0.06,0.00,0.00,0.00,0.63,0.03
806,4,NW,0,0,0,0,0,0,0,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
806,4,SE,0,0,0,0,0,0,4,,,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.11
806,4,SW,0,0,0,0,0,0,0,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
806,5,E,0,0,0,0,1,5,1,,,6.80,4.94,0.06,0.00,0.00,4.83,3.16,0.03
806,5,N,0,0,0,0,0,1,1,,,0.00,0.99,0.06,0.00,0.00,0.00,0.63,0.03
806,5,S,0,0,0,0,0,0,0,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
806,5,W,0,0,0,0,0,1,0,,,0.00,0.99,0.00,0.00,0.00,0.00,0.63,0.00
864,1,E,0,0,0,0,3,1,5,,,20.40,0.99,0.28,0.00,0.00,14.49,0.63,0.13
864,1,N,19,361,0,0,5,27,6,1.95,,34.00,26.68,0.33,1.35,0.00,24.14,17.07,0.16
864,1,S,0,0,0,0,0,1,5,,,0.00,0.99,0.28,0.00,0.00,0.00,0.63,0.13
