Plot,Long,Lati,Dominant Species
13,36.112,-18.744,C. Tagal
15,36.119,-18.743,C. Tagal
16,36.128,-18.743,X. Granatum
17,36.115,-18.75,C. Tagal
25,36.144,-18.76,R. Mucronata
26,36.139,-18.762,C. Tagal
27,36.15,-18.766,A. Marina
29,36.151,-18.767,A. Marina
32B,36.21,-18.746,S. Alba
35,36.216,-18.747,X. Granatum
36,36.223,-18.746,X. Granatum
37,36.214,-18.752,R. Mucronata
806,36.3035,-18.808457,X. Granatum
864,36.24601,-18.818504,B. Gymnorrhiza
1001,36.240201,-18.831799,H. Littoralis
1079,36.264355,-18.840148,B. Gymnorrhiza; R. Mucronata
1113,36.213549,-18.845148,B. Gymnorrhiza
1130,36.306805,-18.845914,X. Granatum
1216,36.123515,-18.854252,B. Gymnorrhiza
1219,36.237751,-18.854268,X. Granatum
1254,36.269428,-18.860066,A. Marina; R. Mucronata
1285,36.141464,-18.86529,X. Granatum; A. Marina
1305,36.282128,-18.868526,X. Granatum
1314,36.20356,-18.870943,A. Marina
1317,36.280204,-18.871772,A. Marina
1359,36.152707,-18.87926,R. Mucronata
1361,36.168942,-18.881442,C. Tagal
1382,36.174246,-18.88302,R. Mucronata
9001,36.264041,-18.831602,H. Littoralis
9002,36.26043,-18.850342,B. Gymnorrhiza; H. Littoralis
9003,36.275058,-18.875474,S. Alba; R. Mucronata
9004,36.18594,-18.833962,H. Littoralis
9005,36.218115,-18.824439,H. Littoralis
9006,36.270942,-18.870643,S. Alba; X. Granatum
9007,36.132373,-18.822449,A. Marina
9008,36.128404,-18.812733,H. Littoralis
9009,36.118808,-18.845133,B. Gymnorrhiza
9010,36.177483,-18.891503,C. Tagal
9011,36.170079,-18.884576,R. Mucronata
9012,36.16247,-18.895905,C. Tagal
9013,36.21079,-18.873529,A. Marina
9014,36.205854,-18.881318,B. Gymnorrhiza; X. Granatum
9017,36.186352,-18.869369,C. Tagal
9018,36.182005,-18.865541,A. Marina
9019,36.185503,-18.881049,X. Granatum; C. Tagal
9020,36.221288,-18.864463,A. Marina
9021,36.141405,-18.868706,R. Mucronata
9022,36.132076,-18.84346,A. Marina
9023,36.152977,-18.88562,R. Mucronata
9024,36.211684,-18.823362,H. Littoralis
9025,36.278995,-18.851282,S. Alba
9027,36.166532,-18.860388,C. Tagal
