Plot,Subplot,Interval,Actual Sample Interval,Actual Core Length (cm),Bulk Density (g cm-3),%C,%N
36,2,6,190_195,4.8,0.879,0.00,0.00
1317,4,4,45_50,5.0,1.430,0.14,0.01
1317,1,4,70_75,4.8,1.212,0.14,0.01
806,3,4,65_70,5.0,0.825,0.18,0.01
1317,5,4,61_66,5.5,1.233,0.18,0.02
13,3,6,190_195,5.4,0.378,0.24,0.02
864,4,3,35_40,4.5,0.843,0.25,0.02
27,1,6,190_195,5,1.294,0.29,0.02
9005,2,6,172_177,5.0,1.251,0.33,0.02
1254,1,6,178_183,4.9,1.134,0.34,0.02
9010,5,5,143_148,5.0,1.199,0.37,0.02
9005,2,5,145_150,5.0,1.356,0.40,0.02
15,6,5,115_120,5.9,1.317,0.41,0.03
27,2,6,175_180,5,1.352,0.41,0.04
1254,5,6,185_190,4.8,1.256,0.45,0.03
9010,2,5,122_127,4.5,1.270,0.50,0.03
1254,2,6,190_195,5.0,1.246,0.51,0.04
27,5,4,70_75,4.8,1.324,0.51,0.03
9014,2,5,145_150,4.9,1.159,0.51,0.04
15,6,2,20_25,5,1.160,0.55,0.04
1317,2,4,70_75,4.8,1.038,0.58,0.04
9012,5,6,190_195,5.0,1.152,0.59,0.03
15,6,3,35_40,5,1.455,0.59,0.05
15,6,4,70_75,5,1.228,0.60,
9008,3,5,145_150,5.4,1.252,0.60,0.04
27,5,1,5_10,5.2,0.888,0.61,0.05
9014,2,3,35_40,5.0,1.505,0.63,0.06
1317,4,3,35_40,4.5,1.447,0.63,0.05
1361,4,3,35_40,5.2,1.074,0.64,0.05
27,6,6,190_195,4.6,1.120,0.66,0.06
1254,4,6,185_190,4.3,1.495,0.68,0.04
9005,1,3,35_40,4.7,1.443,0.71,0.05
9014,2,6,175_180,4.2,1.284,0.71,0.05
1361,4,6,190_195,4.5,0.928,0.72,0.05
9014,3,2,24_29,4.9,1.195,0.73,0.06
9005,2,4,70_75,4.7,1.236,0.73,0.04
9019,3,6,190_195,4.5,1.276,0.74,0.06
9008,3,6,190_195,4.8,1.355,0.75,0.05
27,2,5,145_150,5,1.244,0.75,0.05
16,5,6,190_195,5,0.733,0.75,0.04
