Plot,Subplot,Interval,Actual Sample Interval,Actual Core Length (cm),Bulk Density (g cm-3),%C,%N
9009,4,6,190_195,4.7,1.306,0.76,0.04
1361,4,2,20_25,5.4,0.940,0.77,0.05
9014,3,4,70_75,5.0,1.115,0.77,0.06
9006,2,5,145_150,4.9,1.406,0.77,0.06
9017,4,4,70_75,5.0,1.364,0.77,0.06
9017,4,3,35_40,4.7,1.329,0.80,0.07
9022,3,6,181_186,4.9,1.049,0.80,0.06
9008,1,2,20_25,5.1,1.197,0.80,0.06
9017,1,3,35_40,4.5,1.179,0.81,0.06
9012,5,5,145_150,4.6,1.177,0.81,0.05
35,1,3,38_43,5,1.004,0.83,0.07
9005,5,4,70_75,4.8,1.087,0.84,0.05
9014,2,4,70_75,5.7,1.035,0.84,0.07
9017,3,1,5_10,4.9,1.343,0.85,0.06
9010,4,2,20_25,4.5,1.139,0.85,0.06
16,1,6,165_170,5.3,1.122,0.86,0.06
9014,3,3,35_40,5.0,1.214,0.86,
9010,5,4,70_75,4.9,1.120,0.86,0.05
27,6,2,20_25,5.4,0.518,0.88,
9024,3,5,145_150,5.0,1.238,0.88,0.04
9019,5,6,190_195,5.0,1.079,0.88,0.06
9008,3,2,20_25,4.8,1.119,0.89,0.07
1216,5,6,190_195,5.3,1.133,0.90,0.06
25,4,3,35_40,4.9,0.836,0.91,0.09
9014,2,2,20_25,5.2,1.113,0.92,0.08
9017,4,2,20_25,4.5,1.334,0.92,0.08
15,2,3,35_40,4.5,0.975,0.92,0.09
25,2,3,35_40,5.2,0.926,0.93,0.00
1130,5,1,5_8,3.1,1.209,0.95,0.07
1254,3,6,170_175,5.0,1.139,0.95,0.07
9012,3,5,145_150,5.2,0.732,0.95,0.08
1130,1,2,20_25,5.0,1.205,0.96,0.08
1254,4,5,145_150,4.9,1.314,0.96,0.06
1216,4,1,5_10,5.6,0.976,0.96,0.06
9008,3,4,70_75,4.9,1.206,0.97,0.07
9008,4,3,35_40,4.7,1.213,0.98,0.08
9012,5,4,70_75,5.0,0.998,0.98,0.07
9008,5,4,70_75,5.0,0.877,0.98,0.08
9012,1,4,75_80,5.0,0.978,0.99,0.07
9008,1,4,70_75,4.7,1.105,0.99,0.08
9013,4,2,20_25,4.9,1.014,1.01,0.07
1254,2,5,145_150,4.7,0.931,1.02,0.08
9013,4,3,35_40,5.1,0.919,1.02,0.07
25,4,2,20_25,4.5,0.792,1.02,0.09
9008,1,5,145_150,4.9,1.291,1.02,0.07
9022,2,1,5_10,5.1,1.069,1.02,0.09
35,2,5,135_140,5,0.722,1.03,0.08
35,2,4,70_75,4.8,0.856,1.03,0.09
9013,4,1,5_10,5.3,1.087,1.03,0.07
1216,1,2,20_25,4.8,0.814,1.03,0.08
864,1,4,70_75,5.0,0.726,1.04,0.08
9014,2,1,10_15,4.6,0.880,1.04,0.09
35,5,1,5_10,4.9,0.940,1.04,0.08
9008,3,1,5_10,4.9,1.358,1.04,2.84
1285,2,2,20_25,4.9,0.892,1.04,0.07
1361,4,4,77_82,4.8,1.134,1.05,0.06
9012,3,2,20_25,4.7,0.857,1.05,0.09
17,1,6,190_195,5.3,1.038,1.06,0.06
26,3,6,190_195,5,0.875,1.07,0.08
9014,1,2,20_25,4.5,1.328,1.07,0.08
9014,5,4,70_75,5.0,0.935,1.07,0.08
9022,5,3,35_40,5.5,0.744,1.07,0.10
36,1,3,35_40,4.7,0.893,1.07,0.09
1130,4,2,20_25,4.5,1.168,1.08,0.08
36,1,2,20_25,4.9,0.971,1.08,0.09
1285,2,3,35_40,4.8,0.950,1.08,0.08
37,5,6,186_191,4,1.295,1.08,0.08
9012,4,4,70_75,4.7,1.061,1.09,0.09
25,4,1,5_10,4.8,0.932,1.10,0.09
1285,4,5,145_150,5.1,1.025,1.10,0.08
9017,5,2,20_25,4.5,0.958,1.11,0.08
1216,1,1,5_10,5.4,1.027,1.11,0.08
9017,3,2,20_25,5.0,1.312,1.11,0.07
9014,3,1,5_10,4.8,1.035,1.11,0.21
35,1,1,10_15,5,1.029,1.12,0.09
1361,4,5,145_150,5.0,0.774,1.12,0.08
25,4,4,70_75,5,0.964,1.12,
9014,5,1,5_10,5.1,1.023,1.12,0.27
35,2,3,35_40,4.8,0.918,1.12,0.10
9014,5,3,35_40,4.4,1.027,1.12,0.31
27,3,3,35_40,4.8,0.714,1.13,0.09
25,5,3,35_40,5,0.937,1.13,0.08
9020,3,4,70_75,5.0,1.148,1.13,0.09
1285,4,4,70_75,4.7,0.812,1.13,0.09
35,1,2,20_25,5,0.914,1.13,0.09
9013,2,2,20_25,4.7,0.774,1.13,0.08
9012,2,6,185_190,4.9,0.609,1.14,0.08
1079,3,5,145_150,5.0,1.220,1.14,0.07
9020,5,4,70_75,5.0,0.847,1.14,0.09
9009,1,2,20_25,6.9,0.467,1.14,0.09
9020,5,2,20_25,5.3,0.977,1.14,0.09
9017,4,1,5_10,5.0,1.085,1.14,0.11
9020,3,2,20_25,4.7,1.142,1.14,0.09
9010,2,1,5_10,5.0,1.138,1.14,0.08
1285,2,1,5_10,5.3,0.934,1.14,0.10
1130,4,3,35_40,5.0,1.067,1.15,0.08
35,5,3,40_45,4.8,0.878,1.15,0.08
1305,4,3,35_40,5.2,1.000,1.16,0.09
9027,1,6,190_195,5.0,1.218,1.16,0.04
1216,4,2,20_25,5.0,0.904,1.16,0.07
32B,5,6,190_195,5.1,1.177,1.16,0.07
9017,5,3,35_40,4.7,0.926,1.16,0.08
9020,2,3,35_40,5.0,1.130,1.17,0.10
1359,1,6,190_195,5.3,0.811,1.17,0.08
9022,5,1,5_10,5.4,1.015,1.17,0.11
9014,4,4,70_75,4.8,1.029,1.17,0.09
36,3,3,34_39,5.4,0.827,1.18,0.09
9020,5,3,35_40,4.2,1.193,1.18,0.11
9020,3,3,35_40,5.4,1.032,1.18,0.11
9012,4,6,190_195,4.0,1.369,1.19,0.07
9013,4,4,70_75,4.7,0.863,1.19,0.08
9008,5,2,20_25,4.6,0.954,1.20,0.10
9014,4,1,10_15,4.5,1.029,1.20,0.11
1285,2,4,70_75,4.7,0.918,1.20,0.07
9020,2,4,70_75,5.0,1.001,1.20,0.10
9024,1,5,145_150,4.5,1.242,1.20,0.06
32B,3,1,5_10,5,1.007,1.21,0.10
25,3,4,70_75,4.9,0.671,1.21,0.07
9025,5,5,145_150,5.0,0.927,1.21,0.09
9010,5,2,20_25,4.9,1.063,1.21,0.07
9010,4,3,35_40,4.7,1.075,1.22,0.06
9019,5,4,70_75,5.2,0.859,1.22,0.08
1001,1,2,24_29,5.1,0.567,1.22,0.10
9010,4,1,5_10,5.0,1.240,1.22,0.08
9020,1,2,20_25,4.5,1.111,1.22,0.10
9008,4,4,70_75,5.0,0.925,1.22,0.09
15,2,2,20_25,5,1.021,1.22,0.09
9022,5,2,20_25,5.1,0.867,1.22,0.10
16,3,6,169_174,5.2,1.019,1.22,0.08
9012,3,1,5_10,4.0,1.052,1.23,0.09
9022,2,3,35_40,5.2,0.836,1.23,0.07
25,3,6,190_195,5.2,0.998,1.23,0.01
9022,1,3,35_40,5.2,0.927,1.24,0.10
9014,1,3,35_40,4.4,1.220,1.24,0.09
9014,4,3,35_40,5.0,0.934,1.24,0.11
9010,1,2,20_25,4.9,0.969,1.24,0.08
9010,1,1,5_10,4.2,1.153,1.24,0.08
16,6,3,35_40,5.1,0.802,1.24,0.10
9010,1,3,35_40,5.0,1.039,1.25,0.06
32B,4,3,35_40,5,0.794,1.25,0.03
9018,1,3,35_40,4.5,0.858,1.25,0.10
1130,2,4,70_75,5.0,1.107,1.25,0.10
9020,1,4,70_75,5.1,0.938,1.25,0.10
9012,3,4,70_75,5.1,0.715,1.25,0.09
9008,2,2,20_25,5.1,1.025,1.25,0.11
1001,4,6,190_195,4.9,0.901,1.26,0.08
1285,3,4,70_75,5.4,0.812,1.26,0.09
9005,2,3,35_40,4.5,1.203,1.26,0.10
9022,4,2,20_25,5.3,0.754,1.26,0.08
9008,3,3,52_58,5.3,1.086,1.26,0.08
806,5,2,20_25,4.9,1.052,1.26,0.10
806,1,3,35_40,5.0,0.870,1.27,0.09
35,2,2,20_25,4.9,0.863,1.27,0.12
25,3,5,145_150,5,0.916,1.28,0.07
9014,4,2,20_25,5.0,0.906,1.28,0.11
9013,1,2,20_25,5.3,1.004,1.28,0.11
9017,1,6,192_197,5.0,0.951,1.28,0.07
16,5,3,35_40,4.9,0.928,1.28,0.10
1285,4,3,35_40,5.6,0.598,1.29,0.10
32B,3,3,47_52,4.8,0.780,1.29,0.04
25,5,5,145_150,5.1,0.861,1.29,0.09
9022,5,4,70_75,4.7,0.863,1.29,0.10
9005,4,3,35_40,4.7,1.186,1.29,0.10
9027,5,5,149_154,4.8,1.250,1.29,0.07
9013,2,3,35_40,4.7,0.940,1.30,0.09
1314,3,3,35_40,4.5,0.777,1.30,0.09
9017,1,2,20_25,5.0,1.045,1.30,0.08
9008,2,1,5_10,5.3,1.098,1.30,0.12
35,5,4,70_75,5,0.768,1.30,0.07
9009,3,2,20_25,4.7,0.847,1.30,0.11
35,1,6,190_195,4.8,0.948,1.30,0.08
806,3,2,20_25,5.0,0.920,1.31,0.10
29,4,3,35_40,5.5,0.697,1.31,0.09
1382,1,2,20_25,4.8,0.666,1.31,0.11
32B,4,4,70_75,5.3,0.883,1.31,0.14
9020,3,1,5_10,4.9,1.136,1.31,0.12
1305,4,2,20_25,4.8,0.894,1.31,0.09
9008,2,3,35_40,5.1,1.034,1.31,0.11
9013,1,3,35_40,4.8,1.174,1.31,0.10
1285,5,2,20_25,4.8,0.829,1.32,0.11
1079,4,6,182_187,5.0,1.036,1.32,0.08
36,2,2,20_25,5,0.896,1.32,0.11
27,3,2,20_25,4.6,0.690,1.32,0.09
9020,2,2,30_35,4.8,1.113,1.32,0.11
1285,4,2,20_25,5.0,0.831,1.32,0.08
25,2,4,70_75,5.2,0.805,1.32,0.08
9008,1,6,190_195,5.5,0.968,1.33,0.09
29,3,3,35_40,4.7,0.763,1.33,0.09
1216,5,2,20_25,4.8,1.001,1.33,0.10
1359,3,5,145_150,4.8,1.129,1.33,0.08
9006,1,4,70_75,5.0,0.861,1.33,0.11
1216,2,3,35_40,4.9,0.907,1.33,0.12
32B,4,5,145_150,5.1,0.831,1.33,0.13
806,2,3,35_40,4.5,1.217,1.33,0.10
9018,1,2,20_25,4.7,0.853,1.33,0.12
806,4,2,20_25,4.7,1.003,1.33,0.10
1130,2,2,22_27,5.0,1.187,1.33,0.10
1361,5,2,20_25,4.5,0.998,1.34,0.09
17,2,1,5_10,5,0.952,1.34,0.10
29,5,5,145_150,4.8,0.760,1.34,0.09
1079,1,5,145_150,4.5,1.130,1.34,0.08
9013,5,4,70_75,5.2,0.698,1.34,0.11
9025,1,5,145_150,4.6,1.105,1.35,0.09
17,3,5,145_150,5,0.822,1.35,0.07
9007,3,4,70_75,4.8,0.756,1.35,0.11
25,2,2,20_25,4.8,0.875,1.35,0.09
9019,4,3,35_40,5.0,1.079,1.35,0.11
1382,2,6,190_195,4.5,0.638,1.35,0.11
9017,5,1,5_10,5.0,0.873,1.35,0.11
1216,3,3,35_40,5.1,0.785,1.35,0.09
1285,3,1,7_12,5.3,0.861,1.36,0.12
25,2,6,190_195,5.1,0.890,1.36,0.09
9008,5,3,35_40,5.0,0.862,1.36,0.10
16,6,4,70_75,4.9,0.718,1.36,0.11
9008,5,1,5_10,4.9,1.066,1.36,0.11
1285,3,2,20_25,4.9,0.880,1.36,0.12
9008,2,6,190_15,5.0,0.862,1.36,0.09
9019,5,3,35_40,4.9,0.915,1.36,0.12
9023,3,5,145_150,5.1,0.811,1.36,0.11
1285,3,3,35_40,5.4,0.810,1.37,0.12
32B,1,5,145_150,4.8,0.867,1.37,0.09
9020,2,1,5_10,4.9,1.190,1.37,0.12
1314,3,2,20_25,5.0,0.782,1.37,0.10
15,1,2,20_25,5,0.962,1.37,0.08
37,3,6,188_193,5,0.869,1.38,0.09
25,4,5,145_150,5,0.942,1.38,0.10
806,3,1,5_10,4.5,0.948,1.38,0.11
9009,3,5,145__150,5.5,0.763,1.38,0.10
9008,4,2,20_25,4.6,1.161,1.38,0.10
9007,2,3,35_40,4.9,0.778,1.38,0.12
29,4,2,20_25,4.8,0.710,1.39,0.12
9018,3,4,70_75,4.9,0.876,1.39,0.11
864,5,4,62_67,4.9,0.901,1.39,0.10
864,2,4,70_75,4.9,1.075,1.39,0.06
9007,3,2,20_25,5.3,0.666,1.39,0.13
9008,1,3,35_40,4.8,1.236,1.39,0.10
9018,3,6,190_195,4.7,0.866,1.39,0.10
9019,4,2,20_25,4.8,1.127,1.39,0.12
32B,1,4,70_75,5.2,0.766,1.40,0.10
32B,2,5,145_150,5,0.883,1.40,0.12
1079,2,6,190_195,4.8,1.053,1.40,0.09
9005,3,2,20_25,4.8,1.124,1.40,0.09
1382,1,5,70_75,4.7,0.745,1.40,0.11
9023,2,5,145_150,5.5,0.756,1.41,0.10
9019,5,5,145_150,5.0,1.137,1.41,0.09
9008,4,6,190_195,5.2,0.735,1.41,0.10
9013,3,2,20_25,5.1,0.815,1.41,0.11
1382,2,2,20_25,4.5,0.779,1.41,0.10
9018,5,3,35_40,4.5,0.975,1.41,0.10
9005,5,3,35_40,5.0,0.939,1.41,0.09
9018,3,5,145_150,4.9,1.000,1.41,0.10
9022,2,2,20_25,4.8,0.918,1.41,0.08
9002,4,5,140_145,5.0,0.877,1.42,0.11
9002,2,3,35_40,4.8,1.024,1.42,0.10
29,3,4,70_75,4.7,0.715,1.42,0.09
1285,5,3,35_40,5.3,0.787,1.42,0.12
9017,1,1,5_10,4.5,1.064,1.42,0.10
1216,2,6,190_195,4.8,1.019,1.42,0.09
1130,1,1,5_10,4.8,1.112,1.42,0.10
9010,3,2,20_25,4.7,1.121,1.42,0.09
17,1,2,20_25,5.1,0.836,1.42,0.12
1216,5,1,5_10,4.7,1.085,1.42,0.10
9014,5,6,168_173,5.2,0.863,1.42,0.42
9018,3,2,20_25,4.9,0.834,1.43,0.12
9012,4,1,5_10,5.0,1.069,1.43,0.12
9020,1,3,35_40,5.2,0.945,1.43,0.12
1001,5,3,35_40,5.0,0.923,1.43,0.10
25,2,5,145_150,5,0.841,1.44,0.10
9005,2,2,20_25,5.0,1.052,1.44,0.14
806,3,3,35_40,5.1,0.985,1.44,0.11
35,6,2,20_25,4.8,0.867,1.44,0.10
9018,1,4,70_75,5.5,0.912,1.44,0.10
35,1,4,70_75,4.8,0.784,1.44,0.09
17,1,5,145_150,5,0.969,1.44,0.00
32B,2,6,190_195,4.9,0.834,1.44,0.14
1216,2,2,20_25,4.9,0.791,1.44,0.16
1219,4,3,35_40,5.0,0.800,1.44,0.12
9007,3,3,35_40,4.8,0.831,1.44,0.13
9008,1,1,5_10,5.0,1.172,1.44,0.09
9022,1,4,70_75,4.4,0.807,1.45,0.10
9009,3,3,35_40,4.9,0.816,1.45,0.11
36,3,5,144_149,5,0.741,1.45,0.08
1079,1,6,190_195,5.0,1.062,1.45,0.09
9019,4,1,5_10,5.0,1.080,1.45,0.13
9022,3,2,20_25,4.8,0.728,1.45,0.13
1219,3,5,145_150,5.0,0.788,1.45,0.11
27,2,3,35_40,4.7,0.730,1.46,0.12
25,3,2,20_25,4.6,0.752,1.46,0.09
9020,1,5,145_150,5.0,0.941,1.46,0.12
1130,5,4,70_75,5.7,0.825,1.46,0.10
9020,5,5,145_150,5.2,0.888,1.46,0.12
9017,5,4,70_75,4.5,1.051,1.46,0.09
9017,3,3,35_40,4.7,1.260,1.46,0.08
9002,2,6,190_195,4.8,0.866,1.47,0.10
29,4,4,50_55,5,0.782,1.47,0.12
9021,2,6,190_195,5.2,0.794,1.47,0.08
1382,2,1,5_10,4.5,0.628,1.47,0.13
37,5,5,145_150,5,0.752,1.47,0.08
9019,3,5,145_150,4.8,0.785,1.47,0.11
9020,3,5,145_150,4.0,1.031,1.47,0.12
9013,5,2,20_25,4.9,0.763,1.47,0.12
29,1,4,70_75,4.8,0.801,1.47,0.09
27,1,3,35_40,4.8,0.635,1.47,0.10
9009,5,4,70_75,4.7,0.827,1.48,0.10
9007,4,4,70_75,4.7,0.862,1.48,0.10
9013,3,3,35_40,5.8,0.835,1.48,0.11
9007,5,2,20_25,5.0,0.816,1.48,0.13
9019,1,2,20_25,4.9,0.773,1.48,0.11
9007,2,2,20_25,5.2,0.691,1.48,0.13
9001,5,1,5_10,4.8,0.929,1.48,0.10
864,5,6,190_195,4.8,0.685,1.48,0.11
1001,4,3,35_40,5.1,0.893,1.48,0.08
9007,4,3,35_40,5.2,0.781,1.48,0.13
35,4,5,148_153,5,0.946,1.48,0.10
9019,2,5,145_150,4.7,1.408,1.48,0.10
9025,4,5,145_150,4.9,0.861,1.48,0.11
9006,2,4,70_75,5.3,0.795,1.48,0.15
9025,4,3,35_40,5.0,0.905,1.49,0.11
9012,4,3,35_40,4.5,1.045,1.49,0.12
1285,5,1,5_10,5.0,0.758,1.49,0.13
9020,4,4,70_75,4.7,0.957,1.49,0.12
1382,2,5,145_150,4.9,0.743,1.49,0.11
25,5,6,185_190,5.2,0.878,1.50,0.11
1130,4,4,60_65,4.9,0.859,1.50,0.11
9009,3,4,70_75,5.0,0.707,1.50,0.11
9008,5,6,190_195,5.1,0.924,1.50,0.10
9020,5,1,5_10,4.0,1.064,1.50,0.14
1001,5,2,20_25,5.0,0.993,1.50,0.11
9018,3,3,35_40,4.5,0.976,1.50,0.12
32B,3,5,145_150,5,1.083,1.50,0.10
1130,5,3,40_45,5.0,1.275,1.50,0.10
9025,5,6,190_195,4.5,0.944,1.50,0.11
1314,3,6,190_195,5.5,0.749,1.50,0.11
9011,4,6,190_195,5.5,0.181,1.50,0.12
32B,1,6,190_195,4.9,0.811,1.50,0.11
1359,3,1,5_10,5.1,0.709,1.50,0.12
29,5,3,35_40,5.1,0.606,1.51,0.09
9018,2,5,145_150,4.5,1.041,1.51,0.13
9008,5,5,145_150,5.2,0.828,1.51,0.11
9002,2,5,145_150,4.7,0.863,1.51,0.11
16,5,1,5_10,4.8,0.867,1.51,0.06
9006,3,3,35_40,5.0,1.150,1.51,0.09
9020,1,1,5_10,4.6,1.085,1.51,0.14
9013,3,1,5_10,4.9,0.870,1.52,0.12
9018,1,6,190_195,4.9,0.865,1.52,0.11
1001,4,4,70_75,5.0,0.696,1.52,0.09
1314,1,2,20_25,5.0,0.899,1.52,0.11
9009,3,6,190_195,5.3,0.888,1.52,0.10
27,1,5,145_150,4.9,0.714,1.53,0.03
9002,4,6,182_187,5.0,0.508,1.53,0.12
9020,1,6,185_190,5.1,0.807,1.53,0.13
9018,4,4,70_75,4.6,0.857,1.53,0.14
9003,4,6,175_180,5.0,0.822,1.53,0.13
9017,2,1,5_10,5.0,1.000,1.53,0.13
1216,5,3,35_40,5.3,0.830,1.53,0.10
1216,2,1,5_10,5.1,1.014,1.53,0.12
36,6,3,35_40,4.8,0.741,1.53,0.11
9005,1,4,70_75,4.5,1.042,1.53,0.08
29,1,5,145_150,5,0.717,1.53,0.04
1361,3,3,35_40,4.8,0.681,1.54,1.49
864,3,5,145_150,5.2,0.851,1.54,0.11
9020,3,6,190_195,5.0,0.835,1.54,0.13
9010,5,1,7_12,4.7,1.159,1.54,0.09
32B,3,2,24_29,5,0.722,1.54,0.11
35,1,5,145_150,5,0.750,1.54,0.08
1361,1,6,190_195,4.9,0.798,1.54,0.57
1314,3,1,5_10,5.2,0.723,1.54,0.12
9011,4,5,145_150,4.2,0.773,1.55,0.13
1216,2,4,70_75,5.2,0.813,1.55,0.10
9011,3,4,70_75,5.0,0.952,1.55,0.12
32B,4,2,20_25,5,0.853,1.55,0.15
1285,2,5,145_150,5.2,0.816,1.55,0.09
1079,5,6,190_195,5.0,0.881,1.55,0.10
9018,1,1,5_10,4.5,0.846,1.55,0.14
35,2,1,6_11,4.8,0.868,1.55,0.13
37,3,5,145_150,5.1,0.762,1.55,0.08
9017,2,6,185_190,5.0,1.249,1.55,0.10
27,3,1,5_10,5,0.640,1.55,0.12
9007,1,4,70_75,4.7,0.714,1.55,0.14
29,1,2,20_25,4.7,0.719,1.56,0.10
9017,2,2,20_25,4.7,0.941,1.56,0.12
9020,5,6,188_193,4.9,0.802,1.56,0.13
9012,2,2,20_25,5.0,0.869,1.56,0.14
36,6,2,20_25,4.9,0.769,1.56,0.13
1216,1,3,35_40,4.7,0.936,1.56,0.10
17,4,5,145_150,5,0.738,1.57,0.10
36,5,1,8_13,5.1,0.846,1.57,0.13
9019,4,5,145_150,4.0,1.030,1.57,0.12
1219,2,2,20_25,4.9,0.898,1.57,0.13
17,2,3,35_40,4.9,0.813,1.57,0.10
9012,3,6,190_195,5.0,0.862,1.57,0.11
9022,4,3,35_40,5.4,0.728,1.57,0.09
9006,2,3,35_40,4.5,1.032,1.57,0.15
864,5,3,44_49,5.0,0.978,1.57,0.10
1130,1,3,35_40,4.9,1.007,1.57,0.10
9025,5,4,72_77,5.0,0.846,1.57,0.12
9005,1,2,20_25,5.0,0.933,1.57,0.11
25,3,1,5_10,5,0.814,1.57,0.13
1359,3,2,20_25,4.3,0.773,1.57,0.13
36,1,5,145_150,5,0.937,1.57,0.08
9008,2,4,70_75,4.8,0.876,1.57,0.12
27,2,2,20_25,4.6,0.638,1.57,0.13
9008,4,5,145_150,4.9,1.143,1.58,0.09
1285,1,5,145_150,4.5,0.904,1.58,0.12
9017,5,6,190_195,5.0,0.878,1.58,0.10
9019,4,4,70_75,4.8,0.980,1.58,0.10
16,1,3,35_40,4.7,0.822,1.58,0.11
9002,4,4,70_75,4.7,0.792,1.58,0.11
36,3,2,20_25,5,0.869,1.58,0.09
32B,1,2,20_25,4.9,0.769,1.58,0.12
1382,5,4,70_75,5.0,0.732,1.58,0.12
9018,2,6,190_195,5.0,0.876,1.58,0.14
27,1,4,70_75,5,0.702,1.58,0.10
9018,4,5,145_150,4.5,0.953,1.58,0.14
9006,3,1,10_15,4.0,1.083,1.59,0.09
15,1,4,70_75,5,0.699,1.59,0.09
9007,1,6,184_189,5.3,0.799,1.59,0.12
9006,3,2,20_25,4.0,1.155,1.59,0.12
9018,5,6,190_195,5.0,0.977,1.59,0.11
35,4,4,70_75,5.2,0.822,1.59,0.09
36,5,2,20_25,5,0.688,1.59,0.09
1314,4,6,179_184,4.7,0.713,1.59,0.11
1079,5,5,145_150,4.9,0.826,1.59,0.11
32B,5,2,20_25,5,0.774,1.59,0.12
1285,5,4,70_75,5.4,0.633,1.59,0.12
9018,1,5,145_150,4.8,0.882,1.59,0.11
9013,3,5,145_150,5.3,0.859,1.60,0.11
25,3,3,35_40,4.9,0.760,1.60,0.11
1216,2,5,145_150,5.2,0.912,1.60,0.09
9007,5,4,70_75,5.1,0.865,1.60,0.12
32B,6,6,185_190,5,0.931,1.60,0.10
1216,5,5,145_150,5.4,0.929,1.60,0.10
9014,5,2,20_25,5.0,0.946,1.60,0.11
1382,5,5,145_150,5.2,0.813,1.60,0.12
9002,2,4,70_75,5.0,0.590,1.60,0.11
29,5,4,59_64,5.1,0.631,1.60,0.10
9007,5,3,35_40,4.9,0.815,1.60,0.13
1079,1,4,70_75,5.0,1.021,1.60,0.09
9007,3,5,145_150,5.4,0.778,1.60,0.12
9005,4,4,70_75,5.5,0.885,1.61,0.12
9007,2,1,5_10,5.1,0.853,1.61,0.14
9005,3,3,35_40,4.7,0.952,1.61,0.10
16,6,2,19_24,4.8,1.041,1.61,0.12
29,1,3,35_40,4.6,0.665,1.61,0.10
9011,2,6,185_190,5.5,0.646,1.61,0.12
1382,4,5,145_150,5.0,0.786,1.61,0.11
1285,1,6,190_195,4.9,0.802,1.61,0.12
806,1,5,145_150,4.9,0.749,1.61,0.11
9019,2,1,5_10,4.7,0.901,1.61,0.11
29,6,5,145_150,4.5,0.770,1.61,0.12
37,3,4,65_70,5,0.658,1.61,0.08
9012,5,2,20_25,5.0,0.934,1.61,0.13
9012,4,2,18_23,4.6,1.047,1.61,0.12
9011,5,5,145_150,4.5,0.350,1.62,0.12
36,5,4,70_75,5,0.623,1.62,0.08
1314,5,1,5_10,5.0,0.678,1.62,0.13
37,2,4,78_83,5,0.758,1.62,0.11
35,4,3,35_40,5,0.946,1.62,0.14
9007,2,5,145_150,5.6,0.816,1.62,0.11
9019,4,6,190_195,5.0,0.849,1.62,0.12
9018,5,5,145_150,5.5,0.850,1.62,0.13
864,1,3,35_40,5.0,0.952,1.62,0.12
9006,3,4,70_75,4.5,1.053,1.62,0.13
9019,2,6,169_174,4.0,1.150,1.62,0.11
9022,2,5,145_150,5.1,0.833,1.63,0.11
9017,4,5,145_150,5.0,0.992,1.63,0.13
9009,1,4,70_75,5.1,0.827,1.63,0.10
1314,4,5,145_150,5.0,0.799,1.63,0.11
27,5,3,35_40,4.8,0.836,1.63,0.10
1382,5,6,190_195,5.3,0.643,1.63,0.13
9008,4,1,13_18,4.4,1.110,1.63,0.11
9017,1,4,70_75,5.5,0.878,1.63,0.10
864,5,5,145_150,4.9,0.810,1.63,0.12
29,1,6,185_190,5,0.758,1.63,0.12
1001,5,1,5_10,4.9,0.874,1.63,0.13
9019,5,2,20_25,4.9,0.913,1.63,0.13
32B,2,2,20_25,4.8,0.782,1.63,0.16
9014,1,4,70_75,5.2,0.972,1.64,0.12
36,4,2,20_25,5.3,0.721,1.64,0.12
9014,5,5,145_150,5.0,0.884,1.64,0.11
9006,2,2,20_25,4.0,1.035,1.64,0.16
29,3,2,20_25,4.6,0.622,1.64,0.10
9024,4,5,145_150,5.0,1.131,1.64,0.10
