"study_id","site_id","core_id","year","latitude","longitude","position_method","position_notes","core_length_flag","habitat","vegetation_class"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_1_1",2012,8.818244473841052,-83.53396789071823,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_1_1",2012,8.884809241356098,-83.56559101139469,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_1_2",2012,8.884696492521874,-83.5658303593874,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_1_3",2012,8.884581496771782,-83.5660037915743,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_1_4",2012,8.884530692456885,-83.56624815814574,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_1_5",2012,8.884445692753578,-83.56640109750565,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_1_5",2012,8.857793890823816,-83.56001792005385,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_1_4",2012,8.857553246412374,-83.55999093143566,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_1_3",2012,8.857346519050408,-83.55989453437839,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_1_2",2012,8.857119508760123,-83.55985089221626,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_1_1",2012,8.85698509859892,-83.55981414049106,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_1_5",2012,8.817834465657322,-83.5332100746253,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_1_4",2012,8.817884972295658,-83.53339709381413,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_1_3",2012,8.81802063968863,-83.53364373091819,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_1_2",2012,8.818094253339147,-83.53387081045943,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_2_5",2012,8.854876190117377,-83.54842398725684,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_2_4",2012,8.855091283075522,-83.5485570054715,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_2_3",2012,8.855236235195258,-83.54871201965848,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_2_2",2012,8.855446820831293,-83.54878149446726,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_2_1",2012,8.855663894957853,-83.54890787391413,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_4_5",2012,8.86361720186079,-83.57876038200462,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_4_4",2012,8.863629034374627,-83.57850816537027,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_4_3",2012,8.863645700892949,-83.57829303726787,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_4_2",2012,8.863621673095244,-83.5780741370411,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_4_1",2012,8.86361133422089,-83.57780639892691,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_3_5",2012,8.859384251610182,-83.56638930256157,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_3_4",2012,8.859452772294954,-83.56613865886885,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_3_3",2012,8.859483648472446,-83.56594115395164,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_3_2",2012,8.859794581677468,-83.56568322525713,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_3_1",2012,8.85979283062384,-83.56549894119637,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_8_5",2012,8.842648809445517,-83.58098428103435,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_8_4",2012,8.84289134763803,-83.58092645997046,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_8_3",2012,8.843105180664121,-83.5809125816422,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_8_2",2012,8.84333078217458,-83.58091087218106,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_8_1",2012,8.843577119998653,-83.58085477397474,"handheld","Garmin Oregon 650","core depth limited by length of corer","mangrove","forested"
