study_id,site_id,core_id,latitude,longitude,salinity_class,vegetation_class,core_length_flag,year,month
Noe_et_al_2016,Bulter_Island,W2,33.42268,-79.20802,fresh,forested,core depth limited by length of corer,2011,11
Noe_et_al_2016,Richmond_Island,W1,33.55564,-79.08943,fresh,forested,core depth limited by length of corer,2011,11
Noe_et_al_2016,Turkey_Creek,W3,33.34001,-79.34166,fresh,forested,core depth limited by length of corer,2011,11
Noe_et_al_2016,Turkey_Creek,W4,33.35003,-79.3447,oligohaline,emergent,core depth limited by length of corer,2011,11
