"study_id","site_id","core_id","species_code","code_type"
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_1","Rhizophora mangle","Genus species"
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_2","Rhizophora mangle","Genus species"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_2","Rhizophora mangle","Genus species"
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_3","Rhizophora mangle","Genus species"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_1","Rhizophora mangle","Genus species"
"Cifuentes_et_al_2023_Panama","Limones","Limones_2","Rhizophora mangle","Genus species"
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_4","Rhizophora mangle","Genus species"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_2","Rhizophora mangle","Genus species"
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_5","Rhizophora mangle","Genus species"
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_6","Rhizophora mangle","Genus species"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_1","Pelliciera rhizophorae","Genus species"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_1","Rhizophora mangle","Genus species"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_2","Rhizophora mangle","Genus species"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_1","Rhizophora mangle","Genus species"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_3","Rhizophora mangle","Genus species"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_4","Pelliciera rhizophorae","Genus species"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_4","Rhizophora mangle","Genus species"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_5","Rhizophora mangle","Genus species"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_6","Rhizophora mangle","Genus species"
"Cifuentes_et_al_2023_Panama","Limones","Limones_1","Rhizophora mangle","Genus species"
"Cifuentes_et_al_2023_Panama","Limones","Limones_3","Rhizophora mangle","Genus species"
"Cifuentes_et_al_2023_Panama","Limones","Limones_3","Pelliciera rhizophorae","Genus species"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_2","Rhizophora mangle","Genus species"
"Cifuentes_et_al_2023_Panama","Limones","Limones_4","Pelliciera rhizophorae","Genus species"
