"study_id","site_id","plot_id","year","land_use_class","latitude","longitude","position_method","position_notes","plot_basal_density","debris_carbon","understory_carbon","soil_carbon_100cm","soil_carbon_300cm","aboveground_plant_carbon","belowground_plant_carbon","plot_shape","habitat"
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_1",2014,"no disturbance",8.30711,-82.2813,"handheld","coordinates are site-level resolution",10.55061,6.62119,NA,241.56673,648.87957,27.36804,22.46306,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_2",2014,"no disturbance",8.30711,-82.2813,"handheld","coordinates are site-level resolution",14.01561,55.66792,NA,207.96691,708.99227,81.91807,31.27852,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_3",2014,"no disturbance",8.30711,-82.2813,"handheld","coordinates are site-level resolution",32.44663,217.00834,NA,251.44084,784.77243,253.35329,82.10546,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_4",2014,"no disturbance",8.30711,-82.2813,"handheld","coordinates are site-level resolution",27.2449,33.01554,NA,272.58313,777.44409,80.47123,64.05023,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_5",2014,"no disturbance",8.30711,-82.2813,"handheld","coordinates are site-level resolution",5.35653,40.39009,NA,233.1053,738.85353,52.02824,10.42589,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_6",2014,"no disturbance",8.30711,-82.2813,"handheld","coordinates are site-level resolution",15.59061,16.92199,NA,246.52051,872.45287,44.8749,35.74126,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_1",2014,"agro-industrial deforestation",8.34034,-82.3915,"handheld","coordinates are site-level resolution",NA,NA,5.8691700000000004,114.16485,NA,5.8691700000000004,NA,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_2",2014,"agro-industrial deforestation",8.34034,-82.3915,"handheld","coordinates are site-level resolution",NA,NA,5.8691700000000004,134.13467,NA,5.8691700000000004,NA,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_3",2014,"agro-industrial deforestation",8.34034,-82.3915,"handheld","coordinates are site-level resolution",NA,NA,5.8691700000000004,114.16485,NA,5.8691700000000004,NA,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_4",2014,"agro-industrial deforestation",8.34034,-82.3915,"handheld","coordinates are site-level resolution",NA,NA,5.8691700000000004,94.19502,NA,5.8691700000000004,NA,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_5",2014,"agro-industrial deforestation",8.34034,-82.3915,"handheld","coordinates are site-level resolution",NA,NA,NA,NA,NA,NA,NA,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_6",2014,"agro-industrial deforestation",8.34034,-82.3915,"handheld","coordinates are site-level resolution",NA,NA,NA,NA,NA,NA,NA,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_1",2014,"firewood extraction",8.33622,-82.4348,"handheld","coordinates are site-level resolution",32.03235,5.01647,0.05488,381.76115,1346.62128,75.32899,87.88318,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_2",2014,"firewood extraction",8.33622,-82.4348,"handheld","coordinates are site-level resolution",9.05867,13.66292,0.21243,401.79911,1282.98272,54.86091,18.96855,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_3",2014,"firewood extraction",8.33622,-82.4348,"handheld","coordinates are site-level resolution",8.09235,16.93859,0.07966,365.94015,1062.35587,51.10705,25.12047,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_4",2014,"firewood extraction",8.33622,-82.4348,"handheld","coordinates are site-level resolution",2.37735,8.19394,0.18588,369.64225,1281.54166,17.19774,4.26177,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_5",2014,"firewood extraction",8.33622,-82.4348,"handheld","coordinates are site-level resolution",23.1051,25.30876,0.20358,401.04331,1024.27421,54.84907,53.03078,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_6",2014,"firewood extraction",8.33622,-82.4348,"handheld","coordinates are site-level resolution",23.61918,3.77831,0.12392,336.90911,1153.12582,56.76544,52.40091,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Calle Larga","Calle Larga_1",2014,"agro-industrial deforestation",8.34655,-82.4068,"handheld","coordinates are site-level resolution",NA,NA,5.8691700000000004,396.34765,NA,5.8691700000000004,NA,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Calle Larga","Calle Larga_2",2014,"agro-industrial deforestation",8.34655,-82.4068,"handheld","coordinates are site-level resolution",NA,NA,5.8691700000000004,396.34765,NA,5.8691700000000004,NA,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Calle Larga","Calle Larga_3",2014,"agro-industrial deforestation",8.34655,-82.4068,"handheld","coordinates are site-level resolution",NA,NA,5.8691700000000004,396.34765,NA,5.8691700000000004,NA,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Calle Larga","Calle Larga_4",2014,"agro-industrial deforestation",8.34655,-82.4068,"handheld","coordinates are site-level resolution",NA,NA,5.8691700000000004,396.34765,NA,5.8691700000000004,NA,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Calle Larga","Calle Larga_5",2014,"agro-industrial deforestation",8.34655,-82.4068,"handheld","coordinates are site-level resolution",NA,NA,NA,NA,NA,NA,NA,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Calle Larga","Calle Larga_6",2014,"agro-industrial deforestation",8.34655,-82.4068,"handheld","coordinates are site-level resolution",NA,NA,NA,NA,NA,NA,NA,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_1",2014,"bark extraction",8.30401,-82.3656,"handheld","coordinates are site-level resolution",11.35291,92.78035,0.03541,371.98145,900.67014,114.00907,25.26783,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_2",2014,"bark extraction",8.30401,-82.3656,"handheld","coordinates are site-level resolution",17.77041,133.46667,0.10976,472.88657,1217.23298,162.77657,43.82901,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_3",2014,"bark extraction",8.30401,-82.3656,"handheld","coordinates are site-level resolution",12.83469,42.18259,0.45142,549.48771,1296.90288,73.29972,32.0712,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_4",2014,"bark extraction",8.30401,-82.3656,"handheld","coordinates are site-level resolution",37.87372,155.69856,0.21243,398.37728,1324.93629,211.98232,95.15309,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_5",2014,"bark extraction",8.30401,-82.3656,"handheld","coordinates are site-level resolution",31.20408,92.02068,0.0832,369.19676,1226.65598,139.68643,82.96066,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_6",2014,"bark extraction",8.30401,-82.3656,"handheld","coordinates are site-level resolution",41.9949,60.52094,0.18057,291.18125,1020.44448,127.21558,105.99242,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","El Río","El Río_1",2014,"bark extraction",8.33466,-82.4212,"handheld","coordinates are site-level resolution",18.41026,83.68108,0.07671,366.46366,1066.26046,151.9777,37.82032,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","El Río","El Río_2",2014,"bark extraction",8.33466,-82.4212,"handheld","coordinates are site-level resolution",15.28571,37.53806,0.06019,348.2304,988.44596,134.08582,37.88799,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","El Río","El Río_3",2014,"bark extraction",8.33466,-82.4212,"handheld","coordinates are site-level resolution",48.59311,50.61031,0.18659,384.84468,1096.25741,131.78767,122.71264,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","El Río","El Río_4",2014,"bark extraction",8.33466,-82.4212,"handheld","coordinates are site-level resolution",34.65816,64.13075,0.04679,341.61559,970.02561,123.21311,85.06414,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","El Río","El Río_5",2014,"bark extraction",8.33466,-82.4212,"handheld","coordinates are site-level resolution",16.52551,95.40354,0.01416,416.9369,1060.18039,163.54371,37.3974,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","El Río","El Río_6",2014,"bark extraction",8.33466,-82.4212,"handheld","coordinates are site-level resolution",42.19898,36.98001,NA,343.30177,1607.14937,139.0622,131.11974,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_1",2014,"no disturbance",8.28891,-82.3313,"handheld","coordinates are site-level resolution",17.80184,9.11172,0.3275,234.97974,669.22713,40.25089,41.65493,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_2",2014,"no disturbance",8.28891,-82.3313,"handheld","coordinates are site-level resolution",28.82413,11.64302,0.23013,227.87228,688.95913,76.44177,79.39132,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_3",2014,"no disturbance",8.28891,-82.3313,"handheld","coordinates are site-level resolution",24.56122,10.94636,0.27439,249.01591,761.97854,50.95435,60.50361,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_4",2014,"no disturbance",8.28891,-82.3313,"handheld","coordinates are site-level resolution",55.73867,14.59763,0.30095,278.91414,853.36035,100.31583,144.69416,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_5",2014,"no disturbance",8.28891,-82.3313,"handheld","coordinates are site-level resolution",22.45796,12.28631,0.26554,345.42953,967.99655,46.14978,59.79903,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_6",2014,"no disturbance",8.28891,-82.3313,"handheld","coordinates are site-level resolution",6.18878,4.26062,0.37176,333.05016,842.43054,16.02428,13.72264,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_1",2014,"agro-industrial deforestation",8.37388,-82.4498,"handheld","coordinates are site-level resolution",NA,NA,5.8691700000000004,523.17342,NA,5.8691700000000004,NA,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_2",2014,"agro-industrial deforestation",8.37388,-82.4498,"handheld","coordinates are site-level resolution",NA,NA,5.8691700000000004,546.77555,NA,5.8691700000000004,NA,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_3",2014,"agro-industrial deforestation",8.37388,-82.4498,"handheld","coordinates are site-level resolution",NA,NA,5.8691700000000004,611.96622,NA,5.8691700000000004,NA,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_4",2014,"agro-industrial deforestation",8.37388,-82.4498,"handheld","coordinates are site-level resolution",NA,NA,5.8691700000000004,467.841,NA,5.8691700000000004,NA,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_5",2014,"agro-industrial deforestation",8.37388,-82.4498,"handheld","coordinates are site-level resolution",NA,NA,NA,NA,NA,NA,NA,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_6",2014,"agro-industrial deforestation",8.37388,-82.4498,"handheld","coordinates are site-level resolution",NA,NA,NA,NA,NA,NA,NA,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_1",2014,"firewood extraction",8.31786,-82.4404,"handheld","coordinates are site-level resolution",8.03699,27.43777,0.00354,290.77892,690.24948,55.04781,21.6036,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_2",2014,"firewood extraction",8.31786,-82.4404,"handheld","coordinates are site-level resolution",12.56082,8.68818,0.02301,339.06515,910.63456,36.54845,23.59545,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_3",2014,"firewood extraction",8.31786,-82.4404,"handheld","coordinates are site-level resolution",8.80837,12.38747,0.00974,361.46785,889.78935,43.94565,26.6194,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_4",2014,"firewood extraction",8.31786,-82.4404,"handheld","coordinates are site-level resolution",34.07776,14.72959,0.00531,318.86984,1045.39886,86.94073,94.7015,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_5",2014,"firewood extraction",8.31786,-82.4404,"handheld","coordinates are site-level resolution",8.44571,15.04884,0.00177,399.79516,797.25292,28.73997,15.5848,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_6",2014,"firewood extraction",8.31786,-82.4404,"handheld","coordinates are site-level resolution",9.85413,50.39386,1.8e-4,382.50314,1175.16521,81.98062,24.47104,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Limones","Limones_1",2014,"no disturbance",8.27676,-82.3499,"handheld","coordinates are site-level resolution",15.53755,32.79533,0.12392,228.6414,672.24996,62.0118,34.18778,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Limones","Limones_2",2014,"no disturbance",8.27676,-82.3499,"handheld","coordinates are site-level resolution",4.43367,28.88933,0.03541,321.86532,839.13171,54.02401,18.76569,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Limones","Limones_3",2014,"no disturbance",8.27676,-82.3499,"handheld","coordinates are site-level resolution",10.53189,9.6161,0.07081,287.63357,980.6749,40.8073,27.16518,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Limones","Limones_4",2014,"no disturbance",8.27676,-82.3499,"handheld","coordinates are site-level resolution",15.22087,15.1671,0,324.89746,973.22679,92.58468,33.02229,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Limones","Limones_5",2014,"no disturbance",8.27676,-82.3499,"handheld","coordinates are site-level resolution",6.66327,14.19527,0,285.22279,867.3674,58.44811,16.18795,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Limones","Limones_6",2014,"no disturbance",8.27676,-82.3499,"handheld","coordinates are site-level resolution",21.94878,10.94155,0,320.48426,0,178.2677,56.07752,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_1",2014,"firewood extraction",8.30017,-82.4285,"handheld","coordinates are site-level resolution",6.55638,40.55674,0.12392,378.99227,1124.33882,94.27455,26.28535,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_2",2014,"firewood extraction",8.30017,-82.4285,"handheld","coordinates are site-level resolution",8.93959,18.01821,0.38061,453.07406,1103.42131,78.64205,30.85711,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_3",2014,"firewood extraction",8.30017,-82.4285,"handheld","coordinates are site-level resolution",36.39796,6.3977,0.06727,384.86387,1034.47807,87.8498,99.63019,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_4",2014,"firewood extraction",8.30017,-82.4285,"handheld","coordinates are site-level resolution",6.7602,14.78195,0.25669,338.95116,672.32945,38.23861,11.91798,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_5",2014,"firewood extraction",8.30017,-82.4285,"handheld","coordinates are site-level resolution",9.20408,11.0094,0.12392,455.92179,1091.07304,33.1579,18.26355,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_6",2014,"firewood extraction",8.30017,-82.4285,"handheld","coordinates are site-level resolution",4.84694,8.1268,0.20358,369.12259,832.5602,58.59806,28.4288,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_1",2014,"bark extraction",8.31768,-82.4038,"handheld","coordinates are site-level resolution",3.08673,10.05519,0.58419,371.46683,1036.83217,26.67166,12.24319,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_2",2014,"bark extraction",8.31768,-82.4038,"handheld","coordinates are site-level resolution",5.20964,NA,0.15932,349.79737,1091.70551,12.55205,9.24563,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_3",2014,"bark extraction",8.31768,-82.4038,"handheld","coordinates are site-level resolution",19.5102,NA,0.26554,293.87139,1036.88816,32.17689,46.31758,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_4",2014,"bark extraction",8.31768,-82.4038,"handheld","coordinates are site-level resolution",9.8998,NA,0.29209,327.3823,985.14152,37.59049,30.77574,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_5",2014,"bark extraction",8.31768,-82.4038,"handheld","coordinates are site-level resolution",12.62245,NA,0.00354,238.94335,756.59373,31.80575,30.10653,"circular","mangrove"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_6",2014,"bark extraction",8.31768,-82.4038,"handheld","coordinates are site-level resolution",32.73041,NA,0.26554,306.38699,895.1842,77.16064,91.9728,"circular","mangrove"
