"study_id","site_id","core_id","impact_class"
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_1","natural"
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_2","natural"
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_3","natural"
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_4","natural"
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_5","natural"
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_6","natural"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_1","agro-industrial deforestation"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_2","agro-industrial deforestation"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_3","agro-industrial deforestation"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_4","agro-industrial deforestation"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_5","agro-industrial deforestation"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_6","agro-industrial deforestation"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_1","wood harvesting"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_2","wood harvesting"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_3","wood harvesting"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_4","wood harvesting"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_5","wood harvesting"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_6","wood harvesting"
"Cifuentes_et_al_2023_Panama","Calle Larga","Calle Larga_1","agro-industrial deforestation"
"Cifuentes_et_al_2023_Panama","Calle Larga","Calle Larga_2","agro-industrial deforestation"
"Cifuentes_et_al_2023_Panama","Calle Larga","Calle Larga_3","agro-industrial deforestation"
"Cifuentes_et_al_2023_Panama","Calle Larga","Calle Larga_4","agro-industrial deforestation"
"Cifuentes_et_al_2023_Panama","Calle Larga","Calle Larga_5","agro-industrial deforestation"
"Cifuentes_et_al_2023_Panama","Calle Larga","Calle Larga_6","agro-industrial deforestation"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_1","wood harvesting"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_2","wood harvesting"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_3","wood harvesting"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_4","wood harvesting"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_5","wood harvesting"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_6","wood harvesting"
"Cifuentes_et_al_2023_Panama","El Río","El Río_1","wood harvesting"
"Cifuentes_et_al_2023_Panama","El Río","El Río_2","wood harvesting"
"Cifuentes_et_al_2023_Panama","El Río","El Río_3","wood harvesting"
"Cifuentes_et_al_2023_Panama","El Río","El Río_4","wood harvesting"
"Cifuentes_et_al_2023_Panama","El Río","El Río_5","wood harvesting"
"Cifuentes_et_al_2023_Panama","El Río","El Río_6","wood harvesting"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_1","natural"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_2","natural"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_3","natural"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_4","natural"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_5","natural"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_6","natural"
