"study_id","site_id","plot_id","plot_radius","species","diameter","diameter_flag","alive_or_dead","decay_class","height","wood_density","carbon_conversion_factor","basal_area","basal_density","plant_aboveground_carbon","plant_belowground_carbon","plant_belowground_mass","plant_aboveground_mass","plant_notes"
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_1",7,"Rhizophora mangle",6,"DBH","alive",NA,NA,0.898,0.4752,0.00283,0.18367,0.4955,0.29777,9.64593,16.05155,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_1",7,"Rhizophora mangle",7,"DBH","alive",NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_1",7,"Rhizophora mangle",7,"DBH","alive",NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_1",7,"Rhizophora mangle",9.4,"DBH","alive",NA,NA,0.898,0.4752,0.00694,0.45082,1.07783,0.80672,26.13318,34.91576,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_1",7,"Rhizophora mangle",11,"DBH","alive",NA,NA,0.898,0.4752,0.0095,0.61735,1.41488,1.14359,37.04591,45.83402,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_1",7,"Rhizophora mangle",13,"DBH","alive",NA,NA,0.898,0.4752,0.01327,0.86224,1.88931,1.65704,53.67879,61.20306,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_1",7,"Rhizophora mangle",16,"DBH","alive",NA,NA,0.898,0.4752,0.02011,1.30612,2.70645,2.62739,85.1128,87.67361,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_1",7,"Rhizophora mangle",16.6,"DBH","alive",NA,NA,0.898,0.4752,0.02164,1.40592,2.88453,2.85114,92.36096,93.44247,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_1",7,"Rhizophora mangle",32,"DBH","alive",NA,NA,0.898,0.4752,0.08042,5.22449,8.98426,12.24086,396.53493,291.03942,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_2",7,"Rhizophora mangle",5.2,"DBH","dead",3,1.3,0.898,0.4752,0.00212,0.13796,0.19339,0.21672,7.02063,6.26483,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_2",7,"Rhizophora mangle",5.2,"DBH","alive",NA,NA,0.898,0.4752,0.00212,0.13796,0.38678,0.21672,7.02063,12.52965,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_2",7,"Rhizophora mangle",7,"DBH","alive",NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_2",7,"Rhizophora mangle",7.7,"DBH","alive",NA,NA,0.898,0.4752,0.00466,0.3025,0.7631,0.51807,16.78255,24.72024,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_2",7,"Rhizophora mangle",8,"DBH","alive",NA,NA,0.898,0.4752,0.00503,0.32653,0.8153,0.56395,18.26873,26.41107,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_2",7,"Rhizophora mangle",8.3,"DBH","alive",NA,NA,0.898,0.4752,0.00541,0.35148,0.86894,0.61197,19.82448,28.1489,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_2",7,"Rhizophora mangle",8.5,"DBH","alive",NA,NA,0.898,0.4752,0.00567,0.36862,0.90551,0.64519,20.90059,29.33333,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_2",7,"Rhizophora mangle",10.2,"DBH","alive",NA,NA,0.898,0.4752,0.00817,0.53082,1.24152,0.9671,31.32859,40.21834,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_2",7,"Rhizophora mangle",10.3,"DBH","alive",NA,NA,0.898,0.4752,0.00833,0.54128,1.26267,0.98827,32.01453,40.90331,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_2",7,"Rhizophora mangle",11.4,"DBH","alive",NA,NA,0.898,0.4752,0.01021,0.66306,1.50512,1.23796,40.10304,48.75728,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_2",7,"Rhizophora mangle",11.5,"DBH","alive",NA,NA,0.898,0.4752,0.01039,0.67474,1.52804,1.2622,40.88817,49.5,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_2",7,"Rhizophora mangle",13.6,"DBH","alive",NA,NA,0.898,0.4752,0.01453,0.94367,2.04279,1.83162,59.33417,66.17486,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_2",7,"Rhizophora mangle",41.5,"DBH","alive",NA,NA,0.898,0.4752,0.13527,8.78699,14.08993,21.79946,706.17978,456.43449,NA
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_2",7,"Rhizophora mangle",5.4,"DBH","dead",3,NA,0.898,0.4752,0.00229,0.14878,0.20645,0.23566,7.63418,6.68776,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_3",7,"Rhizophora mangle",5.5,"DBH","dead",3,18,0.898,0.4752,0.00238,0.15434,0.21311,0.24546,7.95158,6.90359,NA
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_1",7,"Rhizophora mangle",5.7,"DBH","dead",3,NA,0.898,0.4752,0.00255,0.16577,0.2267,0.26572,8.60777,7.3439,"cut for firewood"
"Cifuentes_et_al_2023_Panama","Limones","Limones_2",7,"Rhizophora mangle",6,"DBH","dead",1,NA,0.898,0.4752,0.00283,0.18367,0.48312,0.29777,9.64593,15.65026,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_3",7,"Rhizophora mangle",53,"DBH","alive",NA,NA,0.898,0.4752,0.22062,14.33163,21.51737,37.52074,1215.46073,697.04165,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_4",7,"Rhizophora mangle",6,"DBH","alive",NA,NA,0.898,0.4752,0.00283,0.18367,0.4955,0.29777,9.64593,16.05155,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_4",7,"Rhizophora mangle",7,"DBH","alive",NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,NA
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_2",7,"Rhizophora mangle",6,"DBH","dead",3,NA,0.898,0.4752,0.00283,0.18367,0.24775,0.29777,9.64593,8.02578,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_4",7,"Rhizophora mangle",16,"DBH","alive",NA,NA,0.898,0.4752,0.02011,1.30612,2.70645,2.62739,85.1128,87.67361,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_4",7,"Rhizophora mangle",16,"DBH","alive",NA,NA,0.898,0.4752,0.02011,1.30612,2.70645,2.62739,85.1128,87.67361,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_4",7,"Rhizophora mangle",18,"DBH","alive",NA,NA,0.898,0.4752,0.02545,1.65306,3.31852,3.41259,110.54866,107.50135,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_4",7,"Rhizophora mangle",19,"DBH","alive",NA,NA,0.898,0.4752,0.02835,1.84184,3.6441,3.8478,124.6469,118.04828,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_4",7,"Rhizophora mangle",23,"DBH","alive",NA,NA,0.898,0.4752,0.04155,2.69898,5.07246,5.88051,190.49531,164.31911,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_4",7,"Rhizophora mangle",28,"DBH","alive",NA,NA,0.898,0.4752,0.06158,4,7.13014,9.1006,294.80805,230.97648,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_4",7,"Rhizophora mangle",51,"DBH","alive",NA,NA,0.898,0.4752,0.20428,13.27041,20.13129,34.44965,1115.97456,652.1405,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_5",7,"Rhizophora mangle",7,"DBH","alive",NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_5",7,"Rhizophora mangle",8.6,"DBH","alive",NA,NA,0.898,0.4752,0.00581,0.37735,0.92403,0.66216,21.45038,29.93326,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_5",7,"Rhizophora mangle",10.4,"DBH","alive",NA,NA,0.898,0.4752,0.00849,0.55184,1.28396,1.0097,32.70864,41.59316,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_5",7,"Rhizophora mangle",11,"DBH","alive",NA,NA,0.898,0.4752,0.0095,0.61735,1.41488,1.14359,37.04591,45.83402,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_5",7,"Rhizophora mangle",12,"DBH","alive",NA,NA,0.898,0.4752,0.01131,0.73469,1.64487,1.38727,44.93977,53.28438,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_5",7,"Rhizophora mangle",12.4,"DBH","alive",NA,NA,0.898,0.4752,0.01208,0.78449,1.74093,1.49202,48.3331,56.39624,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_5",7,"Rhizophora mangle",20,"DBH","alive",NA,NA,0.898,0.4752,0.03142,2.04082,3.98245,4.31187,139.68028,129.00903,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_6",7,"Rhizophora mangle",6,"DBH","alive",NA,NA,0.898,0.4752,0.00283,0.18367,0.4955,0.29777,9.64593,16.05155,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_6",7,"Rhizophora mangle",7,"DBH","alive",NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_6",7,"Rhizophora mangle",8,"DBH","alive",NA,NA,0.898,0.4752,0.00503,0.32653,0.8153,0.56395,18.26873,26.41107,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_6",7,"Rhizophora mangle",8,"DBH","alive",NA,NA,0.898,0.4752,0.00503,0.32653,0.8153,0.56395,18.26873,26.41107,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_6",7,"Rhizophora mangle",9,"DBH","alive",NA,NA,0.898,0.4752,0.00636,0.41327,0.99968,0.73248,23.72831,32.38404,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_6",7,"Rhizophora mangle",18,"DBH","alive",NA,NA,0.898,0.4752,0.02545,1.65306,3.31852,3.41259,110.54866,107.50135,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_6",7,"Rhizophora mangle",32,"DBH","alive",NA,NA,0.898,0.4752,0.08042,5.22449,8.98426,12.24086,396.53493,291.03942,NA
"Cifuentes_et_al_2023_Panama","Batipa","Batipa_6",7,"Rhizophora mangle",37.6,"DBH","alive",NA,NA,0.898,0.4752,0.11104,7.21306,11.8773,17.5104,567.23826,384.75773,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_1",7,"Pelliciera rhizophorae",5.6,"DBH","alive",NA,NA,0.811,0.4669,0.00246,0.16,0.42768,0.22904,7.55162,14.10058,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_1",7,"Rhizophora mangle",14,"DBH","alive",NA,NA,0.898,0.4752,0.01539,1,2.14791,1.95336,63.278,69.58006,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_1",7,"Rhizophora mangle",29,"DBH","alive",NA,NA,0.898,0.4752,0.06605,4.29082,7.57667,9.8379,318.69266,245.44158,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_1",7,"Rhizophora mangle",29.2,"DBH","alive",NA,NA,0.898,0.4752,0.06697,4.3502,7.66735,9.98916,323.59249,248.37902,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_1",7,"Rhizophora mangle",39.6,"DBH","alive",NA,NA,0.898,0.4752,0.12316,8.00082,12.99206,19.64546,636.40241,420.86961,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_2",7,"Rhizophora mangle",6.8,"DBH","alive",NA,NA,0.898,0.4752,0.00363,0.23592,0.61538,0.39314,12.73557,19.93472,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_2",7,"Rhizophora mangle",10,"DBH","alive",NA,NA,0.898,0.4752,0.00785,0.5102,1.19969,0.92551,29.98116,38.86308,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_2",7,"Rhizophora mangle",11,"DBH","alive",NA,NA,0.898,0.4752,0.0095,0.61735,1.41488,1.14359,37.04591,45.83402,NA
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_1",7,"Rhizophora mangle",6,"DBH","dead",3,NA,0.898,0.4752,0.00283,0.18367,0.24775,0.29777,9.64593,8.02578,NA
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_1",7,"Rhizophora mangle",6,"DBH","dead",3,NA,0.898,0.4752,0.00283,0.18367,0.24775,0.29777,9.64593,8.02578,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_2",7,"Rhizophora mangle",34,"DBH","alive",NA,NA,0.898,0.4752,0.09079,5.89796,9.97833,14.00432,453.66126,323.24157,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_2",7,"Rhizophora mangle",47.3,"DBH","alive",NA,NA,0.898,0.4752,0.17572,11.41474,17.67064,29.14545,944.14834,572.42927,NA
