"study_id","site_id","core_id","depth_min","depth_max","dry_bulk_density","fraction_carbon","method_id"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_1",0,15,0.50452,0.09029999999999999,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_1",15,30,0.39102,0.10369999999999999,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_1",30,50,0.34318,0.1054,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_1",50,100,0.36505,0.0934,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_1",100,300,0.94073,0.0281,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_2",0,15,0.37114,0.1318,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_2",15,30,0.36902,0.16579999999999998,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_2",30,50,0.29462,0.1225,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_2",50,100,0.47587,0.099,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_2",100,300,0.63511,0.058600000000000006,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_3",0,15,0.3413,0.1351,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_3",15,30,0.37415,0.1678,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_3",30,50,0.39123,0.14300000000000002,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_3",50,100,0.51992,0.10550000000000001,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_3",100,300,0.36928,0.1012,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_4",0,15,0.33005,0.1315,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_4",15,30,0.34546,0.1219,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_4",30,50,0.29443,0.1159,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_4",50,100,0.44219,0.0913,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_4",100,300,0.69043,0.06709999999999999,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_5",0,15,0.35632,0.1348,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_5",15,30,0.34388,0.1298,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_5",30,50,0.27585,0.1276,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_5",50,100,0.30731,0.10400000000000001,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_5",100,300,0.56635,0.0757,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_6",0,15,0.30461,0.1413,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_6",15,30,0.321,0.1186,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_6",30,50,0.28627,0.1005,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_6",50,100,0.29544,0.0758,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_6",100,300,0.50294,0.0725,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_1",0,15,0.43681,0.0567,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_1",15,30,0.46258,0.071,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_1",30,50,0.43613,0.0917,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_1",50,100,0.46564,0.0925,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_1",100,300,0.54697,0.0882,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_2",0,15,0.44261,0.0641,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_2",15,30,0.39546,0.0907,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_2",30,50,0.43424,0.0956,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_2",50,100,0.47524,0.09359999999999999,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_2",100,300,0.55005,0.0801,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_3",0,15,0.34741,0.1,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_3",15,30,0.37154,0.1,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_3",30,50,0.3512,0.1059,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_3",50,100,0.40555,0.0906,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_3",100,300,0.55447,0.06280000000000001,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_4",0,15,0.51481,0.0797,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_4",15,30,0.61841,0.0567,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_4",30,50,0.58808,0.0664,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_4",50,100,0.55266,0.0642,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_4",100,300,0.68979,0.0661,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_5",0,15,0.35496,0.1007,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_5",15,30,0.39614,0.0911,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_5",30,50,0.38483,0.092,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_5",50,100,0.44144,0.1008,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_5",100,300,0.52996,0.0588,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_6",0,15,0.3469,0.1359,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_6",15,30,0.37528,0.1162,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_6",30,50,0.37058,0.10679999999999999,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_6",50,100,0.22691,0.1072,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_6",100,300,0.59061,0.0691,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_1",0,15,0.76498,0.0273,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_1",15,30,0.80616,0.0229,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_1",30,50,1.06411,0.0123,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_2",0,15,0.69335,0.0393,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_2",15,30,1.15379,0.006999999999999999,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_2",30,50,1.23031,0.006500000000000001,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_2",50,100,1.17392,0.0111,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_3",0,15,0.69292,0.022099999999999998,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_3",15,30,1.2242,0.006999999999999999,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_3",30,50,1.20823,0.0051,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_4",0,15,0.82942,0.0256,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_4",15,30,0.90851,0.0141,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_4",30,50,0.95621,0.009300000000000001,"single set of methods"
"Cifuentes_et_al_2023_Panama","Boca Ternero","Boca Ternero_4",50,100,1.05604,0.0048,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_1",0,15,0.6277,0.0654,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_1",15,30,0.55137,0.0694,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_1",30,50,0.46019,0.0805,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_1",50,100,0.45979,0.0776,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_1",100,300,0.76479,0.0435,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_2",0,15,0.5886,0.051699999999999996,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_2",15,30,0.56813,0.0567,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_2",30,50,0.59854,0.0629,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_2",50,100,0.57771,0.0625,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_2",100,300,0.68695,0.054000000000000006,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_3",0,15,0.53968,0.0554,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_3",15,30,0.50953,0.056600000000000004,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_3",30,50,0.56359,0.051399999999999994,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_3",50,100,0.54149,0.0546,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_3",100,300,0.58876,0.06309999999999999,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_4",0,15,0.67446,0.0472,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_4",15,30,0.54863,0.0584,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_4",30,50,0.54593,0.07519999999999999,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_4",50,100,0.49656,0.0602,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_4",100,300,0.59151,0.0556,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_5",0,15,0.69617,0.042699999999999995,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_5",15,30,0.5949,0.0406,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_5",30,50,0.54537,0.052199999999999996,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_5",50,100,0.46846,0.0432,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_5",100,300,0.54148,0.0478,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_6",0,15,0.43142,0.095,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_6",15,30,0.31599,0.0898,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_6",30,50,0.41185,0.0768,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_6",50,100,0.37439,0.07429999999999999,"single set of methods"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_6",100,300,0.59355,0.0496,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_1",0,15,0.3623,0.0724,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_1",15,30,0.41808,0.056100000000000004,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_1",30,50,0.36599,0.051,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_1",50,100,0.50122,0.0466,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_1",100,300,0.50296,0.0441,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_2",0,15,0.3567,0.0898,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_2",15,30,0.33906,0.106,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_2",30,50,0.37858,0.0718,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_2",50,100,0.47707,0.0694,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_2",100,300,0.39729,0.06509999999999999,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_3",0,15,0.33305,0.0992,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_3",15,30,0.32893,0.0891,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_3",30,50,0.42176,0.0677,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_3",50,100,0.42483,0.0645,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_3",100,300,0.43753,0.07919999999999999,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_4",0,15,0.30524,0.1124,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_4",15,30,0.26595,0.1192,"single set of methods"
