study_id,site_id,plot_id,sub_plot_id,plant_id,year,month,day,genus,species,alive_or_dead,n_plants,diameter,diameter_method,diameter_unit,basal_area,basal_area_unit,wood_density,wood_density_unit,wood_density_source,wood_mass,allometric_eq_id,allometric_eq_present
SWAMP_Data_Trees_Berahankulon_2019,BER,BER_1,BER_1_1,BER_1_1_1,2019,NA,NA,Avicennia,marina,live,1,5.6,dbh,cm,0.00246176,m2,0.7316,g/cm3,World Agroforestry Centre,NA,Komiyama et al. 2005,yes
SWAMP_Data_Trees_Berahankulon_2019,BER,BER_1,BER_1_1,BER_1_1_2,2019,NA,NA,Avicennia,marina,live,1,11,dbh,cm,0.0094985,m2,0.7316,g/cm3,World Agroforestry Centre,NA,Komiyama et al. 2005,yes
SWAMP_Data_Trees_Berahankulon_2019,BER,BER_1,BER_1_1,BER_1_1_3,2019,NA,NA,Avicennia,marina,live,1,12,dbh,cm,0.011304,m2,0.7316,g/cm3,World Agroforestry Centre,NA,Komiyama et al. 2005,yes
SWAMP_Data_Trees_Berahankulon_2019,BER,BER_1,BER_1_1,BER_1_1_4,2019,NA,NA,Avicennia,marina,live,1,11.5,dbh,cm,0.010381625,m2,0.7316,g/cm3,World Agroforestry Centre,NA,Komiyama et al. 2005,yes
SWAMP_Data_Trees_Berahankulon_2019,BER,BER_1,BER_1_1,BER_1_1_5,2019,NA,NA,Avicennia,marina,live,1,11.8,dbh,cm,0.01093034,m2,0.7316,g/cm3,World Agroforestry Centre,NA,Komiyama et al. 2005,yes
SWAMP_Data_Trees_Berahankulon_2019,BER,BER_1,BER_1_1,BER_1_1_6,2019,NA,NA,Avicennia,marina,live,1,9.3,dbh,cm,0.006789465,m2,0.7316,g/cm3,World Agroforestry Centre,NA,Komiyama et al. 2005,yes
SWAMP_Data_Trees_Berahankulon_2019,BER,BER_1,BER_1_1,BER_1_1_7,2019,NA,NA,Avicennia,marina,live,1,5.1,dbh,cm,0.002041785,m2,0.7316,g/cm3,World Agroforestry Centre,NA,Komiyama et al. 2005,yes
SWAMP_Data_Trees_Berahankulon_2019,BER,BER_1,BER_1_1,BER_1_1_8,2019,NA,NA,Avicennia,marina,live,1,6.3,dbh,cm,0.003115665,m2,0.7316,g/cm3,World Agroforestry Centre,NA,Komiyama et al. 2005,yes
SWAMP_Data_Trees_Berahankulon_2019,BER,BER_1,BER_1_1,BER_1_1_9,2019,NA,NA,Avicennia,marina,live,1,13,dbh,cm,0.0132665,m2,0.7316,g/cm3,World Agroforestry Centre,NA,Komiyama et al. 2005,yes
SWAMP_Data_Trees_Berahankulon_2019,BER,BER_1,BER_1_1,BER_1_1_10,2019,NA,NA,Avicennia,marina,live,1,10.1,dbh,cm,0.008007785,m2,0.7316,g/cm3,World Agroforestry Centre,NA,Komiyama et al. 2005,yes
SWAMP_Data_Trees_Berahankulon_2019,BER,BER_1,BER_1_1,BER_1_1_11,2019,NA,NA,Avicennia,marina,live,1,11.2,dbh,cm,0.00984704,m2,0.7316,g/cm3,World Agroforestry Centre,NA,Komiyama et al. 2005,yes
SWAMP_Data_Trees_Berahankulon_2019,BER,BER_1,BER_1_1,BER_1_1_12,2019,NA,NA,Avicennia,marina,live,1,5.5,dbh,cm,0.002374625,m2,0.7316,g/cm3,World Agroforestry Centre,NA,Komiyama et al. 2005,yes
SWAMP_Data_Trees_Berahankulon_2019,BER,BER_1,BER_1_1,BER_1_1_13,2019,NA,NA,Avicennia,marina,live,1,7.6,dbh,cm,0.00453416,m2,0.7316,g/cm3,World Agroforestry Centre,NA,Komiyama et al. 2005,yes
SWAMP_Data_Trees_Berahankulon_2019,BER,BER_1,BER_1_1,BER_1_1_14,2019,NA,NA,Avicennia,marina,live,1,14.1,dbh,cm,0.015606585,m2,0.7316,g/cm3,World Agroforestry Centre,NA,Komiyama et al. 2005,yes
SWAMP_Data_Trees_Berahankulon_2019,BER,BER_1,BER_1_1,BER_1_1_15,2019,NA,NA,Avicennia,marina,live,1,12.2,dbh,cm,0.01168394,m2,0.7316,g/cm3,World Agroforestry Centre,NA,Komiyama et al. 2005,yes
SWAMP_Data_Trees_Berahankulon_2019,BER,BER_1,BER_1_1,BER_1_1_16,2019,NA,NA,Avicennia,marina,live,1,6.3,dbh,cm,0.003115665,m2,0.7316,g/cm3,World Agroforestry Centre,NA,Komiyama et al. 2005,yes
SWAMP_Data_Trees_Berahankulon_2019,BER,BER_1,BER_1_1,BER_1_1_17,2019,NA,NA,Avicennia,marina,live,1,17.5,dbh,cm,0.024040625,m2,0.7316,g/cm3,World Agroforestry Centre,NA,Komiyama et al. 2005,yes
