study_id,method_id,coring_method,roots_flag,sediment_sieved_flag,compaction_flag,dry_bulk_density_temperature,dry_bulk_density_flag,carbon_measured_or_modeled,fraction_carbon_method,fraction_carbon_type,carbonates_removed,carbonate_removal_method
SWAMP Data-Soil carbon-Barreto-2017-Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,not specified,60,to constant mass,measured,EA,total carbon,FALSE,none specified
SWAMP Data-Soil carbon-Boca Grande-2017-Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,not specified,60,to constant mass,measured,EA,total carbon,FALSE,none specified
SWAMP Data-Soil carbon-Caetano-2017-Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,not specified,60,to constant mass,measured,EA,total carbon,FALSE,none specified
SWAMP Data-Soil carbon-Furo Grande-2017-Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,not specified,60,to constant mass,measured,EA,total carbon,FALSE,none specified
SWAMP Data-Soil carbon-Mangue Sul-2017-Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,not specified,60,to constant mass,measured,EA,total carbon,FALSE,none specified
SWAMP Data-Soil carbon-Mauripe-2017-Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,not specified,60,to constant mass,measured,EA,total carbon,FALSE,none specified
SWAMP Data-Soil carbon-Salina-2017-Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,not specified,60,to constant mass,measured,EA,total carbon,FALSE,none specified
SWAMP Data-Soil carbon-Berahan kulon-2019,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,not specified,60,to constant mass,measured,EA,total carbon,FALSE,none specified
SWAMP Data-Soil carbon-Timbulsloko-2019,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,not specified,60,to constant mass,measured,EA,total carbon,FALSE,none specified
SWAMP Data-Soil carbon-Bhitakarnika-2013-India,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,not specified,60,to constant mass,measured,EA,total carbon,FALSE,none specified
SWAMP Data-Soil carbon-Acarau Boca-2016-Brazil,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,not specified,60,to constant mass,measured,EA,total carbon,FALSE,none specified
SWAMP Data-Soil carbon-Baouth-2014-Senegal,CIFOR,gouge auger,roots and rhizomes included,sediment not sieved,not specified,60,to constant mass,measured,EA,total carbon,FALSE,none specified
