study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,depth_interval_notes
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,DEM,DEM_MF0_1_1_1,CIFOR,0,15,0.887416979714501,0.0218,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,DEM,DEM_MF0_1_1_1,CIFOR,15,30,1.23864763335838,0.0222,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,DEM,DEM_MF0_1_1_1,CIFOR,30,50,0.974593538692713,0.02049999999999999,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,DEM,DEM_MF0_1_1_1,CIFOR,50,100,0.888258452291511,0.0199,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,DEM,DEM_MF0_1_1_1,CIFOR,100,300,1.04544552967694,0.0217,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,DEM,DEM_MF0_1_2_1,CIFOR,0,15,0.971059353869272,0.0208,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,DEM,DEM_MF0_1_2_1,CIFOR,15,30,1.05167242674681,0.0217,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,DEM,DEM_MF0_1_2_1,CIFOR,30,50,1.5158287002254,0.0213,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,DEM,DEM_MF0_1_2_1,CIFOR,50,100,0.859143501126973,0.0216,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,DEM,DEM_MF0_1_2_1,CIFOR,100,300,0.734773854244929,0.0218,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,DEM,DEM_MF0_1_3_1,CIFOR,0,15,0.770452291510143,0.0225,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,DEM,DEM_MF0_1_3_1,CIFOR,15,30,0.833394440270474,0.0217,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,DEM,DEM_MF0_1_3_1,CIFOR,30,50,1.24537941397446,0.0218,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,DEM,DEM_MF0_1_3_1,CIFOR,50,100,1.21205709992487,0.02209999999999999,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,DEM,DEM_MF0_1_3_1,CIFOR,100,300,1.12673178061608,0.0216,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,DEM,DEM_MF0_1_4_1,CIFOR,0,15,1.03467468069121,0.0218,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,DEM,DEM_MF0_1_4_1,CIFOR,15,30,1.00000601051841,0.0215,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,DEM,DEM_MF0_1_4_1,CIFOR,30,50,1.29637265214125,0.0207,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,DEM,DEM_MF0_1_4_1,CIFOR,50,100,0.90104883546206,0.02049999999999999,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,DEM,DEM_MF0_1_4_1,CIFOR,100,300,1.46062809917356,0.0218,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,DEM,DEM_MF0_1_5_1,CIFOR,0,15,0.590545454545455,0.0229,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,DEM,DEM_MF0_1_5_1,CIFOR,15,30,1.02592336589031,0.022,NA
SWAMP_Data_Soil_carbon_Berahan_kulon_2019,DEM,DEM_MF0_1_5_1,CIFOR,30,50,1.22064012021037,0.0217,NA
