study_id,bibliography_id,publication_type,bibtype,title,url,doi,journal,publisher,author,year,volume,issn,number,month,pages,editor
SWAMP_Data_Soil_carbon_Barreto_2017_Brazil,SWAMP_Data_Soil_carbon_Barreto_2017_Brazil_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Barreto-2017,http://dx.doi.org/10.17528/CIFOR/DATA.00169,10.17528/cifor/data.00169,SWAMP Dataset-Mangrove soil carbon-Barreto-2017,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),Kauffman J.B. and Bernardino A.F. and Ferreira T.O. and Giovannoni L.R. and de O. Gomes L.E. and Romero D.J. and Jimenez L.C.Z. and Ruiz F.,2019,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Barreto_2017_Brazil,Kauffman_et_al_2018_article,associated source,Article,"Carbon stocks of mangroves and salt marshes of the Amazon region, Brazil",http://dx.doi.org/10.1098/rsbl.2018.0208,10.1098/rsbl.2018.0208,Biology Letters,The Royal Society,J. Boone Kauffman and Angelo F. Bernardino and Tiago O. Ferreira and Leila R. Giovannoni and Luiz Eduardo {de O. Gomes} and Danilo Jefferson Romero and Laís Coutinho Zayas Jimenez and Francisco Ruiz,2018,14,1744-957X,9,sep,20180208,NA
SWAMP_Data_Soil_carbon_Boca_Grande_2017_Brazil,Kauffman_et_al_2018_article,associated source,Article,"Carbon stocks of mangroves and salt marshes of the Amazon region, Brazil",http://dx.doi.org/10.1098/rsbl.2018.0208,10.1098/rsbl.2018.0208,Biology Letters,The Royal Society,J. Boone Kauffman and Angelo F. Bernardino and Tiago O. Ferreira and Leila R. Giovannoni and Luiz Eduardo {de O. Gomes} and Danilo Jefferson Romero and Laís Coutinho Zayas Jimenez and Francisco Ruiz,2018,14,1744-957X,9,sep,20180208,NA
SWAMP_Data_Soil_carbon_Caetano_2017_Brazil,Kauffman_et_al_2018_article,associated source,Article,"Carbon stocks of mangroves and salt marshes of the Amazon region, Brazil",http://dx.doi.org/10.1098/rsbl.2018.0208,10.1098/rsbl.2018.0208,Biology Letters,The Royal Society,J. Boone Kauffman and Angelo F. Bernardino and Tiago O. Ferreira and Leila R. Giovannoni and Luiz Eduardo {de O. Gomes} and Danilo Jefferson Romero and Laís Coutinho Zayas Jimenez and Francisco Ruiz,2018,14,1744-957X,9,sep,20180208,NA
SWAMP_Data_Soil_carbon_Mangue_Sul_2017_Brazil,Kauffman_et_al_2018_article,associated source,Article,"Carbon stocks of mangroves and salt marshes of the Amazon region, Brazil",http://dx.doi.org/10.1098/rsbl.2018.0208,10.1098/rsbl.2018.0208,Biology Letters,The Royal Society,J. Boone Kauffman and Angelo F. Bernardino and Tiago O. Ferreira and Leila R. Giovannoni and Luiz Eduardo {de O. Gomes} and Danilo Jefferson Romero and Laís Coutinho Zayas Jimenez and Francisco Ruiz,2018,14,1744-957X,9,sep,20180208,NA
SWAMP_Data_Soil_carbon_Mauripe_2017_Brazil,Kauffman_et_al_2018_article,associated source,Article,"Carbon stocks of mangroves and salt marshes of the Amazon region, Brazil",http://dx.doi.org/10.1098/rsbl.2018.0208,10.1098/rsbl.2018.0208,Biology Letters,The Royal Society,J. Boone Kauffman and Angelo F. Bernardino and Tiago O. Ferreira and Leila R. Giovannoni and Luiz Eduardo {de O. Gomes} and Danilo Jefferson Romero and Laís Coutinho Zayas Jimenez and Francisco Ruiz,2018,14,1744-957X,9,sep,20180208,NA
SWAMP_Data_Soil_carbon_Salina_2017_Brazil,Kauffman_et_al_2018_article,associated source,Article,"Carbon stocks of mangroves and salt marshes of the Amazon region, Brazil",http://dx.doi.org/10.1098/rsbl.2018.0208,10.1098/rsbl.2018.0208,Biology Letters,The Royal Society,J. Boone Kauffman and Angelo F. Bernardino and Tiago O. Ferreira and Leila R. Giovannoni and Luiz Eduardo {de O. Gomes} and Danilo Jefferson Romero and Laís Coutinho Zayas Jimenez and Francisco Ruiz,2018,14,1744-957X,9,sep,20180208,NA
SWAMP_Data_Soil_carbon_Acarau_Boca_2016_Brazil,Kauffman_et_al_2018_article,associated source,Article,"Carbon stocks of mangroves and salt marshes of the Amazon region, Brazil",http://dx.doi.org/10.1098/rsbl.2018.0208,10.1098/rsbl.2018.0208,Biology Letters,The Royal Society,J. Boone Kauffman and Angelo F. Bernardino and Tiago O. Ferreira and Leila R. Giovannoni and Luiz Eduardo {de O. Gomes} and Danilo Jefferson Romero and Laís Coutinho Zayas Jimenez and Francisco Ruiz,2018,14,1744-957X,9,sep,20180208,NA
SWAMP_Data_Soil_carbon_Caete_2017_Brazil,Kauffman_et_al_2018_article,associated source,Article,"Carbon stocks of mangroves and salt marshes of the Amazon region, Brazil",http://dx.doi.org/10.1098/rsbl.2018.0208,10.1098/rsbl.2018.0208,Biology Letters,The Royal Society,J. Boone Kauffman and Angelo F. Bernardino and Tiago O. Ferreira and Leila R. Giovannoni and Luiz Eduardo {de O. Gomes} and Danilo Jefferson Romero and Laís Coutinho Zayas Jimenez and Francisco Ruiz,2018,14,1744-957X,9,sep,20180208,NA
SWAMP_Data_Soil_carbon_Cauassu_Leste_Shrimp_2016_Brazil,Kauffman_et_al_2018_article,associated source,Article,"Carbon stocks of mangroves and salt marshes of the Amazon region, Brazil",http://dx.doi.org/10.1098/rsbl.2018.0208,10.1098/rsbl.2018.0208,Biology Letters,The Royal Society,J. Boone Kauffman and Angelo F. Bernardino and Tiago O. Ferreira and Leila R. Giovannoni and Luiz Eduardo {de O. Gomes} and Danilo Jefferson Romero and Laís Coutinho Zayas Jimenez and Francisco Ruiz,2018,14,1744-957X,9,sep,20180208,NA
