study_id,allometric_eq_id,genus,species,alive_or_dead
SWAMP_Data_Trees_Berahankulon_2019,Komiyama et al. 2005,Avicennia,marina,live
SWAMP_Data_Trees_Berahankulon_2019,Komiyama et al. 2005,Avicennia,alba,live
SWAMP_Data_Trees_Berahankulon_2019,Komiyama et al. 2005; Kauffman and Donatto 2012,Avicennia,marina,dead
SWAMP_Data_Trees_Berahankulon_2019,Komiyama et al. 2005; Kauffman and Donatto 2012,Avicennia,alba,dead
SWAMP_Data_Trees_Berahankulon_2019,Komiyama et al. 2005,Avicennia,alba,dead
SWAMP_Data_Trees_Berahankulon_2019,Komiyama et al. 2005,Avicennia,marina,dead
SWAMP_Data_Trees_Timbulsloko_2019,Komiyama et al. 2005,Avicennia,alba,live
SWAMP_Data_Trees_Timbulsloko_2019,Komiyama et al. 2005,Avicennia,marina,live
SWAMP_Data_Trees_Timbulsloko_2019,Komiyama et al. 2005,Rhizophora,mucronata,live
SWAMP_Data_Trees_Timbulsloko_2019,Komiyama et al. 2005; Kauffman and Donatto 2012,Avicennia,alba,dead
SWAMP_Data_Trees_Timbulsloko_2019,Komiyama et al. 2005; Kauffman and Donatto 2012,Avicennia,marina,dead
SWAMP_Data_Trees_Timbulsloko_2019,Komiyama et al. 2005; Kauffman and Donatto 2013,Avicennia,alba,dead
SWAMP_Data_Trees_Timbulsloko_2019,Komiyama et al. 2005; Kauffman and Donatto 2014,Avicennia,marina,dead
SWAMP_Data_Trees_Timbulsloko_2019,Komiyama et al. 2005; Kauffman and Donatto 2015,Avicennia,alba,dead
SWAMP_Data_Trees_Timbulsloko_2019,Komiyama et al. 2005; Kauffman and Donatto 2016,Avicennia,alba,dead
SWAMP_Data_Trees_Timbulsloko_2019,Komiyama et al. 2005; Kauffman and Donatto 2017,Avicennia,alba,dead
SWAMP_Data_Trees_Timbulsloko_2019,Komiyama et al. 2005,Avicennia,marina,dead
SWAMP_Data_Trees_Timbulsloko_2019,Komiyama et al. 2005,Avicennia,alba,dead
SWAMP_Data_Trees_Timbulsloko_2019,Komiyama et al. 2005,Rhizophora,mucronata,dead
SWAMP_Data_Trees_Timbulsloko_2019,Komiyama et al. 2005; Kauffman and Donatto 2012,Rhizophora,mucronata,dead
SWAMP_Data_Trees_Bhitarkanita_2013,Komiyama et al (2005); Komiyama et al (2005),Avicennia,officinalis,live
SWAMP_Data_Trees_Bhitarkanita_2013,Komiyama et al (2005); Komiyama et al (2005),Phoenix,paludosa,live
SWAMP_Data_Trees_Bhitarkanita_2013,Kauffman and Cole (2010); Ong et al (2004),Rhizophora,mucronata,live
SWAMP_Data_Trees_Bhitarkanita_2013,Kauffman and Cole (2010); Ong et al (2004),Rhizophora,apiculata,live
SWAMP_Data_Trees_Bhitarkanita_2013,Comley and McGuinness (2005),Avicennia,marina,live
SWAMP_Data_Trees_Bhitarkanita_2013,Komiyama et al (2005); Komiyama et al (2005),Kandelia,candel,live
SWAMP_Data_Trees_Bhitarkanita_2013,Komiyama et al (2005); Komiyama et al (2005),Avicennia,alba,live
SWAMP_Data_Trees_Bhitarkanita_2013,Comley and McGuinness (2005),Avicennia,marina,dead
SWAMP_Data_Trees_Bhitarkanita_2013,Komiyama et al (2005); Komiyama et al (2005),Aegiceras,corniculatum,live
SWAMP_Data_Trees_Bhitarkanita_2013,Komiyama et al (2005); Komiyama et al (2005),Excoecaria,agallocha,live
SWAMP_Data_Trees_Bhitarkanita_2013,Komiyama et al (2005); Komiyama et al (2005),Ceriops,decandra,live
SWAMP_Data_Trees_Bhitarkanita_2013,Komiyama et al (2005); Komiyama et al (2005),Sonneratia,apetala,live
SWAMP_Data_Trees_Bhitarkanita_2013,Komiyama et al (2005); Komiyama et al (2005),Bruguiera,cylindrica,live
SWAMP_Data_Trees_Bhitarkanita_2013,Komiyama et al (2005); Komiyama et al (2005),Heritiera,fomes,live
SWAMP_Data_Trees_Bhitarkanita_2013,Komiyama et al (2005); Komiyama et al (2005),Avicennia,officinalis,dead
SWAMP_Data_Trees_Bhitarkanita_2013,Komiyama et al (2005); Komiyama et al (2005),Xylocarpus,mekongensis,live
SWAMP_Data_Trees_Bhitarkanita_2013,Tarlan (2005); Komiyama (2005),Xylocarpus,granatum,live
SWAMP_Data_Trees_Acarau_Boca_Brazil_2016,"using equations of Fromard for AG and Rm and those of Smith and Whelan for LR,",Avicennia,germinans,dead
SWAMP_Data_Trees_Acarau_Boca_Brazil_2016,"using equations of Fromard for AG and Rm and those of Smith and Whelan for LR,",Rhizophora,mangle,dead
SWAMP_Data_Trees_Acarau_Boca_Brazil_2016,"using equations of Fromard for AG and Rm and those of Smith and Whelan for LR,",Avicennia,germinans,live
SWAMP_Data_Trees_Acarau_Boca_Brazil_2016,"using equations of Fromard for AG and Rm and those of Smith and Whelan for LR,",Rhizophora,mangle,live
SWAMP_Data_Trees_Manginho_Brazil_2016,"using equations of Fromard for AG and Rm and those of Smith and Whelan for LR,",Rhizophora,mangle,dead
SWAMP_Data_Trees_Manginho_Brazil_2016,"using equations of Fromard for AG and Rm and those of Smith and Whelan for LR,",Laguncularia,racemosa,dead
SWAMP_Data_Trees_Manginho_Brazil_2016,"using equations of Fromard for AG and Rm and those of Smith and Whelan for LR,",Avicennia,germinans,dead
SWAMP_Data_Trees_Manginho_Brazil_2016,"using equations of Fromard for AG and Rm and those of Smith and Whelan for LR,",Rhizophora,mangle,live
SWAMP_Data_Trees_Manginho_Brazil_2016,"using equations of Fromard for AG and Rm and those of Smith and Whelan for LR,",Avicennia,schaueriana,live
SWAMP_Data_Trees_Manginho_Brazil_2016,"using equations of Fromard for AG and Rm and those of Smith and Whelan for LR,",Laguncularia,racemosa,live
SWAMP_Data_Trees_Manginho_Brazil_2016,"using equations of Fromard for AG and Rm and those of Smith and Whelan for LR,",Avicennia,germinans,live
SWAMP_Data_Trees_Manguezal_Cauassu_Brazil_2016,"using equations of Fromard for AG and Rm and those of Smith and Whelan for LR,",Avicennia,germinans,dead
SWAMP_Data_Trees_Manguezal_Cauassu_Brazil_2016,"using equations of Fromard for AG and Rm and those of Smith and Whelan for LR,",Rhizophora,mangle,dead
SWAMP_Data_Trees_Manguezal_Cauassu_Brazil_2016,"using equations of Fromard for AG and Rm and those of Smith and Whelan for LR,",Laguncularia,racemosa,dead
SWAMP_Data_Trees_Manguezal_Cauassu_Brazil_2016,"using equations of Fromard for AG and Rm and those of Smith and Whelan for LR,",Rhizophora,mangle,live
SWAMP_Data_Trees_Manguezal_Cauassu_Brazil_2016,"using equations of Fromard for AG and Rm and those of Smith and Whelan for LR,",Avicennia,germinans,live
SWAMP_Data_Trees_Manguezal_Cauassu_Brazil_2016,"using equations of Fromard for AG and Rm and those of Smith and Whelan for LR,",Laguncularia,racemosa,live
SWAMP_Data_Trees_Rego_Oscuro_Brazil_2016,"using equations of Fromard for AG and Rm and those of Smith and Whelan for LR,",Laguncularia,racemosa,dead
SWAMP_Data_Trees_Rego_Oscuro_Brazil_2016,"using equations of Fromard for AG and Rm and those of Smith and Whelan for LR,",Rhizophora,mangle,dead
SWAMP_Data_Trees_Rego_Oscuro_Brazil_2016,"using equations of Fromard for AG and Rm and those of Smith and Whelan for LR,",Laguncularia,racemosa,live
SWAMP_Data_Trees_Rego_Oscuro_Brazil_2016,"using equations of Fromard for AG and Rm and those of Smith and Whelan for LR,",Avicennia,germinans,live
SWAMP_Data_Trees_Rego_Oscuro_Brazil_2016,"using equations of Fromard for AG and Rm and those of Smith and Whelan for LR,",Rhizophora,mangle,live
SWAMP_Data_Trees_Bintuni_2011,Komiyama et al. 2010,Bruguiera,gymnorrhiza,live
SWAMP_Data_Trees_Bintuni_2011,Komiyama et al. 2010,Rhizophora,apiculata,live
SWAMP_Data_Trees_Bintuni_2011,Komiyama et al. 2010,Rhizophora,mucronata,live
SWAMP_Data_Trees_Bintuni_2011,Komiyama et al. 2010,Rhizophora,apiculata,dead
SWAMP_Data_Trees_Bintuni_2011,Komiyama et al. 2010,Rhizophora,mucronata,dead
SWAMP_Data_Trees_Bintuni_2011,Komiyama et al. 2010,Xylocarpus,granatum,live
SWAMP_Data_Trees_Bintuni_2011,Komiyama et al. 2010,Avicennia,marina,live
SWAMP_Data_Trees_Bintuni_2011,Komiyama et al. 2010,Bruguiera,gymnorrhiza,dead
SWAMP_Data_Trees_Bintuni_2011,Komiyama et al. 2010,Ceriops,tagal,live
SWAMP_Data_Trees_Bintuni_2011,Komiyama et al. 2010,Xylocarpus,granatum,dead
SWAMP_Data_Trees_Bintuni_2011,Komiyama et al. 2010,Camptostemon,sp.,live
SWAMP_Data_Trees_Bintuni_2011,Komiyama et al. 2010,Ceriops,tagal,dead
SWAMP_Data_Trees_Bunaken_2009,Komiyama et al. 2010,Avicennia,alba,live
SWAMP_Data_Trees_Bunaken_2009,Komiyama et al. 2010,Bruguiera,gymnorrhiza,live
SWAMP_Data_Trees_Bunaken_2009,Komiyama et al. 2010,Rhizophora,apiculata,dead
SWAMP_Data_Trees_Bunaken_2009,Komiyama et al. 2010,Xylocarpus,granatum,live
SWAMP_Data_Trees_Bunaken_2009,Komiyama et al. 2010,Rhizophora,apiculata,live
SWAMP_Data_Trees_Bunaken_2009,Komiyama et al. 2010,Avicennia,alba,dead
SWAMP_Data_Trees_Cilacap_2011,Komiyama et al. 2010,Rhizophora,apiculata,live
SWAMP_Data_Trees_Cilacap_2011,Komiyama et al. 2010,Avicennia,alba,live
SWAMP_Data_Trees_Cilacap_2011,Komiyama et al. 2010,NA,sp.,live
SWAMP_Data_Trees_Kubu_Raya_2011,Komiyama et al. 2010,Rhizophora,apiculata,live
SWAMP_Data_Trees_Kubu_Raya_2011,Komiyama et al. 2010,Bruguiera,gymnorrhiza,live
SWAMP_Data_Trees_Kubu_Raya_2011,Komiyama et al. 2010,Rhizophora,apiculata,dead
SWAMP_Data_Trees_Kubu_Raya_2011,Komiyama et al. 2010,Xylocarpus,granatum,live
