Source,Site,Subsite,Core,Habitat_type,Species,Latitude,Longitude,accuracy_flag,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,BD_reported_g_cm3,SOM_perc,Conv_factor
Raw et al (2020),Knysna Estuary,1,1,Saltmarsh,Spartina maritima,-34.045289°, 23.065186°,direct from dataset,SouthAfrica,2018,0,0.15,LOI,3.334254398,,,
Raw et al (2020),Knysna Estuary,1,2,Saltmarsh,Spartina maritima,-34.045289°, 23.065186°,direct from dataset,SouthAfrica,2018,0,0.15,LOI,2.791032094,,,
Raw et al (2020),Knysna Estuary,1,3,Saltmarsh,Spartina maritima,-34.045289°, 23.065186°,direct from dataset,SouthAfrica,2018,0,0.15,LOI,2.945685502,,,
Raw et al (2020),Knysna Estuary,1,1,Saltmarsh,Spartina maritima,-34.045289°, 23.065186°,direct from dataset,SouthAfrica,2018,0.15,0.3,LOI,1.914830696,,,
Raw et al (2020),Knysna Estuary,1,2,Saltmarsh,Spartina maritima,-34.045289°, 23.065186°,direct from dataset,SouthAfrica,2018,0.15,0.3,LOI,3.422721369,,,
Raw et al (2020),Knysna Estuary,1,3,Saltmarsh,Spartina maritima,-34.045289°, 23.065186°,direct from dataset,SouthAfrica,2018,0.15,0.3,LOI,2.283653846,,,
Raw et al (2020),Knysna Estuary,1,1,Saltmarsh,Spartina maritima,-34.045289°, 23.065186°,direct from dataset,SouthAfrica,2018,0.3,0.5,LOI,8.518049398,,,
Raw et al (2020),Knysna Estuary,1,2,Saltmarsh,Spartina maritima,-34.045289°, 23.065186°,direct from dataset,SouthAfrica,2018,0.3,0.5,LOI,1.67023259,,,
Raw et al (2020),Knysna Estuary,1,3,Saltmarsh,Spartina maritima,-34.045289°, 23.065186°,direct from dataset,SouthAfrica,2018,0.3,0.5,LOI,1.966041108,,,
Raw et al (2020),Knysna Estuary,2,1,Saltmarsh,Spartina maritima,-34.051631°, 23.046969°,direct from dataset,SouthAfrica,2018,0,0.15,LOI,2.224105062,,,
Raw et al (2020),Knysna Estuary,2,2,Saltmarsh,Spartina maritima,-34.051631°, 23.046969°,direct from dataset,SouthAfrica,2018,0,0.15,LOI,1.893312217,,,
Raw et al (2020),Knysna Estuary,2,3,Saltmarsh,Spartina maritima,-34.051631°, 23.046969°,direct from dataset,SouthAfrica,2018,0,0.15,LOI,2.069447431,,,
Raw et al (2020),Knysna Estuary,2,1,Saltmarsh,Spartina maritima,-34.051631°, 23.046969°,direct from dataset,SouthAfrica,2018,0.15,0.3,LOI,2.525454983,,,
Raw et al (2020),Knysna Estuary,2,2,Saltmarsh,Spartina maritima,-34.051631°, 23.046969°,direct from dataset,SouthAfrica,2018,0.15,0.3,LOI,1.531495539,,,
Raw et al (2020),Knysna Estuary,2,3,Saltmarsh,Spartina maritima,-34.051631°, 23.046969°,direct from dataset,SouthAfrica,2018,0.15,0.3,LOI,2.152050074,,,
Raw et al (2020),Knysna Estuary,2,1,Saltmarsh,Spartina maritima,-34.051631°, 23.046969°,direct from dataset,SouthAfrica,2018,0.3,0.5,LOI,2.361659395,,,
Raw et al (2020),Knysna Estuary,2,2,Saltmarsh,Spartina maritima,-34.051631°, 23.046969°,direct from dataset,SouthAfrica,2018,0.3,0.5,LOI,0.906753282,,,
