study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,total_pb210_activity,total_pb210_activity_se,pb210_unit,depth_interval_notes
Bost_et_al_2024,Tributary,Oyster,single set of methods,1,2,0.29,0.2665484634,11.23,0.027,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Oyster,single set of methods,2,3,0.29,0.35340219959999997,10.44,0.027,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Oyster,single set of methods,3,4,0.31,0.2402559359,8.74,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Oyster,single set of methods,4,5,0.3,0.2749306198,9.23,0.027,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Oyster,single set of methods,5,6,0.32,0.2661321821,7.77,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Oyster,single set of methods,6,7,0.32,0.26603453590000004,6.8,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Oyster,single set of methods,7,8,0.31,0.257230959,5.81,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Oyster,single set of methods,8,9,0.29,0.2658238257,5.27,0.029,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Oyster,single set of methods,9,10,0.27,0.2773152431,4.18,0.033,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Oyster,single set of methods,10,11,0.27,0.2830095591,4.32,0.031,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Oyster,single set of methods,11,12,0.26,0.2916024257,4.46,0.031,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Oyster,single set of methods,12,13,0.27,0.297301881,5.24,0.029,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Oyster,single set of methods,13,14,0.27,0.3000873677,6.47,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Oyster,single set of methods,14,15,0.27,0.29708603149999996,4.91,0.029,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Oyster,single set of methods,15,16,0.28,0.29118614449999997,4.24,0.031,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Oyster,single set of methods,16,17,0.26,0.291083359,5.32,0.029,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Oyster,single set of methods,17,18,0.24,0.2764929592,5.2,0.029,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Oyster,single set of methods,18,19,0.23,0.2966748895,4.11,0.031,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Oyster,single set of methods,19,20,0.23,0.30526775619999996,4.16,0.031,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Oyster,single set of methods,20,21,NA,0.2993678693,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Oyster,single set of methods,21,22,NA,0.2992650838,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Tusk,single set of methods,1,2,NA,0.2230702025,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Tusk,single set of methods,2,3,NA,0.2577500257,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Tusk,single set of methods,3,4,NA,0.2837341967,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Tusk,single set of methods,4,5,NA,0.2430517011,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Tusk,single set of methods,5,6,NA,0.22555761130000002,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Tusk,single set of methods,6,7,NA,0.2399475794,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Tusk,single set of methods,7,8,NA,0.2079555967,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Tusk,single set of methods,8,9,NA,0.21655360259999998,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Tusk,single set of methods,9,10,NA,0.1816630692,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Tusk,single set of methods,10,11,NA,0.18735224590000002,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Tusk,single set of methods,11,12,NA,0.2075393154,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Tusk,single set of methods,12,13,NA,0.1697553705,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Tusk,single set of methods,13,14,NA,0.1029859184,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Tusk,single set of methods,14,15,NA,0.1028831329,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Tusk,single set of methods,15,16,NA,0.09988179669000001,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Tusk,single set of methods,16,17,NA,0.1113732141,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Tusk,single set of methods,17,18,NA,0.1025696372,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Tusk,single set of methods,18,19,NA,0.1082690924,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Tusk,single set of methods,19,20,NA,0.09367355329,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Tusk,single set of methods,20,21,NA,0.07038236201,NA,NA,NA,fraction_organic_matter digitized from plot in figure
