study_id,site_id,core_id,year,month,day,latitude,longitude,position_method,elevation,elevation_datum,elevation_method,salinity_class,salinity_method,vegetation_class,habitat,inundation_class,core_length_flag
Bost_et_al_2024,Tributary,Oyster,2016,8,5,34.827507,-76.459886,RTK,0.19,NAVD88,RTK,saline,field observation,emergent,marsh,low,not specified
Bost_et_al_2024,Tributary,Tusk,2016,8,9,34.746557,-76.512871,RTK,0.17,NAVD88,RTK,saline,field observation,emergent,marsh,low,not specified
Bost_et_al_2024,Tributary,Sleepy,2016,7,21,34.732907,-76.527258,RTK,0.12,NAVD88,RTK,saline,field observation,emergent,marsh,low,not specified
Bost_et_al_2024,Tributary,Ward,2016,7,20,34.791042,-76.566637,RTK,0.44,NAVD88,RTK,saline,field observation,emergent,marsh,low,not specified
Bost_et_al_2024,Tributary,Ware,2016,9,16,34.77611,-76.67374,RTK,0.16,NAVD88,RTK,saline,field observation,emergent,marsh,low,not specified
Bost_et_al_2024,Tributary,Gales,2016,7,28,34.732679,-76.907815,RTK,0.05,NAVD88,RTK,saline,field observation,emergent,marsh,low,not specified
Bost_et_al_2024,Coastal Prism,Futch,2016,10,5,34.304563,-77.752908,RTK,0.23,NAVD88,RTK,saline,field observation,emergent,marsh,low,not specified
Bost_et_al_2024,Coastal Prism,Pages,2016,10,4,34.281334,-77.777964,RTK,-0.23,NAVD88,RTK,saline,field observation,emergent,marsh,low,not specified
Bost_et_al_2024,Coastal Prism,Howe,2016,9,20,34.25586,-77.80646,RTK,0.23,NAVD88,RTK,saline,field observation,emergent,marsh,low,not specified
Bost_et_al_2024,Coastal Prism,Bradley,2016,9,20,34.21834,-77.839340000000007,RTK,0.11,NAVD88,RTK,saline,field observation,emergent,marsh,low,not specified
Bost_et_al_2024,Coastal Prism,Hewletts,2016,9,12,34.19279,-77.858891,RTK,0.17,NAVD88,RTK,saline,field observation,emergent,marsh,low,not specified
Bost_et_al_2024,Coastal Prism,Whiskey,2016,9,12,34.15864,-77.862412,RTK,0.21,NAVD88,RTK,saline,field observation,emergent,marsh,low,not specified
