study_id,site_id,core_id,species_code,species_notes
Poppe_et_al_2024,Fredrickson restored marsh,FRE-RM-C1,Juncus balticus,veg for core vicinity
Poppe_et_al_2024,Fredrickson restored marsh,FRE-RM-C1,Agrostis stolonifera,veg for core vicinity
Poppe_et_al_2024,Fredrickson restored marsh,FRE-RM-C1,Distichlis spicata,veg for core vicinity
Poppe_et_al_2024,Fredrickson restored marsh,FRE-RM-C2,Juncus balticus,veg for core vicinity
Poppe_et_al_2024,Fredrickson restored marsh,FRE-RM-C2,Deschampsia cespitosa,veg for core vicinity
Poppe_et_al_2024,Fredrickson restored marsh,FRE-RM-C3,Carex lyngbyei,veg for core vicinity
Poppe_et_al_2024,Fredrickson restored marsh,FRE-RM-C3,Agrostis stolonifera,veg for core vicinity
Poppe_et_al_2024,Fredrickson South marsh,FSM-HM-C1,Juncus balticus,veg for core vicinity
Poppe_et_al_2024,Fredrickson South marsh,FSM-HM-C1,Achillea millefolium,veg for core vicinity
Poppe_et_al_2024,Fredrickson South marsh,FSM-HM-C1,Agrostis stolonifera,veg for core vicinity
Poppe_et_al_2024,Fredrickson South marsh,FSM-HM-C1,Potentilla anserina,veg for core vicinity
Poppe_et_al_2024,Fredrickson South marsh,FSM-HM-C1,Atriplex prostrata,veg for core vicinity
Poppe_et_al_2024,Fredrickson South marsh,FSM-HM-C1,Plectritis congesta,veg for core vicinity
Poppe_et_al_2024,Fredrickson South marsh,FSM-HM-C3,Juncus balticus,veg for core vicinity
Poppe_et_al_2024,Fredrickson South marsh,FSM-HM-C3,Grindelia stricta,veg for core vicinity
Poppe_et_al_2024,Kandoll Farm restored marsh,KAN-RM-C1,Phalaris arundinacea,veg for core vicinity
Poppe_et_al_2024,Kandoll Farm restored marsh,KAN-RM-C2,Phalaris arundinacea,veg for core vicinity
Poppe_et_al_2024,"Kunz restored marsh, high cell",KZH-RM-C1,Carex lyngbyei,veg for core vicinity
Poppe_et_al_2024,"Kunz restored marsh, high cell",KZH-RM-C1,Agrostis stolonifera,veg for core vicinity
Poppe_et_al_2024,"Kunz restored marsh, low cell",KZL-RM-C1,Carex lyngbyei,veg for core vicinity
Poppe_et_al_2024,Mouth Lewis & Clark River marsh,MLC-HM-C1,Typha sp.,veg for core vicinity
Poppe_et_al_2024,Mouth Lewis & Clark River marsh,MLC-HM-C2b,Carex lyngbyei,veg for core vicinity
Poppe_et_al_2024,South Clatsop Slough restored marsh,SCS-RM-C1,Carex lyngbyei,veg for core vicinity
Poppe_et_al_2024,South Clatsop Slough restored marsh,SCS-RM-C1,Phalaris arundinacea,veg for core vicinity
Poppe_et_al_2024,Secret River high marsh,SEC-HM-C1,Phalaris arundinacea,veg for core vicinity
Poppe_et_al_2024,Secret River high marsh,SEC-HM-C1,Oenanthe sarmentosa,veg for core vicinity
Poppe_et_al_2024,Seal Slough swamp,SES-TS-C1b,Phalaris arundinacea,veg for core vicinity
Poppe_et_al_2024,Seal Slough swamp,SES-TS-C1b,Ribes sp.,veg for core vicinity
Poppe_et_al_2024,Seal Slough swamp,SES-TS-C1b,Physocarpus capitatus,veg for core vicinity
Poppe_et_al_2024,Winchester swamp,"WIN-TS-C1a,b",Picea sitchensis,veg for core vicinity
Poppe_et_al_2024,Winchester swamp,"WIN-TS-C1a,b",Carex obnupta,veg for core vicinity
Poppe_et_al_2024,Kandoll Farm restored marsh,KAN-RM-C3,Phalaris arundinacea,veg for core vicinity
Poppe_et_al_2024,Mouth Lewis & Clark River marsh,MLC-HM-C3,Carex lyngbyei,veg for core vicinity
Poppe_et_al_2024,Seal Slough swamp,SES-TS-C2,Cornus sericea,veg for core vicinity
