study_id,site_id,core_id,species_code,code_type
Poppe_et_al_2024,FRE-RM,FRE-RM-C1-1549,Juncus balticus,Genus species
Poppe_et_al_2024,FRE-RM,FRE-RM-C1-1549,Agrostis stolonifera,Genus species
Poppe_et_al_2024,FRE-RM,FRE-RM-C1-1549,Distichlis spicata,Genus species
Poppe_et_al_2024,FRE-RM,FRE-RM-C2-1550,Juncus balticus,Genus species
Poppe_et_al_2024,FRE-RM,FRE-RM-C2-1550,Deschampsia cespitosa,Genus species
Poppe_et_al_2024,FRE-RM,FRE-RM-C3-1552,Carex lyngbyei,Genus species
Poppe_et_al_2024,FRE-RM,FRE-RM-C3-1552,Agrostis stolonifera,Genus species
Poppe_et_al_2024,FSM-HM,FSM-HM-C1-1548,Juncus balticus,Genus species
Poppe_et_al_2024,FSM-HM,FSM-HM-C1-1548,Achillea millefolium,Genus species
Poppe_et_al_2024,FSM-HM,FSM-HM-C1-1548,Agrostis stolonifera,Genus species
Poppe_et_al_2024,FSM-HM,FSM-HM-C1-1548,Potentilla anserina,Genus species
Poppe_et_al_2024,FSM-HM,FSM-HM-C1-1548,Atriplex prostrata,Genus species
Poppe_et_al_2024,FSM-HM,FSM-HM-C1-1548,Plectritis congesta,Genus species
Poppe_et_al_2024,FSM-HM,FSM-HM-C3-1551,Juncus balticus,Genus species
Poppe_et_al_2024,FSM-HM,FSM-HM-C3-1551,Grindelia stricta,Genus species
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,Phalaris arundinacea,Genus species
Poppe_et_al_2024,KAN-RM,KAN-RM-C2-1543,Phalaris arundinacea,Genus species
Poppe_et_al_2024,KZH-RM,KZH-RM-C1-1553,Carex lyngbyei,Genus species
Poppe_et_al_2024,KZH-RM,KZH-RM-C1-1553,Agrostis stolonifera,Genus species
Poppe_et_al_2024,KZL-RM,KZL-RM-C1-1554,Carex lyngbyei,Genus species
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,Typha sp.,Genus
Poppe_et_al_2024,MLC-HM,MLC-HM-C2b-1545,Carex lyngbyei,Genus species
Poppe_et_al_2024,SCS-RM,SCS-RM-C1-1556,Carex lyngbyei,Genus species
Poppe_et_al_2024,SCS-RM,SCS-RM-C1-1556,Phalaris arundinacea,Genus species
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,Phalaris arundinacea,Genus species
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,Oenanthe sarmentosa,Genus species
Poppe_et_al_2024,SES-TS,SES-TS-C1b-1546,Phalaris arundinacea,Genus species
Poppe_et_al_2024,SES-TS,SES-TS-C1b-1546,Ribes sp.,Genus
Poppe_et_al_2024,SES-TS,SES-TS-C1b-1546,Physocarpus capitatus,Genus species
Poppe_et_al_2024,WIN-TS,WIN-TS-C1ab-1547,Picea sitchensis,Genus species
Poppe_et_al_2024,WIN-TS,WIN-TS-C1ab-1547,Carex obnupta,Genus species
Poppe_et_al_2024,KAN-RM,KAN-RM-C3-1559,Phalaris arundinacea,Genus species
Poppe_et_al_2024,MLC-HM,MLC-HM-C3-1555,Carex lyngbyei,Genus species
Poppe_et_al_2024,SES-TS,SES-TS-C2-1560,Cornus sericea,Genus species
Poppe_et_al_2024,SES-TS,SES-TS-C2-1560,Rubus spectabilis,Genus species
Poppe_et_al_2024,SES-TS,SES-TS-C2-1560,Lysichiton americanum,Genus species
Poppe_et_al_2024,SES-TS,SES-TS-C2-1560,Gaultheria shallon,Genus species
Poppe_et_al_2024,SES-TS,SES-TS-C3-1561,Cornus sericea,Genus species
Poppe_et_al_2024,SCS-RM,SCS-RM-C2-1557,Carex lyngbyei,Genus species
Poppe_et_al_2024,SCS-RM,SCS-RM-C2-1557,Phalaris arundinacea,Genus species
Poppe_et_al_2024,WAS-PA,WAS-PA-C1-1768,Holcus lanatus,Genus species
Poppe_et_al_2024,WAS2-PA,WAS2-PA-C1-1769,Phalaris arundinacea,Genus species
Poppe_et_al_2024,JRP,JRP-1-1183,Deschampsia cespitosa,Genus species
Poppe_et_al_2024,JRP,JRP-1-1183,Juncus balticus,Genus species
Poppe_et_al_2024,JRP,JRP-2-1184,Distichlis spicata,Genus species
Poppe_et_al_2024,JRM,JRM-1-1185,Juncus balticus,Genus species
Poppe_et_al_2024,JRM,JRM-1-1185,Potentilla anserina,Genus species
Poppe_et_al_2024,JRM,JRM-2-1186,Juncus balticus,Genus species
Poppe_et_al_2024,JRM,JRM-2-1186,Potentilla anserina,Genus species
Poppe_et_al_2024,JRO,JRO-1-1187,Agrostis stolonifera,Genus species
Poppe_et_al_2024,JRO,JRO-1-1187,Juncus balticus,Genus species
Poppe_et_al_2024,JRO,JRO-1-1187,Potentilla anserina,Genus species
Poppe_et_al_2024,JRO,JRO-2-1188,Juncus balticus,Genus species
Poppe_et_al_2024,JRO,JRO-2-1188,Potentilla anserina,Genus species
Poppe_et_al_2024,JRS,JRS-1-1189,Carex obnupta,Genus species
Poppe_et_al_2024,JRS,JRS-1-1189,Rubus spectabilis,Genus species
Poppe_et_al_2024,JRS,JRS-2-1190,Carex obnupta,Genus species
Poppe_et_al_2024,JRS,JRS-2-1190,Rubus spectabilis,Genus species
Poppe_et_al_2024,JRS,JRS-2-1190,Lonicera involucrata,Genus species
Poppe_et_al_2024,JRS,JRS-2-1190,Picea sitchensis,Genus species
Poppe_et_al_2024,JRR,JRR-1-1191,Distichlis spicata,Genus species
Poppe_et_al_2024,JRR,JRR-2-1192,Salicornia pacifica,Genus species
Poppe_et_al_2024,JRD,JRD-1-1193,Phalaris arundinacea,Genus species
Poppe_et_al_2024,JRD,JRD-2-1194,Phalaris arundinacea,Genus species
Poppe_et_al_2024,JRW,JRW-1-1195,Phalaris arundinacea,Genus species
Poppe_et_al_2024,JRW,JRW-2-1196,Phalaris arundinacea,Genus species
Poppe_et_al_2024,MIO,MIO-1-1197,Phalaris arundinacea,Genus species
Poppe_et_al_2024,MIO,MIO-1-1197,Typha latifolia,Genus species
Poppe_et_al_2024,MIO,MIO-1-1197,Typha angustifolia,Genus species
Poppe_et_al_2024,MIO,MIO-1-1197,Symphyotrichum subspicatum,Genus species
Poppe_et_al_2024,MIO,MIO-1-1197,Oenanthe sarmentosa,Genus species
Poppe_et_al_2024,MIO,MIO-1-1197,Potentilla anserina,Genus species
Poppe_et_al_2024,MIO,MIO-2-1198,Phalaris arundinacea,Genus species
Poppe_et_al_2024,MIO,MIO-2-1198,Typha latifolia,Genus species
Poppe_et_al_2024,MIO,MIO-2-1198,Typha angustifolia,Genus species
Poppe_et_al_2024,MIO,MIO-2-1198,Symphyotrichum subspicatum,Genus species
Poppe_et_al_2024,MIO,MIO-2-1198,Oenanthe sarmentosa,Genus species
Poppe_et_al_2024,MIO,MIO-2-1198,Potentilla anserina,Genus species
Poppe_et_al_2024,MIR,MIR-1-1199,Phalaris arundinacea,Genus species
Poppe_et_al_2024,MIR,MIR-1-1199,Scirpus microcarpus,Genus species
Poppe_et_al_2024,MIR,MIR-1-1199,Carex utriculata,Genus species
Poppe_et_al_2024,MIR,MIR-2-1200,Phalaris arundinacea,Genus species
Poppe_et_al_2024,MIR,MIR-2-1200,Scirpus microcarpus,Genus species
Poppe_et_al_2024,MIR,MIR-2-1200,Carex utriculata,Genus species
Poppe_et_al_2024,MIS,MIS-1-1201,Cornus sericea,Genus species
Poppe_et_al_2024,MIS,MIS-1-1201,Rubus spectabilis,Genus species
Poppe_et_al_2024,MIS,MIS-1-1201,Lysichiton americanum,Genus species
Poppe_et_al_2024,FIR,FIR-1-1203,Schoenoplectus tabernaemontani,Genus species
Poppe_et_al_2024,FIR,FIR-1-1203,Triglochin maritima,Genus species
Poppe_et_al_2024,FIR,FIR-2-1204,Agrostis stolonifera,Genus species
Poppe_et_al_2024,FRR,FRR-1-1205,Cotula coronopifolia,Genus species
Poppe_et_al_2024,FRR,FRR-1-1205,Spergularia canadensis,Genus species
Poppe_et_al_2024,BIS,BIS-1-1207,Distichlis spicata,Genus species
Poppe_et_al_2024,BIS,BIS-2-1208,Distichlis spicata,Genus species
Poppe_et_al_2024,PBW,PBW-1-1209,Atriplex sp.,Genus
Poppe_et_al_2024,PBW,PBW-1-1209,Agrostis sp.,Genus
Poppe_et_al_2024,NEH-COA-TS,NEH-COA-TS7-826,Picea sitchensis,Genus species
Poppe_et_al_2024,GRA-CHE-TS,GRA-CHE-TS7-827,Picea sitchensis,Genus species
