study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,fraction_carbon,compaction_fraction,compaction_notes,cs137_peak_age,cs137_activity,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,pb214_activity,pb214_activity_se,pb214_unit,depth_interval_notes
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,0,2,MLC-HM-C1-25,0.20969360097693335,0.188,0.07263,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.0461637,cts/sec/kg,104.5754533,17.88140677,116.1661481,15.8847933,Bq/kg,21.67002363,2.958426394,Bq/kg,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,2,4,MLC-HM-C1-26,0.3348426409168928,0.156,0.05728,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,4,6,MLC-HM-C1-27,0.319542091168365,0.19,0.07397000000000001,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.0682436,cts/sec/kg,87.75007331,16.61395545,105.0917382,14.71139038,Bq/kg,25.80607211,2.985987639,Bq/kg,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,6,8,MLC-HM-C1-28,0.2425335060544819,0.204,0.07222,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,8,10,MLC-HM-C1-29,0.34440829908532106,0.148,0,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.0640303,cts/sec/kg,68.41183494,13.91424918,85.79636486,12.24858995,Bq/kg,23.988836,2.82880749,Bq/kg,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,10,12,MLC-HM-C1-30,0.32091907162290895,0.235,0.07449,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,12,14,MLC-HM-C1-31,0.2234626278363142,0.19,0.07952,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.04435489999999999,cts/sec/kg,51.09735007,13.28124932,76.47716352,11.52885541,Bq/kg,30.31656101,3.322588379,Bq/kg,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,14,16,MLC-HM-C1-32,0.3600451158644064,0.173,0.0635,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,16,18,MLC-HM-C1-33,0.1542636564247685,NA,0.10512,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.0468233,cts/sec/kg,51.76750112,12.16181388,68.95061763,10.54367878,Bq/kg,22.18859992,3.085472897,Bq/kg,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,18,20,MLC-HM-C1-34,0.2332540816659795,0.224,0.09704,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,20,22,MLC-HM-C1-35,0.27150403530759265,0.14,0.05531,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.06161919999999999,cts/sec/kg,46.32948172,11.90796379,67.56298222,10.31586937,Bq/kg,25.72388246,3.037645097,Bq/kg,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,22,24,MLC-HM-C1-36,0.20495744412426908,0.151,0.05724,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,24,26,MLC-HM-C1-37,0.3427072464304842,0.177,0.05806,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0,cts/sec/kg,40.3105889,11.57193717,61.86453284,9.958923398,Bq/kg,25.46406361,3.164030405,Bq/kg,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,26,28,MLC-HM-C1-38,0.10685982513003069,0.212,0.07269,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,28,30,MLC-HM-C1-39,0.21741790769098887,0.163,0.06544471740999999,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,30,32,MLC-HM-C1-40,0.2630527656041404,0.157,0.09721,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,32,34,MLC-HM-C1-41,0.2620415026919807,0.135,0,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,34,36,MLC-HM-C1-42,0.23456607586554573,0.112,0.06806,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,36,38,MLC-HM-C1-43,0.2932367443651222,0.127,0.04804790974,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,38,40,MLC-HM-C1-44,0.2496147219929897,0.139,0.06385,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,40,42,MLC-HM-C1-45,0.20530947559347548,0.138,0.05108999999999999,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,42,44,MLC-HM-C1-46,0.2538330356384019,0.158,0.04163,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,44,46,MLC-HM-C1-47,0.28663168631077973,0.174,0.04657,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,46,48,MLC-HM-C1-48,0.2153302718056107,0.123,0.05876999999999999,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
