study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,pb210_unit
Snedden_2018,171,171_1,single set of methods,0,2,0.32,0.139676,0.046310000000000004,0.321,0.066,disintegrationsPerminutePerGram,34.171,0.891,35.813,disintegrationsPerminutePerGram
Snedden_2018,171,171_1,single set of methods,2,4,0.4,0.128577,0.04715,0.217,0.06,disintegrationsPerminutePerGram,30.597,0.788,32.093,disintegrationsPerminutePerGram
Snedden_2018,171,171_1,single set of methods,4,6,0.42,0.106319,0.03336,0.007,0.047,disintegrationsPerminutePerGram,18.984,0.445,20.439,disintegrationsPerminutePerGram
Snedden_2018,171,171_1,single set of methods,6,8,0.47,0.121665,0.0327,0.143,0.048,disintegrationsPerminutePerGram,24.714,0.643,26.276,disintegrationsPerminutePerGram
Snedden_2018,171,171_1,single set of methods,8,10,0.54,0.086116,0.024460000000000003,0.052,0.046,disintegrationsPerminutePerGram,28.117,0.742,29.575,disintegrationsPerminutePerGram
Snedden_2018,171,171_1,single set of methods,10,12,0.58,0.07318,0.02022,0.129,0.052,disintegrationsPerminutePerGram,25.399,0.684,27.032,disintegrationsPerminutePerGram
Snedden_2018,171,171_1,single set of methods,12,14,0.75,0.05366,0.012190000000000001,0.147,0.049,disintegrationsPerminutePerGram,21.621,0.603,23.209,disintegrationsPerminutePerGram
Snedden_2018,171,171_1,single set of methods,14,16,0.48,0.102628,0.03167,0.131,0.043,disintegrationsPerminutePerGram,24.921,0.666,26.408,disintegrationsPerminutePerGram
Snedden_2018,171,171_1,single set of methods,16,18,0.39,0.116332,0.03998,0.299,0.061,disintegrationsPerminutePerGram,26.887,0.724,28.45,disintegrationsPerminutePerGram
Snedden_2018,171,171_1,single set of methods,18,20,0.4,0.122697,0.04275,0.283,0.057,disintegrationsPerminutePerGram,23.032,1.058,24.377,disintegrationsPerminutePerGram
Snedden_2018,171,171_1,single set of methods,20,22,0.44,0.123028,0.05258,0.329,0.052,disintegrationsPerminutePerGram,18.121,0.427,19.298,disintegrationsPerminutePerGram
Snedden_2018,171,171_1,single set of methods,22,24,0.4,0.149355,0.041479999999999996,0.309,0.06,disintegrationsPerminutePerGram,24.842,1.126,25.791,disintegrationsPerminutePerGram
Snedden_2018,171,171_1,single set of methods,24,26,0.38,0.151747,0.06023,0.297,0.057,disintegrationsPerminutePerGram,16.783,0.402,17.961,disintegrationsPerminutePerGram
Snedden_2018,171,171_1,single set of methods,26,28,0.34,0.149537,0.04901,0.341,0.053,disintegrationsPerminutePerGram,26.497,0.716,27.852,disintegrationsPerminutePerGram
Snedden_2018,171,171_1,single set of methods,28,30,0.35,0.134017,0.046740000000000004,0.341,0.059,disintegrationsPerminutePerGram,26.437,0.719,27.726,disintegrationsPerminutePerGram
Snedden_2018,171,171_1,single set of methods,30,32,0.4,0.135197,0.04596,0.282,0.062,disintegrationsPerminutePerGram,17.817,0.435,18.994,disintegrationsPerminutePerGram
Snedden_2018,171,171_1,single set of methods,32,34,0.33,0.128553,0.05271,0.358,0.051,disintegrationsPerminutePerGram,24.161,0.642,25.207,disintegrationsPerminutePerGram
Snedden_2018,171,171_1,single set of methods,34,36,0.4,0.141881,0.03857,0.349,0.065,disintegrationsPerminutePerGram,21.685,0.53,22.95,disintegrationsPerminutePerGram
Snedden_2018,171,171_1,single set of methods,36,38,0.49,0.155365,0.02722,0.486,0.053,disintegrationsPerminutePerGram,21.83,0.596,23.08,disintegrationsPerminutePerGram
Snedden_2018,171,171_1,single set of methods,38,40,0.33,0.11265900000000001,0.1002,0.49,0.058,disintegrationsPerminutePerGram,17.715,0.42,18.791,disintegrationsPerminutePerGram
Snedden_2018,171,171_1,single set of methods,40,42,0.3,0.236622,0.09291,0.311,0.07,disintegrationsPerminutePerGram,24.48,1.092,25.722,disintegrationsPerminutePerGram
Snedden_2018,172,172_1,single set of methods,0,2,0.15,0.224421,0.07188,0.247,0.081,disintegrationsPerminutePerGram,1.513,1.206,48.358,disintegrationsPerminutePerGram
Snedden_2018,172,172_1,single set of methods,2,4,0.22,0.21492999999999998,0.06971,0.257,0.068,disintegrationsPerminutePerGram,1.234,0.884,36.139,disintegrationsPerminutePerGram
Snedden_2018,172,172_1,single set of methods,4,6,0.28,0.180315,0.06404,0.331,0.057,disintegrationsPerminutePerGram,1.421,0.897,41.749,disintegrationsPerminutePerGram
Snedden_2018,172,172_1,single set of methods,6,8,0.25,0.24286100000000002,0.08289999999999999,0.293,0.066,disintegrationsPerminutePerGram,1.456,0.871,37.13,disintegrationsPerminutePerGram
Snedden_2018,172,172_1,single set of methods,8,10,0.29,0.170855,0.05672,0.336,0.066,disintegrationsPerminutePerGram,1.447,0.796,30.243,disintegrationsPerminutePerGram
Snedden_2018,172,172_1,single set of methods,10,12,0.32,0.156161,0.0564,0.279,0.058,disintegrationsPerminutePerGram,1.318,0.737,29.623,disintegrationsPerminutePerGram
Snedden_2018,172,172_1,single set of methods,12,14,0.4,0.146337,0.045279999999999994,0.312,0.052,disintegrationsPerminutePerGram,1.669,0.668,26.245,disintegrationsPerminutePerGram
Snedden_2018,172,172_1,single set of methods,14,16,0.62,0.087385,0.01794,0.233,0.059,disintegrationsPerminutePerGram,1.563,1.086,22.453,disintegrationsPerminutePerGram
Snedden_2018,172,172_1,single set of methods,16,18,0.41,0.09620200000000001,0.022690000000000002,0.22,0.058,disintegrationsPerminutePerGram,1.43,0.708,29.352,disintegrationsPerminutePerGram
Snedden_2018,172,172_1,single set of methods,18,20,0.35,0.114702,0.02921,0.122,0.061,disintegrationsPerminutePerGram,1.235,0.721,28.929,disintegrationsPerminutePerGram
Snedden_2018,172,172_1,single set of methods,20,22,0.28,0.174909,0.05804,0.418,0.06,disintegrationsPerminutePerGram,1.261,0.449,21.932,disintegrationsPerminutePerGram
Snedden_2018,172,172_1,single set of methods,22,24,0.33,0.172894,0.05113,0.378,0.063,disintegrationsPerminutePerGram,1.104,0.819,31.378,disintegrationsPerminutePerGram
