core_id,depth,dry_weight_g,bulk_density,cs137_net_counts,organic_content_percent
E1A,1,91.72,0.584,801,8.91
E1A,5,87.29,0.556,681,
E1A,9,99.68,0.635,941,8.44
E1A,13,62.87,0.4,713,
E1A,17,73.34,0.467,764,8.87
E1A,21,71.38,0.455,838,
E1A,25,53.8,0.343,840,10.65
E1A,29,69.42,0.442,984,
E1A,33,104.55,0.667,1107,7.37
E1A,37,118.66,0.756,1087,
E1A,39,122.99,0.783,11278,5.93
E1A,41,157.54,1.003,1333,
E1A,43,167.03,1.064,1427,5.25
E1B,1,88.97,0.567,812,10.56
E1B,5,93.28,0.594,1048,
E1B,9,60.82,0.387,747,12.57
E1B,13,53.18,0.339,876,
E1B,17,87.65,0.558,1159,9.24
E1B,21,84.78,0.54,1168,
E1B,25,94.95,0.605,1353,8
E1B,27,143.96,0.917,1741,
E1B,29,140.46,0.895,1791,8.52
E1B,31,113.92,0.726,1373,7.56
E1B,33,174.28,1.11,1577,
E1B,37,160.07,1.02,628,
E1B,41,132.79,0.846,577,5.91
E1B,43,172.72,1.1,568,
E1C,1,57.51,0.366,692,14.44
E1C,5,47.48,0.302,474,
E1C,9,95.6,0.609,934,10.04
E1C,13,124,0.79,1220,
E1C,17,205.57,1.31,1278,4.42
E1C,21,247.31,1.575,1536,
E1C,25,274.63,1.75,1654,2.83
E1C,29,271.62,1.73,1786,
E1C,33,287.6,1.832,1883,2.49
E1C,37,338.86,2.16,1847,
E1C,41,361.47,2.302,,
E1C,43,305.51,1.946,1711,2.7
W1A,1,71.51,0.455,802,10.44
W1A,5,82.81,0.527,857,
W1A,9,37.39,0.238,429,17.13
W1A,13,70.49,0.449,898,
W1A,17,51.48,0.328,843,12.3
W1A,21,82.94,0.528,966,
W1A,25,93.15,0.593,1006,8.25
W1A,29,105.17,0.67,1192,
W1A,33,117.48,0.748,1376,8.8
W1A,35,111.88,0.713,1327,
W1A,37,127.29,0.811,1561,9.08
W1A,39,133.57,0.851,1314,
W1A,41,,,,8.2
W1A,43,114.6,0.726,872,
W1B,1,104.76,0.667,946,9.71
W1B,5,100.76,0.642,1019,
W1B,9,120.19,0.766,1173,8.05
W1B,13,92.33,0.588,1124,
W1B,17,110.38,0.703,1108,8.72
W1B,21,99.28,0.632,1009,
W1B,23,103.99,0.662,1271,7.33
W1B,25,134.25,0.855,1924,
W1B,27,126.59,0.806,1390,7.07
W1B,29,149.21,0.95,1228,
W1B,33,164.86,1.05,997,4.91
W1B,37,152.56,0.971,988,
W1B,41,160.6,1.022,748,5.77
W1B,43,166.48,1.061,337,
W1C,1,83.97,0.535,663,10.95
W1C,5,93.5,0.596,1036,
W1C,9,74.05,0.472,898,9.63
W1C,13,95.37,0.607,1008,
W1C,17,96.86,0.617,1077,9.1
W1C,21,95.63,0.61,1313,
W1C,25,111.38,0.71,1317,7.8
W1C,29,140.99,0.9,1491,
W1C,31,123.21,0.785,1422,7.51
W1C,33,143.39,0.913,1607,
W1C,35,135.86,0.865,1577,8.9
W1C,37,136.68,0.871,734,
W1C,41,120.07,0.765,587,7.9
W1C,43,130.93,0.834,514,
