"","study_id","core_id","depth_min","depth_max","dry_bulk_density","fraction_organic_matter","fraction_carbon","cs137_activity","total_pb210_activity","ra226_activity","excess_pb210_activity","be7_activity","age","site_id","total_pb210_activity_sd","ra226_activity_sd","cs137_activity_sd","cs137_peak_present"
"15","Weis_et_al_2001","Tijuana_Estuary_East_mid_1",4,5,0.594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Weis_et_al_2001","Tijuana_Estuary_East_mid_1",8,10,0.387,0.1257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Weis_et_al_2001","Tijuana_Estuary_East_mid_1",12,14,0.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Weis_et_al_2001","Tijuana_Estuary_East_mid_1",16,18,0.558,0.0924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Weis_et_al_2001","Tijuana_Estuary_East_mid_1",24,26,0.605,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Weis_et_al_2001","Tijuana_Estuary_East_mid_1",26,28,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Weis_et_al_2001","Tijuana_Estuary_East_mid_1",28,30,0.895,0.0852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Weis_et_al_2001","Tijuana_Estuary_East_mid_1",30,32,0.726,0.0756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Weis_et_al_2001","Tijuana_Estuary_East_mid_1",32,34,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Weis_et_al_2001","Tijuana_Estuary_East_mid_1",36,38,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Weis_et_al_2001","Tijuana_Estuary_East_mid_1",40,42,0.846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Weis_et_al_2001","Tijuana_Estuary_East_mid_1",42,44,1.1,0.0591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Weis_et_al_2001","Tijuana_Estuary_East_mid_2",0,2,0.366,0.1444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Weis_et_al_2001","Tijuana_Estuary_East_mid_2",4,6,0.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Weis_et_al_2001","Tijuana_Estuary_East_mid_2",8,10,0.609,0.1004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Weis_et_al_2001","Tijuana_Estuary_East_mid_2",12,14,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Weis_et_al_2001","Tijuana_Estuary_East_mid_2",16,18,1.31,0.0442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Weis_et_al_2001","Tijuana_Estuary_East_mid_2",20,22,1.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Weis_et_al_2001","Tijuana_Estuary_East_mid_2",24,26,1.75,0.0283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Weis_et_al_2001","Tijuana_Estuary_East_mid_2",28,30,1.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Weis_et_al_2001","Tijuana_Estuary_East_mid_2",32,34,1.832,0.0249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Weis_et_al_2001","Tijuana_Estuary_East_mid_2",36,38,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Weis_et_al_2001","Tijuana_Estuary_East_mid_2",40,42,2.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Weis_et_al_2001","Tijuana_Estuary_East_mid_2",42,44,1.946,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Weis_et_al_2001","Tijuana_Estuary_West_low",0,2,0.455,0.1044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Weis_et_al_2001","Tijuana_Estuary_West_low",4,6,0.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Weis_et_al_2001","Tijuana_Estuary_West_low",8,10,0.238,0.1713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Weis_et_al_2001","Tijuana_Estuary_West_low",12,14,0.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Weis_et_al_2001","Tijuana_Estuary_West_low",16,18,0.328,0.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Weis_et_al_2001","Tijuana_Estuary_West_low",20,22,0.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Weis_et_al_2001","Tijuana_Estuary_West_low",24,26,0.593,0.0825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Weis_et_al_2001","Tijuana_Estuary_West_low",30,32,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Weis_et_al_2001","Tijuana_Estuary_West_low",32,34,0.748,0.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Weis_et_al_2001","Tijuana_Estuary_West_low",34,36,0.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Weis_et_al_2001","Tijuana_Estuary_West_low",36,38,0.811,0.0908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Weis_et_al_2001","Tijuana_Estuary_West_low",38,40,0.851,0.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Weis_et_al_2001","Tijuana_Estuary_West_low",42,44,0.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Weis_et_al_2001","Tijuana_Estuary_West_mid_1",0,2,0.667,0.0971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Weis_et_al_2001","Tijuana_Estuary_West_mid_1",4,6,0.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Weis_et_al_2001","Tijuana_Estuary_West_mid_1",8,10,0.766,0.0805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Weis_et_al_2001","Tijuana_Estuary_West_mid_1",12,14,0.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Weis_et_al_2001","Tijuana_Estuary_West_mid_1",16,18,0.703,0.0872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Weis_et_al_2001","Tijuana_Estuary_West_mid_1",20,22,0.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Weis_et_al_2001","Tijuana_Estuary_West_mid_1",22,24,0.662,0.0733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Weis_et_al_2001","Tijuana_Estuary_West_mid_1",24,26,0.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Weis_et_al_2001","Tijuana_Estuary_West_mid_1",26,28,0.806,0.0707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Weis_et_al_2001","Tijuana_Estuary_West_mid_1",28,30,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Weis_et_al_2001","Tijuana_Estuary_West_mid_1",32,34,1.05,0.0491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Weis_et_al_2001","Tijuana_Estuary_West_mid_1",36,38,0.971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Weis_et_al_2001","Tijuana_Estuary_West_mid_1",40,42,1.022,0.0577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Weis_et_al_2001","Tijuana_Estuary_West_mid_1",42,44,1.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Weis_et_al_2001","Tijuana_Estuary_West_mid_2",0,2,0.535,0.1095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Weis_et_al_2001","Tijuana_Estuary_West_mid_2",4,6,0.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Weis_et_al_2001","Tijuana_Estuary_West_mid_2",8,10,0.472,0.0963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Weis_et_al_2001","Tijuana_Estuary_West_mid_2",12,14,0.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Weis_et_al_2001","Tijuana_Estuary_West_mid_2",16,18,0.617,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Weis_et_al_2001","Tijuana_Estuary_West_mid_2",20,22,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Weis_et_al_2001","Tijuana_Estuary_West_mid_2",24,26,0.71,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Weis_et_al_2001","Tijuana_Estuary_West_mid_2",28,30,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Weis_et_al_2001","Tijuana_Estuary_West_mid_2",30,32,0.785,0.0751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Weis_et_al_2001","Tijuana_Estuary_West_mid_2",32,34,0.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Weis_et_al_2001","Tijuana_Estuary_West_mid_2",34,36,0.865,0.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Weis_et_al_2001","Tijuana_Estuary_West_mid_2",36,38,0.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Weis_et_al_2001","Tijuana_Estuary_West_mid_2",40,42,0.765,0.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Weis_et_al_2001","Tijuana_Estuary_West_mid_2",42,44,0.834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
