"","study_id","core_id","depth_min","depth_max","dry_bulk_density","fraction_organic_matter","fraction_carbon","cs137_activity","total_pb210_activity","ra226_activity","excess_pb210_activity","be7_activity","age","site_id","total_pb210_activity_sd","ra226_activity_sd","cs137_activity_sd","cs137_peak_present"
"1","Weis_et_al_2001","Tijuana_Estuary_East_low",0,2,0.584,0.0891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Weis_et_al_2001","Tijuana_Estuary_East_low",4,6,0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Weis_et_al_2001","Tijuana_Estuary_East_low",8,10,0.635,0.0844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Weis_et_al_2001","Tijuana_Estuary_East_low",12,14,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Weis_et_al_2001","Tijuana_Estuary_East_low",16,18,0.467,0.0887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Weis_et_al_2001","Tijuana_Estuary_East_low",20,22,0.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Weis_et_al_2001","Tijuana_Estuary_East_low",24,26,0.343,0.1065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Weis_et_al_2001","Tijuana_Estuary_East_low",28,30,0.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Weis_et_al_2001","Tijuana_Estuary_East_low",32,34,0.667,0.0737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Weis_et_al_2001","Tijuana_Estuary_East_low",36,38,0.756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Weis_et_al_2001","Tijuana_Estuary_East_low",38,40,0.783,0.0593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Weis_et_al_2001","Tijuana_Estuary_East_low",40,42,1.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Weis_et_al_2001","Tijuana_Estuary_East_low",42,44,1.064,0.0525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Weis_et_al_2001","Tijuana_Estuary_East_mid_1",0,2,0.567,0.1056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
