Site,Point_ID,Core_Top,Core_Bot,org_matter_percent
CSS,106,0,1,42.32
CSS,106,1,2,42.59
CSS,106,2,3,42.60
CSS,106,3,4,37.41
CSS,106,4,5,34.49
CSS,106,5,6,36.60
CSS,106,6,7,37.09
CSS,106,7,8,32.43
CSS,106,8,9,33.91
CSS,106,9,10,26.49
CSS,112,0,1,52.51
CSS,112,1,2,48.03
CSS,112,2,3,42.46
CSS,112,3,4,31.76
CSS,112,4,5,22.18
CSS,112,5,6,10.66
CSS,112,6,7,7.23
CSS,112,7,8,7.72
CSS,112,8,9,6.09
CSS,112,9,10,5.87
CSS,300,0,1,40.14
CSS,300,1,2,48.11
CSS,300,2,3,51.28
CSS,300,3,4,50.29
CSS,300,4,5,52.30
CSS,300,5,6,56.43
CSS,300,6,7,64.26
CSS,300,7,8,68.57
CSS,300,8,9,58.62
CSS,300,9,10,63.73
CSS,304,0,1,5.31
CSS,304,1,2,6.23
CSS,304,2,3,8.50
CSS,304,3,4,9.68
CSS,304,4,5,8.47
CSS,304,5,6,7.18
CSS,304,6,7,6.58
CSS,304,7,8,7.25
CSS,304,8,9,6.17
CSS,304,9,10,5.37
CSS,128,0,1,25.63
CSS,128,1,2,25.48
CSS,128,2,3,31.58
CSS,128,3,4,29.38
CSS,128,4,5,37.61
CSS,128,5,6,30.18
CSS,128,6,7,21.66
CSS,128,7,8,16.37
CSS,128,8,9,11.26
CSS,128,9,10,8.93
CSS,318,0,1,65.28
CSS,318,1,2,55.03
CSS,318,2,3,55.63
CSS,318,3,4,68.88
CSS,318,4,5,68.94
CSS,318,5,6,61.35
CSS,318,6,7,56.96
CSS,318,7,8,41.69
CSS,318,8,9,24.49
CSS,318,9,10,16.88
CSS,320,0,1,30.89
CSS,320,1,2,37.33
CSS,320,2,3,40.51
CSS,320,3,4,42.83
CSS,320,4,5,47.24
CSS,320,5,6,48.77
CSS,320,6,7,49.49
CSS,320,7,8,48.35
CSS,320,8,9,51.66
CSS,320,9,10,52.43
CSL,128,0,1,25.63
CSL,128,1,2,25.48
CSL,128,2,3,31.58
CSL,128,3,4,29.38
CSL,128,4,5,37.61
CSL,128,5,6,30.18
CSL,128,6,7,21.66
CSL,128,7,8,16.37
CSL,128,8,9,11.26
CSL,128,9,10,8.93
CSL,318,0,1,65.28
CSL,318,1,2,55.03
CSL,318,2,3,55.63
CSL,318,3,4,68.88
CSL,318,4,5,68.94
CSL,318,5,6,61.35
CSL,318,6,7,56.96
CSL,318,7,8,41.69
CSL,318,8,9,24.49
CSL,318,9,10,16.88
CSL,320,0,1,30.89
CSL,320,1,2,37.33
CSL,320,2,3,40.51
CSL,320,3,4,42.83
CSL,320,4,5,47.24
CSL,320,5,6,48.77
CSL,320,6,7,49.49
CSL,320,7,8,48.35
CSL,320,8,9,51.66
CSL,320,9,10,52.43
CSL,148,0,1,55.07
CSL,148,1,2,48.03
CSL,148,2,3,31.22
CSL,148,3,4,19.92
CSL,148,4,5,8.93
CSL,148,5,6,7.43
CSL,148,6,7,6.61
CSL,148,7,8,5.18
CSL,148,8,9,6.54
CSL,148,9,10,5.06
CSL,154,0,1,30.57
CSL,154,1,2,11.83
CSL,154,2,3,10.06
CSL,154,3,4,6.84
CSL,154,4,5,5.03
CSL,154,5,6,4.69
CSL,154,6,7,4.61
CSL,154,7,8,3.62
CSL,154,8,9,3.89
CSL,154,9,10,3.54
CSL,330,0,1,53.37
CSL,330,1,2,39.65
CSL,330,2,3,36.80
CSL,330,3,4,40.93
CSL,330,4,5,46.58
CSL,330,5,6,50.84
CSL,330,6,7,58.39
CSL,330,7,8,68.24
CSL,330,8,9,58.67
CSL,330,9,10,36.18
CSL,334,0,1,61.20
CSL,334,1,2,64.57
CSL,334,2,3,65.02
CSL,334,3,4,59.09
CSL,334,4,5,54.58
CSL,334,5,6,61.24
CSL,334,6,7,51.69
CSL,334,7,8,34.55
CSL,334,8,9,23.41
CSL,334,9,10,6.51
KC,102,0,1,12.81
KC,102,1,2,21.07
KC,102,2,3,24.90
KC,102,3,4,24.57
KC,102,4,5,22.10
KC,102,5,6,32.40
KC,102,6,7,34.58
KC,102,7,8,42.12
KC,102,8,9,47.98
KC,102,9,10,22.42
KC,108,0,1,3.26
KC,108,1,2,3.81
KC,108,2,3,6.46
KC,108,3,4,8.57
KC,108,4,5,8.77
KC,108,5,6,8.12
KC,108,6,7,7.18
KC,108,7,8,6.49
KC,108,8,9,7.23
KC,108,9,10,9.28
KC,302,0,1,6.33
KC,302,1,2,6.98
KC,302,2,3,NA
KC,302,3,4,25.23
KC,302,4,5,11.01
KC,302,5,6,8.57
KC,302,6,7,6.59
KC,302,7,8,6.01
KC,302,8,9,5.85
KC,302,9,10,5.92
KC,308,0,1,6.95
KC,308,1,2,7.59
KC,308,2,3,9.36
KC,308,3,4,8.97
KC,308,4,5,6.85
KC,308,5,6,6.58
KC,308,6,7,10.19
KC,308,7,8,9.84
KC,308,8,9,8.43
KC,308,9,10,15.95
KC,114,0,1,7.75
KC,114,1,2,6.50
KC,114,2,3,6.60
KC,114,3,4,9.15
KC,114,4,5,9.94
KC,114,5,6,7.31
KC,114,6,7,9.34
KC,114,7,8,6.98
KC,114,8,9,5.65
KC,114,9,10,4.85
KC,118,0,1,11.09
KC,118,1,2,14.63
KC,118,2,3,30.70
KC,118,3,4,17.36
KC,118,4,5,10.55
KC,118,5,6,8.42
KC,118,6,7,8.13
KC,118,7,8,7.90
KC,118,8,9,8.80
KC,314,0,1,10.90
KC,314,1,2,13.09
KC,314,2,3,8.34
KC,314,3,4,7.52
KC,314,4,5,6.51
KC,314,5,6,5.77
KC,314,6,7,2.15
KC,314,7,8,3.42
KC,314,8,9,2.38
KC,314,9,10,1.45
KC,318,0,1,3.46
KC,318,1,2,3.06
KC,318,2,3,5.78
KC,318,3,4,12.87
KC,318,4,5,19.53
KC,318,5,6,20.78
KC,318,6,7,10.96
KC,318,7,8,9.64
KC,318,8,9,8.14
KC,318,9,10,8.74
