Site,Replicate,ID,Date,Lat,Lon,Depth_min,Depth_max,VAR_LL,VAR_50,VAR_UL,MAR_LL,MAR_50,MAR_UL,CAR_LL,CAR_50,CAR_UL,NAR_LL,NAR_50,NAR_UL,Year_LL,Year_50,Year_UL
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,0,1,1.06,2.22,5.78,297,620,1614,36.13,75.37,196.24,1.87,3.9,10.15,2016,2016,2016
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,1,2,2.96,5.08,10.26,1872,3219,6497,172.77,297.1,599.69,8.57,14.74,29.75,2007,2011,2014
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,2,3,5.5,9.2,16.57,1113,1860,3352,109.51,183.03,329.84,5.78,9.66,17.42,2004,2009,2013
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,3,4,5.98,10.3,20.2,1968,3389,6644,155.86,268.39,526.19,7.49,12.89,25.27,2003,2008,2011
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,4,5,6.21,10.81,19.27,,,,,,,,,,2002,2007,2011
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,5,6,6.49,10.6,20.01,2100,3430,6477,194.87,318.34,601.07,9.61,15.71,29.66,2001,2006,2010
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,6,7,5.64,9.32,16.45,,,,,,,,,,2000,2005,2009
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,7,8,4.95,7.57,12.74,1609,2462,4143,127.72,195.5,328.94,7.53,11.52,19.39,1999,2004,2008
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,8,9,3.41,5.29,8.04,,,,,,,,,,1998,2003,2007
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,9,10,2.83,4.11,6.4,1085,1573,2453,103.91,150.66,234.99,5.78,8.38,13.07,1995,2001,2005
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,10,11,1.95,3.15,5.03,,,,,,,,,,1993,1998,2003
