Site,Replicate,ID,Date,Lat,Lon,Depth_min,Depth_max,Depth_mid,DBD,210Pb,210Pb_e,226Ra,226Ra_e,210Pbex,210Pbex_e,137Cs,137Cs_e,7Be,7Be_e,wtC,wtN,13C,15N
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,0,1,0.5,0.2794,3.9874,1.1332,3.8962,0.2688,0.0912,1.1647,0,0,0,0,12.1578,0.6289,-28.7072,2.3837
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,1,2,1.5,0.6333,2.8908,0.7924,1.6827,0.1333,1.2081,0.8035,0,0,0,0,9.2254,0.4579,-28.8294,2.4917
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,2,3,2.5,0.2022,3.1332,0.4712,0.977,0.0677,2.1562,0.4761,0,0,0,0,9.8364,0.5195,-28.8283,2.3182
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,3,5,4,0.3289,2.5929,0.3397,0.7206,0.0422,1.8724,0.3423,0,0,0,0,7.9189,0.3804,-28.8231,2.3237
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,5,7,6,0.3236,2.3545,0.3115,0.8353,0.0352,1.5192,0.3135,0,0,0,0,9.283,0.4578,-28.8177,2.5441
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,7,9,8,0.3251,2.467,0.393,1.0634,0.054,1.4036,0.3967,0,0,0,0,7.9385,0.468,-28.9365,2.6772
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,9,11,10,0.383,3.5297,0.2887,0.7118,0.0285,2.8179,0.2901,0.099,0.0227,0,0,9.5785,0.5327,-28.9223,2.6393
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,11,13,12,0.4412,4.0503,0.3844,0.7338,0.0385,3.3166,0.3863,0,0,0,0,12.0765,0.6235,-28.9808,2.8398
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,13,15,14,0.4157,4.1287,0.3703,1.1497,0.047,2.9789,0.3733,0,0,0,0,12.1079,0.624,-29.0053,2.9829
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,15,17,16,0.3329,2.9774,0.3636,0.6117,0.0277,2.3658,0.3646,0,0,0,0,10.5998,0.5111,-28.7282,3.3659
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,17,19,18,0.4449,2.2981,0.29,0.9534,0.037,1.3447,0.2924,0,0,0,0,8.1613,0.3326,-28.6123,3.445
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,19,21,20,0.2991,2.0134,0.4496,0.7946,0.0432,1.2188,0.4517,0,0,0,0,9.7834,0.3855,-28.3744,3.6927
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,21,23,22,0.5553,2.2801,0.3938,0.8042,0.0356,1.4759,0.3954,0.1296,0.0278,0,0,9.4231,0.3901,-28.1185,3.8071
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,23,25,24,0.3167,2.1267,0.3516,1.0387,0.0423,1.088,0.3541,0.2305,0.035,0,0,13.2519,0.4665,-27.9687,3.8709
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,25,27,26,0.4367,2.8924,0.3893,0.9461,0.0448,1.9464,0.3919,0.1916,0.0349,0,0,12.7721,0.4897,-28.0007,3.9298
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,27,29,28,0.4293,2.8621,0.2808,0.9505,0.0304,1.9117,0.2824,0.1713,0.0255,0,0,12.1321,0.4734,-27.9617,3.8995
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,29,31,30,0.9718,2.4786,0.3435,1.0225,0.0394,1.4561,0.3458,0.1408,0.0318,0,0,10.1303,0.4226,    ,    
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,31,33,32,0.2099,2.7953,0.3572,0.9088,0.0392,1.8865,0.3594,0.1529,0.028,0,0,9.6935,0.3593,    ,    
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,33,35,34,0.9675,1.7698,0.3065,1.0006,0.0396,0.7691,0.3091,0.1423,0.0351,0,0,7.2091,0.2643,    ,    
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,35,37,36,1.4961,2.9422,0.3825,0.8201,0.0444,2.1221,0.3851,0.1231,0.0344,0,0,6.3411,0.224,    ,    
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,37,39,38,0.6773,1.5358,0.3118,0.9026,0.0505,0.6333,0.3158,0,0,0,0,3.4748,0.2749,    ,    
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,0,2,1,1.6577,16.2178,1.3315,2.7927,0.1857,13.4251,1.3444,0,0,0,0,14.2579,0.9253,-28.2027,4.2759
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,2,4,3,0.5688,18.1456,0.5988,1.5549,0.0638,16.5907,0.6022,0.1611,0.0376,0,0,13.3026,0.8483,-27.9634,4.142
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,4,6,5,0.7959,18.091,0.5084,1.5799,0.0509,16.5111,0.5109,0.1159,0.0334,0,0,15.6911,1.0756,-27.9642,4.3105
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,6,8,7,0.6689,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,18.4049,1.1817,-27.9505,4.1597
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,8,10,9,1.0451,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,16.721,0.951,-27.7,3.8215
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,10,12,11,1.1717,8.0597,0.4094,1.399,0.0488,6.6607,0.4123,0.0825,0.0338,0,0,12.7926,0.7505,-27.3488,3.8452
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,12,14,13,1.3002,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,11.7192,0.6245,-27.0762,4.0497
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,14,16,15,0.8765,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,10.156,0.547,-26.7471,3.9798
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,16,18,17,0.5598,4.3485,0.3679,1.1844,0.0476,3.1641,0.371,0.1166,0.0326,0,0,9.2466,0.5218,-26.8544,4.0714
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,18,20,19,1.5347,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,6.7225,0.3667,-26.5385,4.093
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,20,22,21,0.7097,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,6.5346,0.3609,-26.6989,4.1471
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,22,24,23,1.6113,3.2656,0.2884,1.246,0.0437,2.0196,0.2917,0.1009,0.0256,0,0,6.9071,0.3798,-26.6812,4.3056
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,24,26,25,1.0323,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,7.1112,0.3703,-26.7859,3.9394
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,26,28,27,0.601,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,7.9002,0.3966,-26.8674,3.8396
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,28,30,29,0.309,6.1617,0.5817,1.4016,0.0642,4.7601,0.5852,0.1853,0.0484,0,0,8.7176,0.398,-26.8938,3.7406
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,30,32,31,1.0147,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,10.3647,2.2809,    ,    
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,32,34,33,1.622,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,9.5695,0.4488,    ,    
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,34,36,35,2.2674,5.3504,0.3997,1.1718,0.037,4.1786,0.4014,0.2631,0.0325,0,0,8.6905,0.3992,    ,    
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,36,38,37,1.0386,4.6629,0.4257,1.5759,0.063,3.087,0.4304,0.2114,0.0048,0,0,7.6804,0.3451,    ,    
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,0,1,0.5,0.3901,11.8333,1.3289,3.9775,0.2164,7.8558,1.3464,0,0,0,0,16.1184,1.0628,-27.6426,4.0903
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,1,2,1.5,0.2393,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,15.1144,1.0244,-27.6523,3.878
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,2,3,2.5,0.4128,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,14.4698,0.8576,-27.5432,3.8176
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,3,5,4,0.1722,10.1292,0.6017,1.9872,0.092,8.142,0.6087,0,0,0,0,13.5336,0.7562,-27.487,3.6128
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,5,7,6,0.4137,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,11.4583,0.6722,-27.2262,3.902
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,7,9,8,0.483,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,11.153,0.5877,-27.0791,3.7221
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,9,11,10,0.4153,9.4028,0.4889,1.6776,0.0557,7.7251,0.4921,0.1395,0.0406,0,0,12.1986,0.639,-27.1168,3.6422
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,11,13,12,1.0417,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,10.573,0.5441,-27.0404,3.6981
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,13,15,14,0.6608,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,9.8036,0.5421,-26.8761,3.573
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,15,17,16,0.5628,8.4004,0.4175,1.619,0.0416,6.7814,0.4196,0.2434,0.0313,0,0,9.6204,0.5333,-26.9325,3.6395
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,17,19,18,0.7719,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,9.3514,0.4883,-26.9301,3.5638
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,19,21,20,0.4482,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,8.7533,0.4423,-26.9954,3.5908
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,21,23,22,0.6818,6.7698,0.4136,1.5986,0.044,5.1711,0.416,0.147,0.029,0,0,8.8637,0.4512,-27.073,3.5115
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,23,25,24,0.4912,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,8.8275,0.4492,-26.9838,3.7322
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,25,27,26,0.3803,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,9.1223,0.4442,-26.8863,3.9386
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,27,29,28,0.3989,6.0358,0.3923,1.3011,0.0454,4.7346,0.3949,0.2314,0.0367,0,0,9.7093,0.4557,    ,    
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,29,31,30,0.6406,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,9.1525,0.3995,    ,    
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,31,33,32,0.5217,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,8.924,0.39,    ,    
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,33,35,34,0.5377,8.8714,0.503,2.0145,0.0469,6.8569,0.5052,0.5164,0.0404,0,0,7.4509,0.3284,    ,    
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,35,37,36,0.8013,5.4678,0.4074,1.3689,0.042,4.0989,0.4095,0.3624,0.0375,0,0,7.8084,0.3502,    ,    
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,37,39,38,0.7673,3.6001,0.2927,0.7764,0.0313,2.8237,0.2944,0.2966,0.0276,0,0,8.7129,0.3944,    ,    
