study_id,bibliography_id,publication_type,key,bibtype,doi,url,year,month,publisher,volume,author,title,journal,pages
Kemp_et_al_2020,Kemp_et_al_2012,Article,Kemp_2012,Article,10.1016/j.quageo.2012.05.004,https://doi.org/10.1016/j.quageo.2012.05.004,2012,oct,Elsevier {BV},12,Andrew C. Kemp and Christopher K. Sommerfield and Christopher H. Vane and Benjamin P. Horton and Simon Chenery and Shimon Anisfeld and Daria Nikitina,Use of lead isotopes for developing chronologies in recent salt-marsh sediments,Quaternary Geochronology,40--49
Kemp_et_al_2020,Kemp_et_al_2020_Data_Release,Misc,kemp2020DataRelease,Misc,10.25573/serc.11569419,NA,2020,NA,The Smithsonian Institution,NA,Andrew C. Kemp and Christopher K. Sommerfield and Christopher H. Vane and Benjamin P. Horton and Simon Chenery and Shimon Anisfeld and Daria Nikitina,Dataset: Use of lead isotopes for developing chronologies in recent salt-marsh sediments,NA,NA
