study_id,site_id,core_id,species_code,code_type
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_6,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_6,Avicennia germinans,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_5,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_5,Avicennia germinans,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_5,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_4,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_4,Avicennia germinans,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_3,Avicennia germinans,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_2,Avicennia germinans,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_1,Avicennia germinans,Genus species
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_6,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_5,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_4,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_3,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_2,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_1,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_6,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_5,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_4,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_3,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_2,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_1,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_6,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_5,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_5,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_4,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_3,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_2,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_1,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_6,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_6,Avicennia germinans,Genus species
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_6,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_5,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_5,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_5,Avicennia germinans,Genus species
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_4,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_4,Avicennia germinans,Genus species
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_3,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_3,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_2,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_1,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_1,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_6,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_6,Avicennia germinans,Genus species
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_5,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_4,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_3,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_2,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_2,Avicennia germinans,Genus species
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_1,Avicennia germinans,Genus species
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_1,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Bordo_del_Chile,Bordo_del_Chile_23_6,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Bordo_del_Chile,Bordo_del_Chile_23_5,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Bordo_del_Chile,Bordo_del_Chile_23_4,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Bordo_del_Chile,Bordo_del_Chile_23_3,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Bordo_del_Chile,Bordo_del_Chile_23_2,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Bordo_del_Chile,Bordo_del_Chile_23_1,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Los_Mapaches-El_Chile,Los_Mapaches-El_Chile_24_6,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Los_Mapaches-El_Chile,Los_Mapaches-El_Chile_24_5,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Los_Mapaches-El_Chile,Los_Mapaches-El_Chile_24_4,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Los_Mapaches-El_Chile,Los_Mapaches-El_Chile_24_4,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Los_Mapaches-El_Chile,Los_Mapaches-El_Chile_24_3,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Los_Mapaches-El_Chile,Los_Mapaches-El_Chile_24_2,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Los_Mapaches-El_Chile,Los_Mapaches-El_Chile_24_1,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Rincón_Grande,Rincón_Grande_25_6,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Rincón_Grande,Rincón_Grande_25_5,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Rincón_Grande,Rincón_Grande_25_4,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Rincón_Grande,Rincón_Grande_25_3,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Rincón_Grande,Rincón_Grande_25_2,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Rincón_Grande,Rincón_Grande_25_1,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Isla_Tortuga,Isla_Tortuga_26_6,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Isla_Tortuga,Isla_Tortuga_26_5,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Isla_Tortuga,Isla_Tortuga_26_4,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Isla_Tortuga,Isla_Tortuga_26_3,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Isla_Tortuga,Isla_Tortuga_26_2,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Isla_Tortuga,Isla_Tortuga_26_1,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_27_6,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_27_5,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_27_4,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_27_3,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_27_2,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_27_2,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_27_1,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Desembocadura_Río_Lempa,Desembocadura_Río_Lempa_1_6,Avicennia germinans,Genus species
Cifuentes_et_al_2024_ElSalvador,Desembocadura_Río_Lempa,Desembocadura_Río_Lempa_1_6,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Desembocadura_Río_Lempa,Desembocadura_Río_Lempa_1_6,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Desembocadura_Río_Lempa,Desembocadura_Río_Lempa_1_5,Avicennia germinans,Genus species
Cifuentes_et_al_2024_ElSalvador,Desembocadura_Río_Lempa,Desembocadura_Río_Lempa_1_5,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Desembocadura_Río_Lempa,Desembocadura_Río_Lempa_1_5,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Desembocadura_Río_Lempa,Desembocadura_Río_Lempa_1_4,Avicennia germinans,Genus species
Cifuentes_et_al_2024_ElSalvador,Desembocadura_Río_Lempa,Desembocadura_Río_Lempa_1_4,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Desembocadura_Río_Lempa,Desembocadura_Río_Lempa_1_4,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Desembocadura_Río_Lempa,Desembocadura_Río_Lempa_1_3,Avicennia germinans,Genus species
Cifuentes_et_al_2024_ElSalvador,Desembocadura_Río_Lempa,Desembocadura_Río_Lempa_1_2,Avicennia germinans,Genus species
Cifuentes_et_al_2024_ElSalvador,Desembocadura_Río_Lempa,Desembocadura_Río_Lempa_1_2,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Desembocadura_Río_Lempa,Desembocadura_Río_Lempa_1_1,Avicennia germinans,Genus species
Cifuentes_et_al_2024_ElSalvador,La_Curbinera,La_Curbinera_2_6,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,La_Curbinera,La_Curbinera_2_6,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,La_Curbinera,La_Curbinera_2_5,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,La_Curbinera,La_Curbinera_2_4,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,La_Curbinera,La_Curbinera_2_3,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,La_Curbinera,La_Curbinera_2_3,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,La_Curbinera,La_Curbinera_2_2,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,La_Curbinera,La_Curbinera_2_1,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Rajado,El_Rajado_3_6,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Rajado,El_Rajado_3_6,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Rajado,El_Rajado_3_5,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Rajado,El_Rajado_3_5,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Rajado,El_Rajado_3_4,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Rajado,El_Rajado_3_4,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Rajado,El_Rajado_3_3,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Rajado,El_Rajado_3_3,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Rajado,El_Rajado_3_2,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Rajado,El_Rajado_3_1,Rhizophora racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Santa_Cruz_El_Chuflar,Santa_Cruz_El_Chuflar_4_6,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Santa_Cruz_El_Chuflar,Santa_Cruz_El_Chuflar_4_6,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Santa_Cruz_El_Chuflar,Santa_Cruz_El_Chuflar_4_5,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Santa_Cruz_El_Chuflar,Santa_Cruz_El_Chuflar_4_5,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Santa_Cruz_El_Chuflar,Santa_Cruz_El_Chuflar_4_4,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Santa_Cruz_El_Chuflar,Santa_Cruz_El_Chuflar_4_4,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Santa_Cruz_El_Chuflar,Santa_Cruz_El_Chuflar_4_3,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Santa_Cruz_El_Chuflar,Santa_Cruz_El_Chuflar_4_3,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Santa_Cruz_El_Chuflar,Santa_Cruz_El_Chuflar_4_2,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Santa_Cruz_El_Chuflar,Santa_Cruz_El_Chuflar_4_2,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Santa_Cruz_El_Chuflar,Santa_Cruz_El_Chuflar_4_1,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Santa_Cruz_El_Chuflar,Santa_Cruz_El_Chuflar_4_1,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Santo_Domingo,Santo_Domingo_5_6,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Santo_Domingo,Santo_Domingo_5_6,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Santo_Domingo,Santo_Domingo_5_5,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Santo_Domingo,Santo_Domingo_5_5,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Santo_Domingo,Santo_Domingo_5_4,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Santo_Domingo,Santo_Domingo_5_4,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Santo_Domingo,Santo_Domingo_5_3,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Santo_Domingo,Santo_Domingo_5_3,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Santo_Domingo,Santo_Domingo_5_2,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Santo_Domingo,Santo_Domingo_5_2,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,Santo_Domingo,Santo_Domingo_5_1,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,Santo_Domingo,Santo_Domingo_5_1,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Espino,El_Espino_6_6,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Espino,El_Espino_6_5,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Espino,El_Espino_6_4,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Espino,El_Espino_6_3,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Espino,El_Espino_6_2,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Espino,El_Espino_6_2,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Espino,El_Espino_6_1,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Espino,El_Espino_6_1,Avicennia germinans,Genus species
Cifuentes_et_al_2024_ElSalvador,El_Espino,El_Espino_6_1,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,La_Herradura,La_Herradura_7_6,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,La_Herradura,La_Herradura_7_6,Avicennia germinans,Genus species
Cifuentes_et_al_2024_ElSalvador,La_Herradura,La_Herradura_7_6,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,La_Herradura,La_Herradura_7_5,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,La_Herradura,La_Herradura_7_5,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,La_Herradura,La_Herradura_7_4,Avicennia germinans,Genus species
Cifuentes_et_al_2024_ElSalvador,La_Herradura,La_Herradura_7_4,Laguncularia racemosa,Genus species
Cifuentes_et_al_2024_ElSalvador,La_Herradura,La_Herradura_7_4,Rhizophora mangle,Genus species
Cifuentes_et_al_2024_ElSalvador,La_Herradura,La_Herradura_7_3,Avicennia germinans,Genus species
