study_id,site_id,core_id,year,latitude,longitude,position_method,position_notes,vegetation_class,vegetation_method,habitat
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_6,2014,13.227360376425882,-88.60436965931343,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_5,2014,13.227360376425882,-88.60436965931343,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_4,2014,13.227360376425882,-88.60436965931343,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_3,2014,13.227360376425882,-88.60436965931343,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_2,2014,13.227360376425882,-88.60436965931343,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_1,2014,13.227360376425882,-88.60436965931343,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_6,2014,13.18718236595375,-88.32957619089184,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_5,2014,13.18718236595375,-88.32957619089184,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_4,2014,13.18718236595375,-88.32957619089184,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_3,2014,13.18718236595375,-88.32957619089184,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_2,2014,13.18718236595375,-88.32957619089184,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_1,2014,13.18718236595375,-88.32957619089184,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_6,2014,13.199313945612474,-88.33673736866605,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_5,2014,13.199313945612474,-88.33673736866605,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_4,2014,13.199313945612474,-88.33673736866605,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_3,2014,13.199313945612474,-88.33673736866605,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_2,2014,13.199313945612474,-88.33673736866605,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_1,2014,13.199313945612474,-88.33673736866605,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_6,2014,13.202544595221848,-88.32814867984379,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_5,2014,13.202544595221848,-88.32814867984379,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_4,2014,13.202544595221848,-88.32814867984379,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_3,2014,13.202544595221848,-88.32814867984379,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_2,2014,13.202544595221848,-88.32814867984379,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_1,2014,13.202544595221848,-88.32814867984379,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_6,2014,13.249280282257898,-88.77701022951307,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_5,2014,13.249280282257898,-88.77701022951307,,position at plot level,forested,field observation,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_4,2014,13.249280282257898,-88.77701022951307,,position at plot level,forested,field observation,mangrove
