study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_1,single set of methods,0,15,1.00153846153846,0.023799999999999998
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_1,single set of methods,15,30,1.45230769230769,0.0141
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_1,single set of methods,30,50,0.858461538461538,0.0223
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_1,single set of methods,50,100,1.11153846153846,0.010700000000000001
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_2,single set of methods,0,15,0.842307692307692,0.024300000000000002
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_2,single set of methods,15,30,0.867692307692308,0.0199
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_2,single set of methods,30,50,1.04461538461538,0.0141
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_2,single set of methods,50,100,1.23384615384615,0.01
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_3,single set of methods,0,15,0.753076923076923,0.0248
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_3,single set of methods,15,30,1.15692307692308,0.0172
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_3,single set of methods,30,50,0.903846153846154,0.0134
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_3,single set of methods,50,100,0.903076923076923,0.0098
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_4,single set of methods,0,15,0.9,0.0213
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_4,single set of methods,15,30,0.946153846153846,0.008100000000000001
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_4,single set of methods,30,50,0.804615384615385,0.013000000000000001
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_4,single set of methods,50,100,1.26076923076923,0.0118
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_5,single set of methods,0,15,0.781538461538462,0.023700000000000002
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_5,single set of methods,15,30,0.952307692307692,0.0155
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_5,single set of methods,30,50,1.11538461538462,0.010700000000000001
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_5,single set of methods,50,100,1.15307692307692,0.0088
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_6,single set of methods,0,15,0.891538461538462,0.019299999999999998
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_6,single set of methods,15,30,0.886153846153846,0.0098
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_6,single set of methods,30,50,0.860769230769231,0.008100000000000001
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_6,single set of methods,50,100,1.0638461538461501,0.0077
Cifuentes_et_al_2024_ElSalvador,Colonia_Melara,Colonia_Melara_2_1,single set of methods,0,15,0.793846153846154,0.022400000000000003
Cifuentes_et_al_2024_ElSalvador,Colonia_Melara,Colonia_Melara_2_1,single set of methods,15,30,1.15846153846154,0.012199999999999999
Cifuentes_et_al_2024_ElSalvador,Colonia_Melara,Colonia_Melara_2_1,single set of methods,30,50,0.704615384615385,0.0066
Cifuentes_et_al_2024_ElSalvador,Colonia_Melara,Colonia_Melara_2_1,single set of methods,50,100,0.939230769230769,0.0059
Cifuentes_et_al_2024_ElSalvador,Colonia_Melara,Colonia_Melara_2_2,single set of methods,0,15,0.69,0.0123
Cifuentes_et_al_2024_ElSalvador,Colonia_Melara,Colonia_Melara_2_2,single set of methods,15,30,0.632307692307692,0.016399999999999998
Cifuentes_et_al_2024_ElSalvador,Colonia_Melara,Colonia_Melara_2_2,single set of methods,30,50,1.11846153846154,0.0084
Cifuentes_et_al_2024_ElSalvador,Colonia_Melara,Colonia_Melara_2_2,single set of methods,50,100,1.1861538461538499,0.0053
Cifuentes_et_al_2024_ElSalvador,Colonia_Melara,Colonia_Melara_2_3,single set of methods,0,15,0.684615384615385,0.0165
Cifuentes_et_al_2024_ElSalvador,Colonia_Melara,Colonia_Melara_2_3,single set of methods,15,30,1.17,0.0097
Cifuentes_et_al_2024_ElSalvador,Colonia_Melara,Colonia_Melara_2_3,single set of methods,30,50,1.06692307692308,0.004
Cifuentes_et_al_2024_ElSalvador,Colonia_Melara,Colonia_Melara_2_3,single set of methods,50,100,0.910769230769231,0.0036
Cifuentes_et_al_2024_ElSalvador,Colonia_Melara,Colonia_Melara_2_4,single set of methods,0,15,0.758461538461538,0.02
Cifuentes_et_al_2024_ElSalvador,Colonia_Melara,Colonia_Melara_2_4,single set of methods,15,30,1.05076923076923,0.0147
