Site_ID,Depth_cm,DBD_g_cm3,OC_perc,OC_dens_g_cm3,Site_name,Lat_N,Lat_D,Lat_M,Lat_S,Latitude,Long_E,Long_D,Long_M,Long_S,Longitude
Site 1,0 – 5,0.68 ± 0.08,3.24 ± 0.28,0.021 ± 0.002,Vellankulam,9°11′47.50″N,9,11,47.5,9.196527778,80° 7′16.58″E,80,7,16.58,80.12127222
Site 1,6 – 15,1.16 ± 0.10,1.21 ± 0.22,0.013 ± 0.002,Vellankulam,9°11′47.50″N,9,11,47.5,9.196527778,80° 7′16.58″E,80,7,16.58,80.12127222
Site 1,16 – 30,1.26 ± 0.08,0.74 ± 0.07,0.009 ± 0.001,Vellankulam,9°11′47.50″N,9,11,47.5,9.196527778,80° 7′16.58″E,80,7,16.58,80.12127222
Site 1,30 - 50,1.28 ± 0.09,0.55 ± 0.05,0.007 ± 0.001,Vellankulam,9°11′47.50″N,9,11,47.5,9.196527778,80° 7′16.58″E,80,7,16.58,80.12127222
Site 2,0 – 5,1.28 ± 0.09,1.32 ± 0.21,0.016 ± 0.091,Illuppaikadavai,9° 4′30.70″N,9,4,30.7,9.075194444,80° 4′46.70″E,80,4,46.7,80.07963889
Site 2,6 – 15,1.48 ± 0.07,0.61 ± 0.04,0.009 ± 0.068,Illuppaikadavai,9° 4′30.70″N,9,4,30.7,9.075194444,80° 4′46.70″E,80,4,46.7,80.07963889
Site 2,16 – 30,1.62 ± 0.22,0.71 ± 0.22,0.011 ± 0.071,Illuppaikadavai,9° 4′30.70″N,9,4,30.7,9.075194444,80° 4′46.70″E,80,4,46.7,80.07963889
Site 2,30 - 50,1.60 ± 0.09,0.49 ± 0.06,0.008 ± 0.091,Illuppaikadavai,9° 4′30.70″N,9,4,30.7,9.075194444,80° 4′46.70″E,80,4,46.7,80.07963889
Site 3,0 – 5,0.94 ± 0.11,3.72 ± 0.42,0.033 ± 0.003,Wedithalathive,8°59′52.52″N,8,59,52.52,8.997922222,80° 2′30.12″E,80,2,30.12,80.0417
Site 3,6 – 15,0.14 ± 0.11,2.59 ± 0.52,0.027 ± 0.003,Wedithalathive,8°59′52.52″N,8,59,52.52,8.997922222,80° 2′30.12″E,80,2,30.12,80.0417
Site 3,16 – 30,1.18 ± 0.06,1.53 ± 0.20,0.018 ± 0.002,Wedithalathive,8°59′52.52″N,8,59,52.52,8.997922222,80° 2′30.12″E,80,2,30.12,80.0417
Site 3,30 - 50,1.14 ± 0.16,1.42 ± 0.26,0.015 ± 0.002,Wedithalathive,8°59′52.52″N,8,59,52.52,8.997922222,80° 2′30.12″E,80,2,30.12,80.0417
Site 4,0 – 5,1.21 ± 0.09,2.60 ± 0.55,0.028 ± 0.004,Adampan,8°59′0.24″N,8,59,0.24,8.9834,79°59′50.27″E,79,59,50.27,79.99729722
Site 4,6 – 15,1.38 ± 0.10,1.05 ± 0.15,0.014 ± 0.002,Adampan,8°59′0.24″N,8,59,0.24,8.9834,79°59′50.27″E,79,59,50.27,79.99729722
Site 4,16 – 30,1.42 ± 0.10,0.98 ± 0.21,0.013 ± 0.002,Adampan,8°59′0.24″N,8,59,0.24,8.9834,79°59′50.27″E,79,59,50.27,79.99729722
Site 4,30 - 50,1.28 ± 0.07,1.17 ± 0.29,0.016 ± 0.004,Adampan,8°59′0.24″N,8,59,0.24,8.9834,79°59′50.27″E,79,59,50.27,79.99729722
