study_id,site_id,core_id,genus,species
Weston_et_al_2020,Kennebec,KEN_1,Spartina,patens
Weston_et_al_2020,Kennebec,KEN_1,Distichlis,spicata
Weston_et_al_2020,Kennebec,KEN_7,Spartina,patens
Weston_et_al_2020,Kennebec,KEN_7,Distichlis,spicata
Weston_et_al_2020,Kennebec,KEN_8,Spartina,patens
Weston_et_al_2020,Kennebec,KEN_8,Distichlis,spicata
Weston_et_al_2020,Plum Island Sound,PIE_1,Spartina,patens
Weston_et_al_2020,Plum Island Sound,PIE_2,Spartina,patens
Weston_et_al_2020,Plum Island Sound,PIE_7,Spartina,patens
Weston_et_al_2020,Plum Island Sound,PIE_8,Spartina,patens
Weston_et_al_2020,Connecticut,CON_1,Spartina,patens
Weston_et_al_2020,Connecticut,CON_1,Distichlis,spicata
Weston_et_al_2020,Connecticut,CON_2,Spartina,patens
Weston_et_al_2020,Connecticut,CON_2,Distichlis,spicata
Weston_et_al_2020,Connecticut,CON_8,Spartina,patens
Weston_et_al_2020,Connecticut,CON_8,Distichlis,spicata
Weston_et_al_2020,Delaware,DEL_3,Spartina,alterniflora
Weston_et_al_2020,Delaware,DEL_5,Spartina,alterniflora
Weston_et_al_2020,Delaware,DEL_9,Spartina,alterniflora
Weston_et_al_2020,York,YRK_2,Spartina,alterniflora
Weston_et_al_2020,York,YRK_3,Spartina,alterniflora
Weston_et_al_2020,York,YRK_5,Spartina,alterniflora
Weston_et_al_2020,James,JMS_2,Spartina,alterniflora
Weston_et_al_2020,James,JMS_3,Spartina,alterniflora
Weston_et_al_2020,James,JMS_4,Spartina,alterniflora
Weston_et_al_2020,Cape Fear,CPF_2,Spartina,alterniflora
Weston_et_al_2020,Cape Fear,CPF_4,Spartina,alterniflora
Weston_et_al_2020,Cape Fear,CPF_6,Spartina,alterniflora
Weston_et_al_2020,Cape Fear,CPF_7,Spartina,alterniflora
Weston_et_al_2020,Edisto,EDS_1,Spartina,alterniflora
Weston_et_al_2020,Edisto,EDS_5,Spartina,alterniflora
Weston_et_al_2020,Edisto,EDS_9,Spartina,alterniflora
Weston_et_al_2020,Edisto,EDS_10,Spartina,alterniflora
Weston_et_al_2020,Altamaha,ALT_3,Spartina,alterniflora
Weston_et_al_2020,Altamaha,ALT_5,Spartina,alterniflora
Weston_et_al_2020,Altamaha,ALT_6,Spartina,alterniflora
Weston_et_al_2020,Altamaha,ALT_9,Spartina,alterniflora
