Site,Layer (cm),SOC (g C kg-1),,TN (g N kg-1),,DOC (mg C kg-1),,Sulfate (mmol kg-1),,Acetate (μmol kg-1),,Formate (μmol kg-1),,Trimethylamine (μmol kg-1),,Bicarbonate (mmol kg-1),
,,Average,SE,Average,SE,Average,SE,Average,SE,Average,SE,Average,SE,Average,SE,Average,SE
TF,0-10,2.10,0.18,0.23,0.02,0.24,0.07,9.21,0.51,6.03,1.84,5.96,2.34,0.19,0.11,1.87,0.23
TF,10-20,1.68,0.35,0.13,0.01,0.22,0.06,7.11,1.33,4.33,0.18,3.50,0.61,0.12,0.09,2.04,0.10
TF,20-30,1.19,0.20,0.10,0.01,0.22,0.06,6.85,0.09,4.22,0.46,5.02,0.06,0.13,0.03,2.84,0.45
TF,30-40,1.17,0.11,0.10,0.01,0.22,0.02,6.01,0.53,3.58,0.06,6.30,0.51,0.08,0.03,3.06,0.17
TF,40-50,0.96,0.32,0.10,0.01,0.20,0.05,4.77,1.60,3.47,0.42,5.30,1.28,0.07,0.02,3.75,0.57
SA-1,0-10,4.41,0.10,0.47,0.01,0.33,0.03,12.10,1.67,9.19,1.24,3.95,0.72,0.46,0.17,2.38,0.35
SA-1,10-20,3.59,0.19,0.36,0.02,0.28,0.03,10.55,1.93,7.79,1.32,3.42,0.41,0.33,0.09,2.53,0.16
SA-1,20-30,2.50,0.25,0.24,0.01,0.26,0.04,8.61,0.92,5.28,0.78,8.40,0.82,0.22,0.04,3.07,0.39
SA-1,30-40,0.91,0.36,0.13,0.02,0.26,0.03,7.79,0.22,4.95,0.66,5.38,0.70,0.09,0.03,3.67,0.45
SA-1,40-50,0.75,0.34,0.12,0.01,0.17,0.03,5.68,0.10,2.15,0.01,4.65,0.63,0.12,0.04,4.28,0.05
SA-12,0-10,17.60,0.35,1.40,0.04,0.57,0.05,32.40,2.25,19.54,2.76,6.48,1.29,2.26,0.47,2.23,0.11
SA-12,10-20,11.31,0.27,0.78,0.01,0.39,0.02,23.03,4.42,22.61,2.60,6.79,0.69,1.69,0.11,2.38,0.33
SA-12,20-30,6.47,0.11,0.52,0.01,0.37,0.03,13.47,2.41,9.75,1.10,6.30,0.27,1.02,0.20,3.48,0.25
SA-12,30-40,6.81,0.16,0.53,0.02,0.34,0.01,16.35,0.06,13.78,2.08,6.42,1.27,0.37,0.18,4.17,0.50
SA-12,40-50,3.18,0.22,0.31,0.01,0.29,0.04,9.87,2.17,12.83,0.33,5.98,1.14,0.18,0.04,4.99,0.49
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
