study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,compaction_fraction
Doughty_et_al_2016,KCSC-20C,MC-01A,0,15.5,0.39484469,0.273437500052479,0.0644,0.124999999839154
Doughty_et_al_2016,KCSC-20C,MC-01B,0,10.7,0.441469038,0.388888888862446,0.0721,0
Doughty_et_al_2016,KCSC-20C,MC-01C,0,20.9,0.310297708,0.339100346074973,0.0801,0.176470588404281
Doughty_et_al_2016,KCSC-20C,MC-02A,0,20.3,0.692301586,0.210000000037659,0.01,0.300000000147887
Doughty_et_al_2016,KCSC-20C,MC-02B,0,17.1,0.762346855,0.248520710045061,0.1693,0.192307692510291
Doughty_et_al_2016,KCSC-20C,MC-02C,0,38.6,0.064347333,0.188016528906802,0.0178,0.409090909020226
Doughty_et_al_2016,KCSC-20C,MC-03A,0,22.7,0.095829209,0.234375000026269,0.2701,0.375
Doughty_et_al_2016,KCSC-20C,MC-03B,0,15.7,0.127250272,0.305555555497019,0.229,0.0833333333863812
Doughty_et_al_2016,KCSC-20C,MC-03C,0,23.6,0.036147055,1,0.2862,0
Doughty_et_al_2016,KCSC-20C,MC-04A,0,14.4,0.908951564,0.441176470687057,0.031,0
Doughty_et_al_2016,KCSC-20C,MC-04B,0,12.6,0.294084532,0.360000000036507,0.1001,0.100000000318584
Doughty_et_al_2016,KCSC-20C,MC-04C,0,15.4,0.378511131,0.332179930935685,0.077,0.0588235294117647
Doughty_et_al_2016,KCSC-20C,MC-05A,0,18.7,0.128233411,0.31836734684551,0.3194,0.142857143010204
Doughty_et_al_2016,KCSC-20C,MC-05B,0,16.6,0.102986378,0.318367347009357,0.3704,0.142857143029606
Doughty_et_al_2016,KCSC-20C,MC-05C,0,16.1,0.165283891,0.318367346948459,0.3945,0.142857142857143
Doughty_et_al_2016,KCSC-20C,MC-06A,0,22.3,0.208570314,0.516068052759744,0.0883,0.086956521622373
Doughty_et_al_2016,KCSC-20C,MC-06B,0,15.2,0.345447547,0.809999999765798,0.0625,0.0999999998686132
Doughty_et_al_2016,KCSC-20C,MC-06C,0,18.8,0.221925038,0.124763705113307,0.0287,0.282608695721487
Doughty_et_al_2016,KCSC-20C,MC-07A,0,15.1,0.228363352,0.324099722987473,0.1705,0.315789473509399
Doughty_et_al_2016,KCSC-20C,MC-07B,0,33.6,0.347867233,0.408163265221054,0.0478,0.285714285714286
Doughty_et_al_2016,KCSC-20C,MC-07C,0,35.9,0.33738877,0.349030470903809,0.0177,0.0526315789766986
Doughty_et_al_2016,KCSC-20C,MC-08A,0,15,0.174312557,0.0293367346843333,0.2069,0.17857142838062
Doughty_et_al_2016,KCSC-20C,MC-08B,0,22.8,0.909408184,0.0293367346683385,0.0188,0.178571428524364
Doughty_et_al_2016,KCSC-20C,MC-08C,0,19.7,1.340915483,0.0293367346723026,0.0217,0.17857142855332
Doughty_et_al_2016,KCSC-20C,MC-09A,0,17,0.248716669,0.0321361058963993,0.0852,0.260869565064362
Doughty_et_al_2016,KCSC-20C,MC-09B,0,18.5,0.196461145,0.0321361058272604,0.0542,0.260869565311219
Doughty_et_al_2016,MIT-9N,MC-10A,0,30.4,0.180515212,0.347826086905534,0.149,0
Doughty_et_al_2016,MIT-9N,MC-10B,0,20.7,0.272485564,0.285714285767008,0.1684,0
Doughty_et_al_2016,MIT-9N,MC-10C,0,34.6,0.22902111,0.266272189366978,0.1268,0.230769230769231
Doughty_et_al_2016,MIT-9N,MC-11A,0,24.3,0.55278507,0.0833333333420661,0.0229,0
Doughty_et_al_2016,MIT-9N,MC-11B,0,15.2,1.056286228,0,0.0257,0
Doughty_et_al_2016,MIT-9N,MC-11C,0,28.8,0.669334955,0,0.0411,0.3125
Doughty_et_al_2016,MIT-9N,MC-12A,0,14.7,0.492662588,0.392561983369464,0.0444,0.136363636487278
Doughty_et_al_2016,MIT-9N,MC-12B,0,30.3,0.087445131,0.279999999983184,0.2097,0.300000000099057
Doughty_et_al_2016,MIT-9N,MC-12C,0,31.2,0.164868197,0.329861111072003,0.1304,0.208333333333333
Doughty_et_al_2016,MIT-9N,MC-13A,0,28.2,0.088573186,0.226843100204754,0.3373,0.478260869565217
Doughty_et_al_2016,MIT-9N,MC-13B,0,23.9,0.101916628,0.268595041370382,0.2271,0.40909090905281
Doughty_et_al_2016,MIT-9N,MC-13C,0,22.8,0.189667134,0.561728395075543,0.1301,0.222222222319872
Doughty_et_al_2016,MIT-9N,MC-14A,0,16.1,0.124371306,0.325443787002404,0.1726,0.153846153702576
Doughty_et_al_2016,MIT-9N,MC-14B,0,7.9,0.201826921,0.516068053006667,0.2845,0.0869565217722117
Doughty_et_al_2016,MIT-9N,MC-14C,0,14.4,0.145513091,0.528925620020565,0.3528,0.272727272727273
Doughty_et_al_2016,MIT-9S,MC-15A,0,14.8,1.838562828,0,0.0144,0.0454545453622296
Doughty_et_al_2016,MIT-9S,MC-15B,0,31.3,0.702046367,0,0.0222,0.142857142948523
Doughty_et_al_2016,MIT-9S,MC-15C,0,15.3,0.690711648,0,0.0278,0
Doughty_et_al_2016,MIT-9S,MC-16A,0,9.7,0.455851195,0.0694444444080578,0.0904,0.166666666666667
Doughty_et_al_2016,MIT-9S,MC-16B,0,23.3,0.553725148,0.0630000000339239,0.0407,0.230769230769231
Doughty_et_al_2016,MIT-9S,MC-16C,0,28.4,0.127878225,0.0590277778014589,0.1006,0.291666666710717
Doughty_et_al_2016,MIT-9S,MC-17A,0,19,1.2654282590000001,0,0.0109,0.142857143007387
Doughty_et_al_2016,MIT-9S,MC-17B,0,15.9,1.378213581,0,0.0097,0.227272727329839
Doughty_et_al_2016,MIT-9S,MC-17C,0,12.9,1.66212046,0,0.0143,0
Doughty_et_al_2016,MIT-9S,MC-18A,0,22.8,0.260790731,0.145833333279816,0.1225,0.416666666666667
Doughty_et_al_2016,MIT-9S,MC-18B,0,10.3,0.194773003,0.140532544432469,0.2499,0.269230768893491
Doughty_et_al_2016,MIT-9S,MC-18C,0,22.1,0.194554686,0.145833333345325,0.0988,0.285714285714286
Doughty_et_al_2016,MIPineIsland,MC-19A,0,21,1.168398783,0.110192837486266,0.0142,0.0909090909090909
Doughty_et_al_2016,MIPineIsland,MC-19B,0,15.9,1.76592789,0.166351606862697,0.0165,0.0434782608148443
