study_id,site_id,core_id,latitude,longitude,position_accuracy,position_method,salinity_class,salinity_method,salinity_notes,vegetation_class,vegetation_method,vegetation_notes,core_length_flag,year,month,day
Doughty_et_al_2016,KCSC-20C,MC-01A,28.580888,-80.671843,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,13
Doughty_et_al_2016,KCSC-20C,MC-01B,28.580905,-80.671836,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,13
Doughty_et_al_2016,KCSC-20C,MC-01C,28.580887,-80.671875,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,13
Doughty_et_al_2016,KCSC-20C,MC-02A,28.581291,-80.67299,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,13
Doughty_et_al_2016,KCSC-20C,MC-02B,28.581354,-80.672805,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,13
Doughty_et_al_2016,KCSC-20C,MC-02C,28.581485,-80.672599,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,13
Doughty_et_al_2016,KCSC-20C,MC-03A,28.581137,-80.671097,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,13
Doughty_et_al_2016,KCSC-20C,MC-03B,28.581147,-80.671113,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,13
Doughty_et_al_2016,KCSC-20C,MC-03C,28.581157,-80.67109,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,13
Doughty_et_al_2016,KCSC-20C,MC-04A,28.579554,-80.670966,5,handheld,brine,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,13
Doughty_et_al_2016,KCSC-20C,MC-04B,28.579554,-80.670988,5,handheld,brine,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,13
Doughty_et_al_2016,KCSC-20C,MC-04C,28.579578,-80.670964,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,13
Doughty_et_al_2016,KCSC-20C,MC-05A,28.581055,-80.671117,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer,2013,5,14
Doughty_et_al_2016,KCSC-20C,MC-05B,28.581001,-80.671087,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer,2013,5,14
Doughty_et_al_2016,KCSC-20C,MC-05C,28.580958,-80.671069,5,handheld,brackish,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer,2013,5,14
Doughty_et_al_2016,KCSC-20C,MC-06A,28.581564,-80.670823,5,handheld,brackish,measurement,porewater salinity,scrub shrub,measurement,Plots contained emergent salt marsh and mangrove seedlings,core depth limited by length of corer,2013,5,14
Doughty_et_al_2016,KCSC-20C,MC-06B,28.581573,-80.670814,5,handheld,brackish,measurement,porewater salinity,scrub shrub,measurement,Plots contained emergent salt marsh and mangrove seedlings,core depth limited by length of corer,2013,5,14
Doughty_et_al_2016,KCSC-20C,MC-06C,28.581595,-80.670766,5,handheld,brackish,measurement,porewater salinity,scrub shrub,measurement,Plots contained emergent salt marsh and mangrove seedlings,core depth limited by length of corer,2013,5,14
Doughty_et_al_2016,KCSC-20C,MC-07A,28.580784,-80.671628,5,handheld,brackish,measurement,porewater salinity,scrub shrub,measurement,Plots contained emergent salt marsh and mangrove seedlings,core depth limited by length of corer,2013,5,14
Doughty_et_al_2016,KCSC-20C,MC-07B,28.580747,-80.671592,5,handheld,brackish,measurement,porewater salinity,scrub shrub,measurement,Plots contained emergent salt marsh and mangrove seedlings,core depth limited by length of corer,2013,5,14
Doughty_et_al_2016,KCSC-20C,MC-07C,28.580822,-80.671575,5,handheld,brackish,measurement,porewater salinity,scrub shrub,measurement,Plots contained emergent salt marsh and mangrove seedlings,core depth limited by length of corer,2013,5,14
Doughty_et_al_2016,KCSC-20C,MC-08A,28.580901,-80.673758,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer,2013,5,14
Doughty_et_al_2016,KCSC-20C,MC-08B,28.58084,-80.673743,5,handheld,brackish,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer,2013,5,14
Doughty_et_al_2016,KCSC-20C,MC-08C,28.580961,-80.673786,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer,2013,5,14
Doughty_et_al_2016,KCSC-20C,MC-09A,28.581002,-80.673914,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer,2013,5,14
Doughty_et_al_2016,KCSC-20C,MC-09B,28.581012,-80.673938,5,handheld,brine,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer,2013,5,14
Doughty_et_al_2016,MIT-9N,MC-10A,28.709707,-80.738656,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9N,MC-10B,28.709732,-80.738672,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9N,MC-10C,28.709742,-80.738696,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9N,MC-11A,28.709622,-80.738771,5,handheld,brackish,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9N,MC-11B,28.709587,-80.738723,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9N,MC-11C,28.709591,-80.738687,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9N,MC-12A,28.709298,-80.73815,5,handheld,saline,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9N,MC-12B,28.709307,-80.738184,5,handheld,brackish,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9N,MC-12C,28.709381,-80.738117,5,handheld,saline,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9N,MC-13A,28.709172,-80.738231,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9N,MC-13B,28.709139,-80.738306,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9N,MC-13C,28.709175,-80.738305,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9N,MC-14A,28.709361,-80.738955,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9N,MC-14B,28.709352,-80.738939,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9N,MC-14C,28.709339,-80.738954,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9S,MC-15A,28.707924,-80.738135,5,handheld,brine,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9S,MC-15B,28.707926,-80.738173,5,handheld,brine,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9S,MC-15C,28.707953,-80.738194,5,handheld,brine,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9S,MC-16A,28.708039,-80.738085,5,handheld,brackish,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9S,MC-16B,28.70806,-80.738134,5,handheld,saline,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9S,MC-16C,28.708052,-80.738162,5,handheld,saline,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9S,MC-17A,28.707999,-80.738076,5,handheld,brine,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9S,MC-17B,28.708023,-80.738149,5,handheld,brine,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9S,MC-17C,28.708024,-80.738208,5,handheld,brine,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9S,MC-18A,28.70822,-80.738028,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9S,MC-18B,28.708207,-80.737974,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIT-9S,MC-18C,28.708193,-80.737976,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,16
Doughty_et_al_2016,MIPineIsland,MC-19A,28.490304,-80.723394,5,handheld,brine,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer,2013,5,17
Doughty_et_al_2016,MIPineIsland,MC-19B,28.49026,-80.723387,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer,2013,5,17
Doughty_et_al_2016,MIPineIsland,MC-19C,28.490288,-80.723423,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer,2013,5,17
Doughty_et_al_2016,MIPineIsland,MC-20A,28.490444,-80.723378,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,17
Doughty_et_al_2016,MIPineIsland,MC-20B,28.490484,-80.723356,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,17
Doughty_et_al_2016,MIPineIsland,MC-20C,28.490504,-80.723322,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,17
Doughty_et_al_2016,MIPineIsland,MC-21A,28.490523,-80.723405,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,17
Doughty_et_al_2016,MIPineIsland,MC-21B,28.490526,-80.723411,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,17
Doughty_et_al_2016,MIPineIsland,MC-21C,28.49047,-80.72343,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer,2013,5,17
Doughty_et_al_2016,MIPineIsland,MC-22A,28.490777,-80.722877,5,handheld,saline,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer,2013,5,17
Doughty_et_al_2016,MIPineIsland,MC-22B,28.49075,-80.722922,5,handheld,saline,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer,2013,5,17
Doughty_et_al_2016,MIPineIsland,MC-22C,28.490709,-80.722914,5,handheld,saline,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer,2013,5,17
Doughty_et_al_2016,KCSC-20C,MC-23A,28.58174,-80.670576,5,handheld,NA,measurement,porewater salinity,scrub shrub,measurement,Plots contained emergent salt marsh and mangrove seedlings,core depth limited by length of corer,2013,7,11
Doughty_et_al_2016,KCSC-20C,MC-23B,28.581749,-80.670544,5,handheld,NA,measurement,porewater salinity,scrub shrub,measurement,Plots contained emergent salt marsh and mangrove seedlings,core depth limited by length of corer,2013,7,11
Doughty_et_al_2016,KCSC-20C,MC-23,28.581773,-80.670524,5,handheld,NA,measurement,porewater salinity,scrub shrub,measurement,Plots contained emergent salt marsh and mangrove seedlings,core depth limited by length of corer,2013,7,11
