Site,Date,Plot,Depth_cm,Depth_OM_cm,Core_depth_cm,BD_reported_g_cm3,OC_perc
Chapala,01/11/2018,10m,0-15,35,100,0.29,10.26
Chapala,01/11/2018,10m,15-30,35,100,0.49,6.27
Chapala,01/11/2018,10m,30-50,35,100,0.82,2.75
Chapala,01/11/2018,10m,50-100,35,100,0.87,2.56
Chapala,01/11/2018,30m,0-15,50,100,0.35,8.69
Chapala,01/11/2018,30m,15-30,50,100,0.50,7.53
Chapala,01/11/2018,30m,30-50,50,100,0.82,2.82
Chapala,01/11/2018,30m,50-100,50,100,1.02,2.25
Chapala,01/11/2018,50m,0-15,28,100,0.36,8.48
Chapala,01/11/2018,50m,15-30,28,100,0.42,6.22
Chapala,01/11/2018,50m,30-50,28,100,0.60,3.04
Chapala,01/11/2018,50m,50-100,28,100,0.70,4.79
Chapala,01/11/2018,70m,0-15,24,100,0.26,11.95
Chapala,01/11/2018,70m,15-30,24,100,0.25,9.38
Chapala,01/11/2018,70m,30-50,24,100,0.67,6.49
Chapala,01/11/2018,70m,50-100,24,100,1.34,0.66
Chapala,01/11/2018,90m,0-15,40,100,0.23,15.33
Chapala,01/11/2018,90m,15-30,40,100,0.53,4.84
Chapala,01/11/2018,90m,30-50,40,100,0.61,13.99
Chapala,01/11/2018,90m,50-100,40,100,0.79,3.94
Kenton,02/11/2018,10m,0-15,,100,0.52,6.43
Kenton,02/11/2018,10m,15-30,,100,0.64,3.09
Kenton,02/11/2018,10m,30-50,,100,0.96,3.86
Kenton,02/11/2018,10m,50-100,,100,1.27,0.47
Kenton,02/11/2018,30m,0-15,,100,0.52,3.82
Kenton,02/11/2018,30m,15-30,,100,0.88,2.41
Kenton,02/11/2018,30m,30-50,,100,1.12,2.48
Kenton,02/11/2018,30m,50-100,,100,1.32,0.70
Kenton,02/11/2018,50m,0-15,,100,0.35,6.96
Kenton,02/11/2018,50m,15-30,,100,0.57,3.38
Kenton,02/11/2018,50m,30-50,,100,1.02,2.51
Kenton,02/11/2018,50m,50-100,,100,1.53,0.58
Kenton,02/11/2018,70m,0-15,,100,0.50,3.92
Kenton,02/11/2018,70m,15-30,,100,0.70,3.02
Kenton,02/11/2018,70m,30-50,,100,1.29,0.84
Kenton,02/11/2018,70m,50-100,,100,1.94,0.15
Kenton,02/11/2018,90m,0-15,,100,0.79,3.56
Kenton,02/11/2018,90m,15-30,,100,0.87,2.24
Kenton,02/11/2018,90m,30-50,,100,1.12,2.13
Kenton,02/11/2018,90m,50-100,,100,2.32,0.22
Arco,03/11/2018,10m,0-15,,100,0.52,15.56
Arco,03/11/2018,10m,15-30,,100,0.64,10.90
Arco,03/11/2018,10m,30-50,,100,0.96,8.34
Arco,03/11/2018,10m,50-100,,100,1.27,2.60
Arco,03/11/2018,30m,0-15,,100,0.52,14.50
Arco,03/11/2018,30m,15-30,,100,0.88,4.67
Arco,03/11/2018,30m,30-50,,100,1.12,11.20
Arco,03/11/2018,30m,50-100,,100,1.32,7.48
Arco,03/11/2018,50m,0-15,,100,0.35,6.55
Arco,03/11/2018,50m,15-30,,100,0.57,3.67
Arco,03/11/2018,50m,30-50,,100,1.02,2.37
Arco,03/11/2018,50m,50-100,,100,1.53,1.12
Arco,03/11/2018,70m,0-15,,100,0.50,3.24
Arco,03/11/2018,70m,15-30,,100,0.70,2.60
Arco,03/11/2018,70m,30-50,,100,1.29,1.25
Arco,03/11/2018,70m,50-100,,100,1.94,0.82
Arco,03/11/2018,90m,0-15,,100,0.79,4.01
Arco,03/11/2018,90m,15-30,,100,0.87,1.68
Arco,03/11/2018,90m,30-50,,100,1.12,1.12
Arco,03/11/2018,90m,50-100,,100,2.32,1.34
